field,value
deliverable_1_bytes,32867
deliverable_2,HAWKES_BASELINE_V2_EPISTEMIC_OBJECT_LEDGER.csv
deliverable_2_sha256,29e9f4084a8d4b0a78bb3ce8b62f01e02125f5d17e2bdc4d94ee883d1413f6e0
deliverable_2_bytes,7975
deliverable_3,HAWKES_BASELINE_V2_UNCERTAINTY_TYPE_LEDGER.csv
deliverable_3_sha256,c77e25c2ef3f9a5ab9fea86a0e11a48ac38d7346329095d3c0c59b314b30d4b1
deliverable_3_bytes,5921
deliverable_4,HAWKES_BASELINE_V2_RO_DEPENDENCY_GRAPH.csv
deliverable_4_sha256,e687e7950af4455dc92c9a6afcf27bbf181ec21ddbcf08eb6a3fa80724e74985
deliverable_4_bytes,2893
deliverable_5,HAWKES_BASELINE_V2_DIVERGENT_MECHANISM_REGISTER.csv
deliverable_5_sha256,41a7d30242f63bb9e5a88c3d3ceb51803ef040c4a9a2779ce7bc3d6ac9313afe
deliverable_5_bytes,11785
deliverable_6,HAWKES_BASELINE_V2_DEDUP06_ABDUCTIVE_MATRIX.csv
deliverable_6_sha256,3d287bc4ad850b696c1c6778764cba183b2d7fdcd8c2923ef089abdd3be84e3f
deliverable_6_bytes,4332
deliverable_7,HAWKES_BASELINE_V2_EXPOSURE_INFORMATION_REQUIREMENTS.csv
deliverable_7_sha256,cb88c50257adebafd93069d908ccafba4325b717982715d60b945d22ed6d6a8f
deliverable_7_bytes,2925
deliverable_8,HAWKES_BASELINE_V2_COMPARATOR_PREREQUISITE_MAP.csv
deliverable_8_sha256,145ae865dede5da20e47ec623482577e4a1766688fccf3ad92bed71362a4b1a6
deliverable_8_bytes,3614
deliverable_9,HAWKES_BASELINE_V2_DEEP_UNCERTAINTY_SCENARIO_MATRIX.csv
deliverable_9_sha256,73ea455fc0552b3f97e46ad31903ff7a44853064e1f18a2d961b2208aa10054a
deliverable_9_bytes,3247
deliverable_10,HAWKES_BASELINE_V2_DIVERGENT_REPRODUCIBILITY_MANIFEST.csv
deliverable_10_sha256,SELF_HASH = NOT_APPLICABLE_USE_EXTERNAL_OR_GIT_BLOB_HASH -- computed externally after this file is finalized
staged_this_operation,0
committed_this_operation,0
pushed_this_operation,0
server_synced_this_operation,0
checkpoint_1_status,SUPERSEDED_BY_CHECKPOINT_1C
checkpoint_1C_status,COMPLETE_AWAITING_RESEARCHER_ADJUDICATION
checkpoint_2_status,NOT_REACHED
final_state_label,HAWKES_F3_DIVERGENT_REMEDIATION_REQUIRES_RESEARCHER_REVIEW
