event_id,event_date_raw,precision_class,date_meaning,document_date,exact_event_date_eligible,interval_eligible,bounds_provenance
EVT-1659-CD2-168-27ad,20 Juni 1659,EXACT_DAY,EVENT_DATE,20 Juni 1659,1,1,"event_date_precision column, Phase B coding"
EVT-1660-1661-570-cdde,14 Okt 1660 (lapor 27 Jan 1661),EXACT_DAY,EVENT_DATE,14 Okt 1660 (lapor 27 Jan 1661),1,1,"event_date_precision column, Phase B coding"
EVT-1660-CD2-179-8ceb,8 Agustus 1660,EXACT_DAY,EVENT_DATE,8 Agustus 1660,1,1,"event_date_precision column, Phase B coding"
EVT-1660-CD2-184-a8b3,16 Agustus 1660,EXACT_DAY,EVENT_DATE,16 Agustus 1660,1,1,"event_date_precision column, Phase B coding"
EVT-1660-CD2-182-95cf,16 Agustus 1660,EXACT_DAY,EVENT_DATE,16 Agustus 1660,1,1,"event_date_precision column, Phase B coding"
EVT-1660-buku_padang_1718-237-78b0,1660,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1660,0,1,"event_date_precision column, Phase B coding"
EVT-1661-1661-593-b897,~1657-1661 (lapor Des 1661),DATE_INTERVAL,DATE_INTERVAL,~1657-1661 (lapor Des 1661),0,1,"event_date_precision column, Phase B coding"
EVT-1661-1661-594-06f1,Des 1661,MONTH_ONLY,EVENT_DATE,Des 1661,0,1,"event_date_precision column, Phase B coding"
EVT-1662-1663-90-52b5,Jun-Jul 1662 (lapor 27 Mar 1663),DATE_INTERVAL,DATE_INTERVAL,Jun-Jul 1662 (lapor 27 Mar 1663),0,1,"event_date_precision column, Phase B coding"
EVT-1662-1663-92-3145,4 November 1662 (dilaporkan Batavia 27 Maret 1663),EXACT_DAY,EVENT_DATE,4 November 1662 (dilaporkan Batavia 27 Maret 1663),1,1,"event_date_precision column, Phase B coding"
EVT-1663-1663-89-5869,1662-1663 (lapor 27 Mar 1663),DATE_INTERVAL,DATE_INTERVAL,1662-1663 (lapor 27 Mar 1663),0,1,"event_date_precision column, Phase B coding"
EVT-1663-1663-93-1af4,27-28 Maret 1663,DATE_INTERVAL,DATE_INTERVAL,27-28 Maret 1663,0,1,"event_date_precision column, Phase B coding"
EVT-1663-CD2-268-8198,27 Juli 1663,EXACT_DAY,EVENT_DATE,27 Juli 1663,1,1,"event_date_precision column, Phase B coding"
EVT-1664-1664-540-aefa,8 Januari 1664,EXACT_DAY,EVENT_DATE,8 Januari 1664,1,1,"event_date_precision column, Phase B coding"
EVT-1664-1664-560-725f,1664,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1664,0,1,"event_date_precision column, Phase B coding"
EVT-1664-1664-564-dfed,14 Desember 1664,EXACT_DAY,EVENT_DATE,14 Desember 1664,1,1,"event_date_precision column, Phase B coding"
EVT-1665-1665-648-a0c7,10-13 Januari 1665,DATE_INTERVAL,DATE_INTERVAL,10-13 Januari 1665,0,1,"event_date_precision column, Phase B coding"
EVT-1665-1665-668-5c28,27 Agustus 1665,EXACT_DAY,EVENT_DATE,27 Agustus 1665,1,1,"event_date_precision column, Phase B coding"
EVT-1665-buku_padang_1718-237-0a69,1665,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1665,0,1,"event_date_precision column, Phase B coding"
EVT-1667-1681-968-a987,1667 (dicatat ulang 10 Juni 1681),YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1667 (dicatat ulang 10 Juni 1681),0,1,"event_date_precision column, Phase B coding"
EVT-1667-CD2-385-583e,25 Juli 1667,EXACT_DAY,EVENT_DATE,25 Juli 1667,1,1,"event_date_precision column, Phase B coding"
EVT-1668-CD2-399-dc97,29 April 1668,EXACT_DAY,EVENT_DATE,29 April 1668,1,1,"event_date_precision column, Phase B coding"
EVT-1668-CD2-426-244e,1668,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1668,0,1,"event_date_precision column, Phase B coding"
EVT-1668-CD2-426-3321,14 Juli 1668,EXACT_DAY,EVENT_DATE,14 Juli 1668,1,1,"event_date_precision column, Phase B coding"
EVT-1670-buku_padang_1718-238-5f54,Maret 1670,MONTH_ONLY,EVENT_DATE,Maret 1670,0,1,"event_date_precision column, Phase B coding"
EVT-1671-CD2-449-1d39,1 Agustus 1671,EXACT_DAY,EVENT_DATE,1 Agustus 1671,1,1,"event_date_precision column, Phase B coding"
EVT-1671-CD2-454-306d,8 & 10 September 1671,EXACT_DAY,EVENT_DATE,8 & 10 September 1671,1,1,"event_date_precision column, Phase B coding"
EVT-1671-CD2-459-2aea,6 Desember 1671,EXACT_DAY,EVENT_DATE,6 Desember 1671,1,1,"event_date_precision column, Phase B coding"
EVT-1671-buku_padang_1718-238-d7c8,8 September 1671,EXACT_DAY,EVENT_DATE,8 September 1671,1,1,"event_date_precision column, Phase B coding"
EVT-1672-CD2-476-34e0,19 Maret 1672,EXACT_DAY,EVENT_DATE,19 Maret 1672,1,1,"event_date_precision column, Phase B coding"
EVT-1673-CD2-498-f351,5 Januari 1673,EXACT_DAY,EVENT_DATE,5 Januari 1673,1,1,"event_date_precision column, Phase B coding"
EVT-1678-CD3-171-d8b8,22 September 1678,EXACT_DAY,EVENT_DATE,22 September 1678,1,1,"event_date_precision column, Phase B coding"
EVT-1679-CD3-188-9ada,18 April 1679,EXACT_DAY,EVENT_DATE,18 April 1679,1,1,"event_date_precision column, Phase B coding"
EVT-1679-CD3-208-e635,20 November 1679,EXACT_DAY,EVENT_DATE,20 November 1679,1,1,"event_date_precision column, Phase B coding"
EVT-1680-CD3-230-4cb1,24 Juli - 8 Agustus 1680,DATE_INTERVAL,DATE_INTERVAL,24 Juli - 8 Agustus 1680,0,1,"event_date_precision column, Phase B coding"
EVT-1680-CD3-231-2c30,29 Agustus 1680,EXACT_DAY,EVENT_DATE,29 Agustus 1680,1,1,"event_date_precision column, Phase B coding"
EVT-1681-1681-971-dae1,10 Juni 1681,EXACT_DAY,EVENT_DATE,10 Juni 1681,1,1,"event_date_precision column, Phase B coding"
EVT-1681-CD3-239-27a2,1 Januari 1681,EXACT_DAY,EVENT_DATE,1 Januari 1681,1,1,"event_date_precision column, Phase B coding"
EVT-1681-CD3-244-1165,27 Januari - 31 Maret 1681,DATE_INTERVAL,DATE_INTERVAL,27 Januari - 31 Maret 1681,0,1,"event_date_precision column, Phase B coding"
EVT-1681-CD3-263-fde8,12 Februari 1681,EXACT_DAY,EVENT_DATE,12 Februari 1681,1,1,"event_date_precision column, Phase B coding"
EVT-1681-CD3-269-1a96,27 Februari 1681,EXACT_DAY,EVENT_DATE,27 Februari 1681,1,1,"event_date_precision column, Phase B coding"
EVT-1681-CD3-271-3780,10 Maret 1681,EXACT_DAY,EVENT_DATE,10 Maret 1681,1,1,"event_date_precision column, Phase B coding"
EVT-1682-CD3-301-add0,17 Maret 1682,EXACT_DAY,EVENT_DATE,17 Maret 1682,1,1,"event_date_precision column, Phase B coding"
EVT-1682-CD3-309-b42a,5 Juli 1682,EXACT_DAY,EVENT_DATE,5 Juli 1682,1,1,"event_date_precision column, Phase B coding"
EVT-1684-CD3-365-7f5b,19-20 Juni 1684,DATE_INTERVAL,DATE_INTERVAL,19-20 Juni 1684,0,1,"event_date_precision column, Phase B coding"
EVT-1684-CD3-366-27bc,20-21 Juni 1684,DATE_INTERVAL,DATE_INTERVAL,20-21 Juni 1684,0,1,"event_date_precision column, Phase B coding"
EVT-1685-CD3-399-bfad,30 November - 2 Desember 1685,DATE_INTERVAL,DATE_INTERVAL,30 November - 2 Desember 1685,0,1,"event_date_precision column, Phase B coding"
EVT-1686-buku_vogel_1690-722-2078,Anno 1686,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,Anno 1686,0,1,"event_date_precision column, Phase B coding"
EVT-1687-CD3-436-b331,23 Januari 1687,EXACT_DAY,EVENT_DATE,23 Januari 1687,1,1,"event_date_precision column, Phase B coding"
EVT-1689-CD3-490-9ab5,23 Januari 1689,EXACT_DAY,EVENT_DATE,23 Januari 1689,1,1,"event_date_precision column, Phase B coding"
EVT-1690-CD3-547-cce7,18 Oktober 1690,EXACT_DAY,EVENT_DATE,18 Oktober 1690,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-24-3bed,22 Januari 1693,EXACT_DAY,EVENT_DATE,22 Januari 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-28-25a0,29 Januari 1693,EXACT_DAY,EVENT_DATE,29 Januari 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-35-f372,23 Maret 1693,EXACT_DAY,EVENT_DATE,23 Maret 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-40-0ecc,31 Maret 1693,DATE_INTERVAL,DATE_INTERVAL,31 Maret 1693,0,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-44-09eb,3 April 1693,EXACT_DAY,EVENT_DATE,3 April 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-48-3e44,15 April 1693,EXACT_DAY,EVENT_DATE,15 April 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-51-063c,26 April 1693,EXACT_DAY,EVENT_DATE,26 April 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-55-95a5,2 Mei 1693,EXACT_DAY,EVENT_DATE,2 Mei 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-59-3300,3 Mei 1693,EXACT_DAY,EVENT_DATE,3 Mei 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1693-CD4-61-8c0b,3 Mei 1693,EXACT_DAY,EVENT_DATE,3 Mei 1693,1,1,"event_date_precision column, Phase B coding"
EVT-1694-CD4-81-8780,12 Maret - 5 April 1694,DATE_INTERVAL,DATE_INTERVAL,12 Maret - 5 April 1694,0,1,"event_date_precision column, Phase B coding"
EVT-1694-CD4-93-0dad,5 April 1694,EXACT_DAY,EVENT_DATE,5 April 1694,1,1,"event_date_precision column, Phase B coding"
EVT-1698-CD4-146-421e,19 Juni 1698,EXACT_DAY,EVENT_DATE,19 Juni 1698,1,1,"event_date_precision column, Phase B coding"
EVT-1698-CD4-152-3c4b,1 Oktober 1698,EXACT_DAY,EVENT_DATE,1 Oktober 1698,1,1,"event_date_precision column, Phase B coding"
EVT-1705-CD4-248-fb99,13 Agustus 1705,EXACT_DAY,EVENT_DATE,13 Agustus 1705,1,1,"event_date_precision column, Phase B coding"
EVT-1705-buku-padang-1718-238-c342,1705,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1705,0,1,"event_date_precision column, Phase B coding"
EVT-1707-CD4-274-b83c,17 Mei 1707,EXACT_DAY,EVENT_DATE,17 Mei 1707,1,1,"event_date_precision column, Phase B coding"
EVT-1707-CD4-276-8287,8 Juni 1707,EXACT_DAY,EVENT_DATE,8 Juni 1707,1,1,"event_date_precision column, Phase B coding"
EVT-1712-CD4-399-8883,19 Maret 1712,EXACT_DAY,EVENT_DATE,19 Maret 1712,1,1,"event_date_precision column, Phase B coding"
EVT-1712-buku-padang-1718-238-c777,1712,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1712,0,1,"event_date_precision column, Phase B coding"
EVT-1716-CD4-487-ca42,21 Maret 1716,EXACT_DAY,EVENT_DATE,21 Maret 1716,1,1,"event_date_precision column, Phase B coding"
EVT-1716-CD4-493-a32f,Maret 1716,MONTH_ONLY,EVENT_DATE,Maret 1716,0,1,"event_date_precision column, Phase B coding"
EVT-1727-CD5-26-5907,11 Maret 1727,EXACT_DAY,EVENT_DATE,11 Maret 1727,1,1,"event_date_precision column, Phase B coding"
EVT-1731-CD5-108-0f5b,22 Maret 1731,EXACT_DAY,EVENT_DATE,22 Maret 1731,1,1,"event_date_precision column, Phase B coding"
EVT-1737-CD5-271-dda1,20 Desember 1737,EXACT_DAY,EVENT_DATE,20 Desember 1737,1,1,"event_date_precision column, Phase B coding"
EVT-1738-buku-padang-1718-92-35fb,~1737-1738 (tak presisi),DATE_INTERVAL,DATE_INTERVAL,5 April 1739 (tanggal surat GM),0,1,"event_date_precision column, Phase B coding"
EVT-1740-buku-padang-1718-93-0c74,akhir 1740,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,10 Januari 1741 (tanggal surat GM),0,1,"event_date_precision column, Phase B coding"
EVT-1741-CD5-330-472f,21 Oktober 1741,EXACT_DAY,EVENT_DATE,21 Oktober 1741,1,1,"event_date_precision column, Phase B coding"
EVT-1751-buku-padang-1718-93-9efa,1751,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,"30 Desember 1752 (tanggal surat GM, merujuk brief asli 27 Des 1751)",0,1,"event_date_precision column, Phase B coding"
EVT-1755-CD6-42-a16a,2 Februari 1755,EXACT_DAY,EVENT_DATE,2 Februari 1755,1,1,"event_date_precision column, Phase B coding"
EVT-1755-CD6-47-2daa,5 Februari 1755,EXACT_DAY,EVENT_DATE,5 Februari 1755,1,1,"event_date_precision column, Phase B coding"
EVT-1755-CD6-62-868c,15 Februari 1755,EXACT_DAY,EVENT_DATE,15 Februari 1755,1,1,"event_date_precision column, Phase B coding"
EVT-1755-buku-padang-1718-238-0727,1755,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1755,0,1,"event_date_precision column, Phase B coding"
EVT-1759-buku-padang-1718-94-eec0,4 Desember 1759,EXACT_DAY,EVENT_DATE,"31 Desember 1760 (tanggal surat GM, merujuk keputusan asli 4 Des 1759)",1,1,"event_date_precision column, Phase B coding"
EVT-1760-CD6-210-53b2,6-7 Maret 1760,DATE_INTERVAL,DATE_INTERVAL,6-7 Maret 1760,0,1,"event_date_precision column, Phase B coding"
EVT-1760-CD6-223-cedc,6 Oktober 1760,EXACT_DAY,EVENT_DATE,6 Oktober 1760,1,1,"event_date_precision column, Phase B coding"
EVT-1760-buku-padang-1718-94-4d0e,25 Maret 1760,EXACT_DAY,EVENT_DATE,"31 Desember 1760 (tanggal surat GM, merujuk keputusan asli 18 & 25 Maret 1760)",1,1,"event_date_precision column, Phase B coding"
EVT-1763-CD6-239-9efe,5 Juni 1763,EXACT_DAY,EVENT_DATE,5 Juni 1763,1,1,"event_date_precision column, Phase B coding"
EVT-1767-CD6-301-cb4b,19 Juli 1767,EXACT_DAY,EVENT_DATE,19 Juli 1767,1,1,"event_date_precision column, Phase B coding"
EVT-1775-CD6-404-a460,23 Januari 1775,EXACT_DAY,EVENT_DATE,23 Januari 1775,1,1,"event_date_precision column, Phase B coding"
EVT-1678-buku-vogel-1690-715-1a71,"Anno 1678 (dlm daftar 1670,1678,1682,1686)",YEAR_ONLY,EVENT_DATE_YEAR_ONLY,Anno 1678,0,1,"event_date_precision column, Phase B coding"
EVT-1686-buku-vogel-1690-715-2972,"Anno 1686 (dlm daftar 1670,1678,1682,1686)",YEAR_ONLY,EVENT_DATE_YEAR_ONLY,Anno 1686,0,1,"event_date_precision column, Phase B coding"
EVT-1686-buku-vogel-1690-458-fa01,1 September 1686,EXACT_DAY,EVENT_DATE,1 September 1686,1,1,"event_date_precision column, Phase B coding"
EVT-1687-buku-vogel-1690-467-82b3,26-27 Januari 1687,DATE_INTERVAL,DATE_INTERVAL,26-27 Januari 1687,0,1,"event_date_precision column, Phase B coding"
EVT-1687-buku-vogel-1690-543-c3df,sekitar 10 Juli 1687 (hari setelah 9 Juli),DATE_INTERVAL,DATE_INTERVAL,sekitar 10 Juli 1687,0,1,"event_date_precision column, Phase B coding"
EVT-1686-eic-bl-ior-g35-198-171c,18/22 September 1686,DATE_INTERVAL,DATE_INTERVAL,18/22 September 1686,0,1,"event_date_precision column, Phase B coding"
EVT-1676-gm-vol04-05-101-7181,Juni 1676,MONTH_ONLY,EVENT_DATE,1676,0,1,"event_date_precision column, Phase B coding"
EVT-1687-gm-vol04-05-162-a6b1,22 December 1687,EXACT_DAY,EVENT_DATE,"1688 (surat), merujuk 22 Des 1687",1,1,"event_date_precision column, Phase B coding"
EVT-1688-gm-vol04-05-162-a0a4,"~1688 (rumor, tanggal tak presisi)",UNRESOLVED,UNRESOLVED,1688,0,0,"event_date_precision column, Phase B coding"
EVT-1683-gm-vol04-05-600-a6fd,31 december 1683 (lapor),EXACT_DAY,EVENT_DATE,31 Desember 1683,1,1,"event_date_precision column, Phase B coding"
EVT-1694-gm-vol04-05-599-ac7e,"~1693-1695 (tak presisi, catatan editorial RGP)",UNRESOLVED,UNRESOLVED,14 Maret 1693 (tanggal surat); pembunuhan Sas sendiri tak presisi,0,0,"event_date_precision column, Phase B coding"
EVT-1687-buku-vogel-1690-477-154b,26-27 Februari 1687,DATE_INTERVAL,DATE_INTERVAL,26-27 Februari 1687,0,1,"event_date_precision column, Phase B coding"
EVT-1687-buku-vogel-1690-545-3f44,April-Mei 1687,MONTH_ONLY,EVENT_DATE,April-Mei 1687,0,1,"event_date_precision column, Phase B coding"
EVT-1602-lancaster-1601-1603-1-c28a,November 1602 (berangkat dari Priaman 26 Nov),MONTH_ONLY,EVENT_DATE,November 1602,0,1,"event_date_precision column, Phase B coding"
EVT-1781-kathirithamby-1965-314-6c8a,16 Agustus 1781 (koreksi dari 10 Agst),EXACT_DAY,EVENT_DATE,21 Agustus 1781 (Harries); 13 Juni 1782 (van Kempen),1,1,"event_date_precision column, Phase B coding"
EVT-1781-botham-letter-1781-1-d154,17 Agustus 1781 (koreksi dari 19 Agst),EXACT_DAY,EVENT_DATE,12 Oktober 1781 (Botham); 21 Agustus 1781 (Harries mengutip Botham 18 Agst); 13 Juni 1782 (van Kempen),1,1,"event_date_precision column, Phase B coding"
EVT-1781-botham-letter-1781-1-5a01,"Okt 1781 (subordinat, surat Botham 12 Okt 1781)",MONTH_ONLY,EVENT_DATE,12 Oktober 1781,0,1,"event_date_precision column, Phase B coding"
EVT-1781-botham-letter-1781-1-5333,"Okt 1781 (subordinat, surat Botham 12 Okt 1781)",MONTH_ONLY,EVENT_DATE,12 Oktober 1781,0,1,"event_date_precision column, Phase B coding"
EVT-1782-kathirithamby-1965-318-9273,Maret 1782,MONTH_ONLY,EVENT_DATE,Maret 1782,0,1,"event_date_precision column, Phase B coding"
EVT-1783-kathirithamby-1965-320-2db5,Juni 1783,MONTH_ONLY,EVENT_DATE,Juni 1783,0,1,"event_date_precision column, Phase B coding"
EVT-1784-kathirithamby-1965-320-b7b8,1784-1785,DATE_INTERVAL,DATE_INTERVAL,1784-1785,0,1,"event_date_precision column, Phase B coding"
EVT-1750-kathirithamby-1965-246-ffbe,5 Jan 1750 (dilaporkan Madras),EXACT_DAY,EVENT_DATE,5 Januari 1750,1,1,"event_date_precision column, Phase B coding"
EVT-1767-kathirithamby-1965-246-3f3e,1767 (diulang 1772),YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1767,0,1,"event_date_precision column, Phase B coding"
EVT-1772-kathirithamby-1965-246-2ab5,1772,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,1772,0,1,"event_date_precision column, Phase B coding"
EVT-1773-kathirithamby-1965-247-2969,10 Des 1773,EXACT_DAY,EVENT_DATE,10 Desember 1773,1,1,"event_date_precision column, Phase B coding"
EVT-1685-kathirithamby-1965-364-49e5,29 Sep 1685,EXACT_DAY,EVENT_DATE,29 September 1685,1,1,"event_date_precision column, Phase B coding"
EVT-1714-kathirithamby-1965-364-5008,1714,YEAR_ONLY,EVENT_DATE_YEAR_ONLY,"1714 (estimasi, konsisten seed_data.py)",0,1,"event_date_precision column, Phase B coding"
