event_id,source_id,source_family,repository_or_publication,stable_locator,page_folio_or_section,document_date,event_date,date_relation,quotation_or_extraction_locator,coding_provenance,parent_episode,ambiguity_type,resolution_status,requires_folio_check,notes
EVT-1657-1656_1657-101-8536,1656-1657:p101(buku 87),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1656-1657:p101(buku 87),p101(buku 87),28 Jan 1657,28 Jan 1657,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1657-1656_1657-131-fa7d,1656-1657:p131(buku 117),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1656-1657:p131(buku 117),p131(buku 117),6 Feb 1657,6 Feb 1657,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1657-1656_1657-171-ae4f,1656-1657:p171(buku 157),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1656-1657:p171(buku 157),p171(buku 157),Mei 1657,Mei 1657,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1657-1656_1657-196-c73e,1656-1657:p196(buku 182),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1656-1657:p196(buku 182),p196(buku 182),pertengahan 1657,pertengahan 1657,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1659-1659-65-19f3,1659:p65(buku 57),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1659:p65(buku 57),p65(buku 57),ult. Jan-Mar 1659,ult. Jan-Mar 1659,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1659-1659-111-baa6,1659:p111(buku 103),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1659:p111(buku 103),p111(buku 103),26 Mei 1659,26 Mei 1659,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1659-VOC-ATJEH-PEACE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1660-buku_padang_1718-237-78b0,buku-padang-1718:p237(buku 237),secondary_academic,buku-padang-1718,buku-padang-1718:p237(buku 237),p237(buku 237),1660,1660,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p237(buku 237),Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1665-buku_padang_1718-237-0a69,buku-padang-1718:p237(buku 237),secondary_academic,buku-padang-1718,buku-padang-1718:p237(buku 237),p237(buku 237),1665,1665,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p237(buku 237),Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1670-buku_padang_1718-238-5f54,buku-padang-1718:p238(buku 238),secondary_academic,buku-padang-1718,buku-padang-1718:p238(buku 238),p238(buku 238),Maret 1670,Maret 1670,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p238(buku 238),Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1671-buku_padang_1718-238-d7c8,buku-padang-1718:p238(buku 238),secondary_academic,buku-padang-1718,buku-padang-1718:p238(buku 238),p238(buku 238),8 September 1671,8 September 1671,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p238(buku 238),Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1705-buku-padang-1718-238-c342,buku-padang-1718:p238(buku 238),secondary_academic,buku-padang-1718,buku-padang-1718:p238(buku 238),p238(buku 238),1705,1705,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p238(buku 238),Phase B batch; source_chain_to_primary=not_verified,EP-1705-1712-KOTO-TANGAH-LOYALTY-CONSOLIDATION,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1712-buku-padang-1718-238-c777,buku-padang-1718:p238(buku 238),secondary_academic,buku-padang-1718,buku-padang-1718:p238(buku 238),p238(buku 238),1712,1712,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p238(buku 238),Phase B batch; source_chain_to_primary=not_verified,EP-1705-1712-KOTO-TANGAH-LOYALTY-CONSOLIDATION,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1755-buku-padang-1718-238-0727,buku-padang-1718:p238(buku 238),secondary_academic,buku-padang-1718,buku-padang-1718:p238(buku 238),p238(buku 238),1755,1755,"event_date as reported by secondary source, primary archival document not independently located",buku-padang-1718:p238(buku 238),Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1782-kathirithamby-1965-318-9273,"kathirithamby-1965:p318 (PhD thesis, Univ. London 1965, docs/EIC_alternatif.json)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p318 (PhD thesis, Univ. London 1965, docs/EIC_alternatif.json)","p318 (PhD thesis, Univ. London 1965, docs/EIC_alternatif.json)",Maret 1782,Maret 1782,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p318 (PhD thesis, Univ. London 1965, docs/EIC_alternatif.json)",Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1783-kathirithamby-1965-320-2db5,"kathirithamby-1965:p320 (PhD thesis, docs/EIC_alternatif.json)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p320 (PhD thesis, docs/EIC_alternatif.json)","p320 (PhD thesis, docs/EIC_alternatif.json)",Juni 1783,Juni 1783,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p320 (PhD thesis, docs/EIC_alternatif.json)",Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1784-kathirithamby-1965-320-b7b8,"kathirithamby-1965:p320-321 (PhD thesis, docs/EIC_alternatif.json)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p320-321 (PhD thesis, docs/EIC_alternatif.json)","p320-321 (PhD thesis, docs/EIC_alternatif.json)",1784-1785,1784-1785,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p320-321 (PhD thesis, docs/EIC_alternatif.json)",Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1750-kathirithamby-1965-246-ffbe,"kathirithamby-1965:p246 n.3 (Madras Records 5 'Coast'/'Bay' Abstract, 5 Jan 1750)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p246 n.3 (Madras Records 5 'Coast'/'Bay' Abstract, 5 Jan 1750)","p246 n.3 (Madras Records 5 'Coast'/'Bay' Abstract, 5 Jan 1750)",5 Januari 1750,5 Jan 1750 (dilaporkan Madras),"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p246 n.3 (Madras Records 5 'Coast'/'Bay' Abstract, 5 Jan 1750)",Phase B batch; source_chain_to_primary=not_verified,EP-1750-1773-MINANGKABAU-EIC-OVERTURES,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1767-kathirithamby-1965-246-3f3e,kathirithamby-1965:p246,secondary_academic,kathirithamby-1965,kathirithamby-1965:p246,p246,1767,1767 (diulang 1772),"event_date as reported by secondary source, primary archival document not independently located",kathirithamby-1965:p246,Phase B batch; source_chain_to_primary=not_verified,EP-1750-1773-MINANGKABAU-EIC-OVERTURES,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1772-kathirithamby-1965-246-2ab5,kathirithamby-1965:p246,secondary_academic,kathirithamby-1965,kathirithamby-1965:p246,p246,1772,1772,"event_date as reported by secondary source, primary archival document not independently located",kathirithamby-1965:p246,Phase B batch; source_chain_to_primary=not_verified,EP-1750-1773-MINANGKABAU-EIC-OVERTURES,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1773-kathirithamby-1965-247-2969,"kathirithamby-1965:p247 (SFR 33, Despatches, 10 Dec 1773)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p247 (SFR 33, Despatches, 10 Dec 1773)","p247 (SFR 33, Despatches, 10 Dec 1773)",10 Desember 1773,10 Des 1773,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p247 (SFR 33, Despatches, 10 Dec 1773)",Phase B batch; source_chain_to_primary=not_verified,EP-1750-1773-MINANGKABAU-EIC-OVERTURES,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1685-kathirithamby-1965-364-49e5,"kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.1)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.1)","p364 (Appendix bibliografi, Sumatra Factory Records Vol.1)",29 September 1685,29 Sep 1685,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.1)",Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
EVT-1714-kathirithamby-1965-364-5008,"kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.8)",secondary_academic,kathirithamby-1965,"kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.8)","p364 (Appendix bibliografi, Sumatra Factory Records Vol.8)","1714 (estimasi, konsisten seed_data.py)",1714,"event_date as reported by secondary source, primary archival document not independently located","kathirithamby-1965:p364 (Appendix bibliografi, Sumatra Factory Records Vol.8)",Phase B batch; source_chain_to_primary=not_verified,NONE,SECONDARY_SOURCE_ONLY,PROVENANCE_PARTIALLY_RESOLVED,false,"Stable page-level citation exists to a known, previously identity-verified secondary academic work (buku-padang-1718 or Kathirithamby 1965 PhD thesis); the gap is specifically an unverified chain back to a primary archival document, not a missing citation. Eligible for sensitivity analysis sets, excluded from the strict primary-model set (AS1)."
