claim_id,source_artifact,source_locator,epistemic_type,current_decision_status,live_mechanisms,missing_discriminating_evidence,dependent_RO_gates,external_evidence_required
C11,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C11,AGENT_INTERPRETATION,REJECT_AS_CURRENT_ROLE,NOT_APPLICABLE,NONE (settled by N_corpus(t)!=H(t) prohibition),none,NO
C12,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C12,RESEARCHER_DECISION,"RETAIN_AS_OPEN (not selected, not excluded)","NOT_APPLICABLE (governance choice, not evidentiary)","NONE (governance, not evidence-driven)",none,NO
R-O1,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O1,COMPUTED_DESCRIPTION,NOT_EVALUABLE,"NOT_APPLICABLE (ontology-construct question, not a mechanism pick)",evidence-grounded identity/boundary/granularity/provenance locator distinct from the event's own citation (WP-E4),R-O10,YES (source rereading for 22 blank/unknown precision rows)
R-O2,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O2,COMPUTED_DESCRIPTION,NOT_EVALUABLE,{MEC-06} (duplicate/report-mapping question),atomic per-document report_id schema field,"R-O1,R-O10",YES (schema-extension + source rereading)
R-O3,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O3,COMPUTED_DESCRIPTION,NOT_EVALUABLE,{MEC-07},source/audit locator + explicit episode-assignment rule (WP-E4),"R-O1,R-O4",YES
R-O4/DEDUP-06,HAWKES_BASELINE_V2_DEDUP06_ABDUCTIVE_MATRIX.csv,rows H-DEDUP06-A/B/C + STOP_RULE_RESULT,MIXED (AGENT_HYPOTHESIS per row; REPOSITORY_FACT for the FAIL verdict itself),FAIL (gate)/RETAIN_AS_OPEN (referent),"{H-DEDUP06-A,H-DEDUP06-B,H-DEDUP06-C}","direct retrieval and reading of 'Corpus III, nr. D' (WP-E6)","R-O1,R-O3",YES (archival retrieval)
R-O5,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O5,COMPUTED_DESCRIPTION,NOT_EVALUABLE,{MEC-08},researcher-reviewed L_i/U_i parsing rule (WP-E5),"R-O1,R-O10",PARTIALLY (design is in-repository; validation needs source dates)
R-O6,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O6,COMPUTED_DESCRIPTION,NOT_EVALUABLE,{MEC-10},actor-role/action/outcome schema columns,"R-O7,R-O10",YES (source rereading)
R-O7,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O7,COMPUTED_DESCRIPTION,NOT_EVALUABLE,"NOT_APPLICABLE (colonial-category mapping, cross-cuts many mechanisms)",literal source-language terms per event_type category (WP-E3),"G_sourcecrit,R-O10",YES (source-text access)
R-O8,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O8,COMPUTED_DESCRIPTION,NOT_EVALUABLE,"{MEC-03,MEC-04}",R_record/R_survival likely permanently NOT_EVALUABLE (structural); R_access improvable via source_chain_to_primary audit,"R-O9,R-O10","PARTIALLY (R_access only, in-repository)"
R-O9,HAWKES_BASELINE_V2_EXPOSURE_INFORMATION_REQUIREMENTS.csv,all 6 candidate rows,COMPUTED_DESCRIPTION,NOT_EVALUABLE,{MEC-05},"external non-circular exposure ledger (4 of 6 candidate types unassessed, WP-E7)",R-O10,YES (external archival-ledger access)
R-O10,HAWKES_BASELINE_V2_COMPARATOR_PREREQUISITE_MAP.csv,M1/M3 rows,COMPUTED_DESCRIPTION,NOT_EVALUABLE,"NOT_APPLICABLE (derived gate, inherits R-O1/R-O5/R-O6/R-O9)",no independent remediation path,none (terminal),NO (inherits others' requirements)
SCENARIO-S-CURRENT,HAWKES_BASELINE_V2_DEEP_UNCERTAINTY_SCENARIO_MATRIX.csv,row S-CURRENT,COMPUTED_DESCRIPTION,MODEL_RECONSIDERATION_BLOCKED,"NOT_APPLICABLE (scenario classification, not a mechanism pick)",resolution of R-O1/R-O2/R-O3/R-O5/R-O9/R-O7 jointly,"R-O1,R-O2,R-O3,R-O5,R-O7,R-O9,R-O10",YES (composite of all above)
G_sourcecrit,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row G_sourcecrit,COMPUTED_DESCRIPTION,NOT_EVALUABLE (gate_evaluation_status),"NOT_APPLICABLE (compound gate, not a mechanism pick)",R-O7 colonial-category mapping (0/5 categories mapped),R-O7,"YES (source-text access, same requirement as R-O7)"
G_ontology_future,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row G_ontology_future,COMPUTED_DESCRIPTION,MIXED (gate_evaluation_status),"NOT_APPLICABLE (compound gate, not a mechanism pick)","resolution of R-O1,R-O2,R-O3,R-O7,R-O8 jointly (M_event,M_report,M_episode,M_source,M_coding components)","R-O1,R-O2,R-O3,R-O7,R-O8",YES (composite of the above)
