row_type,action_id_or_field,description_or_value,reversibility,source_dependence,ontology_dependence,expected_discriminating_value,colonial_category_risk,coding_contamination_risk,cost_class,prerequisites,status
PORTFOLIO_ACTION,ACT-11,Apply WP-E4 event-unit adjudication instrument to a sample of AS86 rows (explicitly NOT full corpus scoring),"MODERATE (sampled application only, no corpus mutation)",MODERATE (source rereading for the sample),HIGH (directly targets R-O1),HIGH,LOW,LOW,MODERATE,WP-E4 protocol accepted; explicit sample-only scope agreed,REQUIRES_RESEARCHER_REVIEW
PORTFOLIO_ACTION,ACT-12,Refit under an alternative jitter regime to test MEC-08 kernel-shape sensitivity (NC-05),NOT APPLICABLE -- PROHIBITED (this is model fitting),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PROHIBITED
MANIFEST_FIELD,GOVERNING_INSTRUCTION,docs/CLAUDE_HAWKES_V2_DIVERGENT_EVIDENCE_ACQUISITION_AND_DISCRIMINATION_PLAN.md,,,,,,,,,
MANIFEST_FIELD,AUTHORITATIVE_HEAD,38137fe0ad923488ffbedc4d4fc640c096acf0b5,,,,,,,,,
MANIFEST_FIELD,model_fitting_performed,NO,,,,,,,,,
MANIFEST_FIELD,forecasting_performed,NO,,,,,,,,,
MANIFEST_FIELD,simulation_or_bootstrap_performed,NO,,,,,,,,,
MANIFEST_FIELD,calibration_performed,NO,,,,,,,,,
MANIFEST_FIELD,Hawkes_visualization_performed,NO,,,,,,,,,
MANIFEST_FIELD,AS86_mutated,NO,,,,,,,,,
MANIFEST_FIELD,sensitivity_corpus_created,NO,,,,,,,,,
MANIFEST_FIELD,DEDUP06_resolved,NO,,,,,,,,,
MANIFEST_FIELD,V2B_executed,NO,,,,,,,,,
MANIFEST_FIELD,PhaseD_rerun,NO,,,,,,,,,
MANIFEST_FIELD,N_material_claims_identified,25 (CORRECTED per CR-1: G_sourcecrit and G_ontology_future were omitted),,,,,,,,,
MANIFEST_FIELD,N_material_claims_included,25,,,,,,,,,
MANIFEST_FIELD,P_claim,25/25 = 1.00 (CORRECTED; pre-correction value was 23/25 = 0.92),,,,,,,,,
MANIFEST_FIELD,N_source_families_identified,9,,,,,,,,,
MANIFEST_FIELD,N_source_families_with_metadata,9,,,,,,,,,
MANIFEST_FIELD,P_source,9/9 = 1.00,,,,,,,,,
MANIFEST_FIELD,N_mechanisms,15,,,,,,,,,
MANIFEST_FIELD,N_live_mechanisms,"11 (MEC-01,02,05,06,07,08,09,11,12,13,14) -- CORRECTED per CR-3: MEC-13 restored to LIVE",,,,,,,,,
MANIFEST_FIELD,N_nonlive_mechanisms,"4 (MEC-03,04,10,15) -- CORRECTED per CR-3",,,,,,,,,
MANIFEST_FIELD,N_negative_controls_designed,5,,,,,,,,,
MANIFEST_FIELD,N_negative_controls_admissible_now,1 (NC-05 design-admissible; execution PROHIBITED),,,,,,,,,
MANIFEST_FIELD,G_DEDUP06,0 (unchanged; G_DEDUP06=1[R=1 AND Q=1 AND C=1 AND A=1]),,,,,,,,,
MANIFEST_FIELD,G_seg_prospective,0 (blocked on researcher_acceptance only),,,,,,,,,
MANIFEST_FIELD,N_false_convergence,0,,,,,,,,,
MANIFEST_FIELD,N_portfolio_actions,12,,,,,,,,,
MANIFEST_FIELD,N_actions_PROHIBITED,1 (ACT-12),,,,,,,,,
MANIFEST_FIELD,N_actions_DO_NOW_READ_ONLY,"2 (ACT-02, ACT-06)",,,,,,,,,
MANIFEST_FIELD,N_actions_DESIGN_ONLY,"2 (ACT-03, ACT-08)",,,,,,,,,
MANIFEST_FIELD,N_actions_REQUEST_SOURCE_ACCESS,"4 (ACT-01, ACT-05, ACT-07, ACT-09)",,,,,,,,,
MANIFEST_FIELD,N_actions_REQUIRES_RESEARCHER_REVIEW,"3 (ACT-04, ACT-10, ACT-11)",,,,,,,,,
MANIFEST_FIELD,staged_this_operation,0,,,,,,,,,
MANIFEST_FIELD,committed_this_operation,0,,,,,,,,,
MANIFEST_FIELD,pushed_this_operation,0,,,,,,,,,
MANIFEST_FIELD,server_synced_this_operation,0,,,,,,,,,
MANIFEST_FIELD,checkpoint_1_status,AWAITING_RESEARCHER_ADJUDICATION,,,,,,,,,
MANIFEST_FIELD,deliverable_12_sha256,SELF_HASH = NOT_APPLICABLE_USE_EXTERNAL_HASH -- computed externally after this file is finalized,,,,,,,,,
MANIFEST_FIELD,P_claim_precorrection,23/25 = 0.92 (retained for audit trail; see CR-1),,,,,,,,,
MANIFEST_FIELD,E8_precorrection,0 (audited pre-correction value; MEC-13 unjustified transition),,,,,,,,,
MANIFEST_FIELD,E14_precorrection,0 (audited pre-correction value; undocumented epistemic promotion for MEC-13),,,,,,,,,
MANIFEST_FIELD,G_E_precorrection,0 (audited pre-correction value),,,,,,,,,
MANIFEST_FIELD,E8_postcorrection,1 (all MEC-01..15 retain evidence-sensitive status; MEC-13 restored to LIVE/RETAIN_AS_OPEN),,,,,,,,,
MANIFEST_FIELD,E14_postcorrection,"1 (MEC-13 correction is explicitly documented as a correction, not a silent promotion)",,,,,,,,,
MANIFEST_FIELD,G_E_postcorrection,1 (see master report Section 16 for full E0-E15 recomputation),,,,,,,,,
MANIFEST_FIELD,N_false_convergence_claim_level,0 (unchanged; strict claim-level formula over C1-C12/R-O ADOPT-REJECT decisions),,,,,,,,,
MANIFEST_FIELD,FALSE_CONVERGENCE_DETECTED_PRECORRECTION,TRUE (MEC-13 live-to-nonlive transition in the prior evidence-acquisition package was unsupported by decisive evidence),,,,,,,,,
MANIFEST_FIELD,FALSE_CONVERGENCE_REMEDIATED,"TRUE (MEC-13 restored to LIVE/RETAIN_AS_OPEN consistently in HAWKES_V2_MECHANISM_DISCRIMINATION_MATRIX.csv, this manifest, and the master report)",,,,,,,,,
MANIFEST_FIELD,G_ACT05_design,"0 (C=R=U=P=1, A=0 -- CR-8 protocol design complete per master report Section 14.4; researcher acceptance not yet given)",,,,,,,,,
MANIFEST_FIELD,G_seg_prospective,"0 (unchanged; (R,E,U,A)=(1,1,1,0), blocked solely on researcher acceptance)",,,,,,,,,
MANIFEST_FIELD,D1_prior,NOT_EVALUABLE (unchanged; not retroactively retyped),,,,,,,,,
MANIFEST_FIELD,ACT-01_status_label,MAY_ENABLE_ADJUDICATION (corrected per CR-4),,,,,,,,,
MANIFEST_FIELD,AS86_mutated_this_correction,NO,,,,,,,,,
MANIFEST_FIELD,RO4_status,FAIL (unchanged; not promoted),,,,,,,,,
MANIFEST_FIELD,source_object_metadata_coverage_label,IDENTIFIED_SOURCE_OBJECT_METADATA_COVERAGE = 9/9 (domain: 9 repository-identified objects only; not comparability or archival-opportunity completeness),,,,,,,,,
MANIFEST_FIELD,CR8_status,COMPLETE (design-only; protocol drafted with all four non-acceptance components; ACT-05 remains NOT_AUTHORIZED pending researcher acceptance),,,,,,,,,
MANIFEST_FIELD,G_E_original,1 (E0..E15 recomputed under their ORIGINAL definitions from the governing divergent-evidence-acquisition instruction; none of E0-E15 was originally defined to require ACT-05 protocol completeness),,,,,,,,,
MANIFEST_FIELD,G_correction_closure_precorrection,0 (CR-8 was incomplete before this operation),,,,,,,,,
MANIFEST_FIELD,G_correction_closure,1 (CR-1 through CR-8 all satisfied as of this operation),,,,,,,,,
MANIFEST_FIELD,N_ignored_evidence_acquisition_outputs,"12 (all Git-ignored, not merely untracked, by .gitignore line 163's broad glob; see master report Section 21)",,,,,,,,,
MANIFEST_FIELD,G_visible,0 (N_ignored=12 != 0),,,,,,,,,
