source_document,source_page,book_page,event_date_raw,year,event_type,ruler_actor,title,text_asli,notes,era_slug,fort_name,dominion_status,tags
1661,593,?,~1657-1661 (lapor Des 1661),1661,konflik,panglima Achin; suku Paeuw (proksi); orang-orang Padang,Panglima Atjeh pakai suku Paeuw perangi Padang 4 tahun,"Pernah suatu kali panglima di Achin dipanggil menghadap, tetapi kemudian diampuni dan dipulihkan kembali. Di sana tinggal suatu bangsa di lereng pegunungan, bernama Paeuw, yang berada di bawah kekuasaan panglima tersebut. Mereka terus-menerus digerakkan olehnya untuk memerangi orang-orang Padang dan kini sudah 4 tahun bermusuhan, tetapi orang-orang Padang selalu mempertahankan medan.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=593 (volume 1661). TEMUAN PENTING -- akar sebab pemberontakan pantai barat: panglima Atjeh selama ~4 tahun memakai suku pegunungan Paeuw sbg proksi utk memerangi Padang, bukan konflik dagang biasa tapi kekerasan militer berkepanjangan -- menjelaskan MENGAPA Padang & sekutunya begitu siap memberontak setahun kemudian di Traktat Painan.",retak-painan,Padang,,
1661,594,?,Des 1661,1661,konflik,"Panglima Priaman (wafat, dicurigai diracun); koopman Groenewegen","Panglima Priaman wafat mendadak, dicurigai diracun","Panglima Priaman, tak lama sesudah keberangkatan Goenewegen dari Ticco, pergi dalam keadaan sakit dari Ticco ke Priaman dan di sana meninggal mendadak, tidak tanpa kecurigaan telah diracun.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=594 (volume 1661). Destabilisasi politik tepat sebelum pemberontakan Painan -- kematian mendadak panglima Priaman (diduga diracun) di tengah kunjungan Groenewegen berunding soal pelepasan diri dari Atjeh. Tak jelas siapa dalang (Atjeh menghukum pembelot, atau faksi lokal pro-VOC menyingkirkan loyalis Atjeh) -- dicatat apa adanya, bukan spekulasi.",retak-painan,Pariaman,,
1664,540,48,8 Januari 1664,1664,konflik,Panglima Achin di Sillida (melarikan diri); Songy Pagou,Panglima Atjeh di Sillida kabur malam-malam ke Priaman,"Panglima Sillida, karena melihat adanya sejumlah bahaya... tepat waktu, pada tanggal 8 Januari, pada malam hari, dengan seluruh barang bawaannya menyeberang lewat Padang ke Priaman berangkat untuk mencari bantuan melawan orang-orang Songy Pagou, meninggalkan di Sillida tidak lebih daripada 6 orang Achinder yang sudah menikah.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=540 (volume 1664). TEMUAN KUNCI -- momen konkret runtuhnya kekuasaan administratif Atjeh di Sillida: panglima Atjeh kabur diam-diam malam hari ke Priaman mencari bantuan, cuma menyisakan 6 orang Achinder (sudah menikah lokal) di Sillida. Pelaksanaan nyata pasal 12 Traktat Painan (pengusiran Achinders) mulai berjalan dgn sendirinya sebelum VOC bertindak paksa.",pengusiran-penataan,,,
1664,560,?,1664,1664,administratif,VOC (direktur-jenderal & Raden van India),VOC perintahkan pengusiran paksa Achinders dari Indrapoura,"menasihati mereka agar melaksanakan kontrak yang tahun lalu telah ditutup dengan utusan mereka, dengan perintah untuk membantu para radja... mengusir orang-orang Achin dari sana... dan orang-orang Achin dapat dibawa atau dikawal ke Achin dengan salah satu jacht, jika mereka memintanya.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=560 (volume 1664). Instruksi resmi VOC (setahun setelah Traktat Painan) menegakkan pasal 12: bantu radja-radja lokal usir orang Atjeh dari Indrapoura, dgn opsi dikawal pulang ke Atjeh pakai kapal VOC jika diminta -- pendekatan campur paksaan & jalan damai.",pengusiran-penataan,Inderapura,voc_alliance,
1664,564,?,14 Desember 1664,1664,konflik,~600-700 orang Achin (bertahan di benteng Priaman),600-700 orang Atjeh bertahan di benteng Priaman lawan pengusiran,"di Priaman, tempat perlindungan semua orang Atchin yang berada di sana, akan terdapat lebih banyak kesulitan dan di sana mereka akan segera harus menghabisi dengan senjata... orang-orang Achin, yang telah mengurung diri di benteng-benteng yang mereka dirikan dan berjumlah sekitar 6 sampai 700 orang.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=564 (volume 1664). Priaman jadi benteng pertahanan terakhir loyalis Atjeh (600-700 orang, jauh lebih banyak dari Sillida yg cuma tersisa 6) -- VOC menilai perlu kekerasan senjata utk menuntaskannya, bukti pengusiran bukan proses damai di semua tempat.",pengusiran-penataan,Pariaman,aceh_dominion,
1665,648,?,10-13 Januari 1665,1665,konflik,VOC; para panglima & Achinder di Sillida/Ticco/Priaman,Kampanye militer tuntaskan pengusiran Atjeh dari pantai barat,"para Achinder pertama-tama telah menyambut kami dengan bermusuhan. Di Sillida panglima itu dengan sendirinya pergi dan para pengikutnya selanjutnya diusir... dengan orang-orang Ticou juga demikian; tetapi Priaman memberi perlawanan lebih besar... namun mereka tidak lama bertahan, melainkan juga pergi sesudah beberapa skirmish.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=648 (volume 1665). Penutup kampanye pengusiran yg dimulai Jan 1664 (lihat baris source_page=540) -- setahun kemudian Sillida & Ticco jatuh tanpa banyak perlawanan, Priaman (benteng terakhir) akhirnya jatuh juga setelah baku tembak. Titik ini bisa dianggap AKHIR PRAKTIS kehadiran fisik Atjeh di pantai barat.",pengusiran-penataan,,,
1665,668,?,27 Agustus 1665,1665,perjanjian,VOC; Sultan Mametcha (Indrapoura); orang-orang Padang,"VOC dirikan factorij Padang, dukung Sultan Mametcha","untuk membantu Sultan Mametcha dengan nasihat dan tindakan. Para tuan Padang tetap teguh dan sama sekali berpegang pada proteksi Kompeni. Orang-orang Achin telah berusaha menarik mereka ke pihaknya, tetapi mereka mendapat jawaban bahwa... menyetujui untuk mendirikan sebuah faktorij di sana.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=668 (volume 1665). VOC formal mendirikan pos dagang (factorij) permanen di Padang & mendukung Sultan Mametcha (Indrapoura, tokoh yg sama dari negosiasi Painan 1662) -- upaya terakhir Atjeh menarik Padang kembali ditolak tegas. Konsolidasi kekuasaan VOC pasca-pengusiran selesai.",pengusiran-penataan,Padang,voc_alliance,
1681,968,?,1667 (dicatat ulang 10 Juni 1681),1667,perjanjian,Sultan Achmetchia (Bayang); Sultan Mametchia (Indrapoura); Sultan Besaar (Trosang),Penyerahan formal Sillida & Pulau Cingkuak ke VOC,"Terjemahan penyerahan nagari Sillida beserta tanah-tanah yang berada di bawahnya dan pulau Chinco, yang dilakukan oleh para Sultan di Bajangh dan Indrapoura beserta Radja Trousangh dengan pongelous-nya... kepada tuan komandan Jacob Jorissen Pits.","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=966-969 (volume 1681, menyalin ulang akta 1667). Empat tahun setelah Traktat Painan (yg cuma beri hak berdagang & berkedudukan), Sillida beserta Pulau Cingkuak DISERAHKAN FORMAL ke VOC oleh 3 penguasa lokal (Bayang, Indrapoura, Trosang) -- Sultan Mametchia Indrapoura sama dgn tokoh negosiasi 1662. Peningkatan status dari hak dagang jadi penyerahan wilayah penuh.",pengusiran-penataan,Salido,independence,
1681,971,547,10 Juni 1681,1681,perjanjian,Radja d'Ileir & Radja d'Ouloe (Barus); raja Maninghcabou; VOC,"Traktat Barus: serahkan senjata sisa ""mahkota Aetehe""","Radja d'Ouloe dan Radja d'Ileir beserta semua para regenten tua dari Baros akan menyerahkan dan menyerahkan kepada Perusahaan E. semua senjata dan amunisi perang dari mahkota Aetehe, yang masih berada...","SUMBER BEDA PIPELINE: terjemahan Indonesia dari korpus_tema_slim.csv corpus_id=970-972 (volume 1681). TEMUAN BESAR -- BUKTI PERTAMA kaitan eksplisit Barus-Atjeh di SELURUH korpus riset ini (7 volume docs/ sebelumnya NIHIL total, cuma nama kapal 'van Baros' di vol.1647-1648). Traktat damai Barus di bawah raja Maninghcabou sbg gubernur VOC, mewajibkan radja hulu/hilir Barus serahkan SENJATA & AMUNISI SISA 'MAHKOTA AETEHE' (mahkota Atjeh) yg masih tersimpan -- konfirmasi Atjeh PERNAH punya kehadiran militer di Barus juga, 18 tahun setelah Painan, baru terungkap sekarang. PERLU update caveat 'Barus nihil' di /riset/atjeh-dagang -- tambah pointer ke temuan ini di /linimasa (bukan revisi klaim OCR docs/ kita sendiri yg memang tetap nihil).",pengusiran-penataan,Barus,voc_alliance,
1656-1657,101,87,15 Des 1656 (lapor 28 Jan 1657),1656,konflik,Atchinse coninginne; commissaris Johan Treuijtman,"VOC & Atjeh buka perang terbuka, ratu perintahkan serang westcust","haer Ed. commissaris Joan Treuijtman haere Maijesteijt opentlijck den oorloch op Atchin was aendoende, waerover gevolcht waere hij aldaer met alle aenwesende dienaren, soo op Sillida, Ticco als Priaman, waren gevangen genomen geworden, geslagen ende leelijcken mishandelt.","Didistilasi dari baris direction='politik' di atjeh_trade_records (source_page=101, vol. 1656-1657). TEMUAN BESAR: perang terbuka VOC-Atjeh 1656-57, 6 tahun MENDAHULUI pemberontakan Painan 1662-63 -- ratu Atjeh perintahkan panglima Sillida/Ticco/Priaman tangkap & siksa SEMUA personel VOC di 3 pelabuhan itu sbg balasan. Kemungkinan akar dendam yg nanti berbalik jadi pemberontakan panglima westcust sendiri dari Atjeh.",perang-damai,,,
1656-1657,101,87,28 Jan 1657,1657,konflik,ondercoopman Mendonck; panglima Sillida,"Personel VOC kabur dari Sillida, kerugian ~120.000 gulden","quamen haer onverwacht van daer toe den ondercoopman Mendonck met noch 12 Nederlanderen, die het met een cleen vaertuijchje waren ontloopen... hebbende sulcx aldaer boven 22 Nederlanders aen landt moeten laten verblijven... eensomme van ongeveer 120 duijsent guldens.","Didistilasi dari atjeh_trade_records (source_page=101). Kerugian tunggal terbesar yg tercatat di seluruh korpus riset (~120.000 gulden) -- uang, kain, pepper, arsip comptoir Sillida hilang; 22+ personel VOC terpaksa ditinggal saat pelarian malam hari.",perang-damai,Salido,voc_withdrawal,
1656-1657,131,117,6 Feb 1657,1657,administratif,Gouverneur-Generaal & Raden van India; coopman Anthonij van Voorst,VOC kirim armada hukuman 200 tentara ke Sillida,is op heeden ter vergaderinge van haer Ed. g'arresteert tot recuperatie van de Nederlandsche gevangenen als de peper... een aensienelijcken navale macht onder 't commando van geroerde van Voorst derwaarts te senden... met 200 militairen.,"Didistilasi dari atjeh_trade_records (source_page=131). Respons militer penuh VOC: 5 kapal + 2 chaloup, 200 tentara, komando Anthonij van Voorst -- skala jauh lebih besar dari ekspedisi dagang biasa, menegaskan status perang.",perang-damai,Salido,aceh_dominion,
1656-1657,171,157,Mei 1657,1657,konflik,"9 tawanan Belanda (lolos, Sillida); 10 tawanan Belanda (gagal, Priaman)","9 tawanan lolos di Sillida, 10 tetap dipasung di Priaman","9 Nederlandtse gevangenen quamen ontmoeten hebbende snachts 't block van haer beenen gebroocken ende soo ontloopen... [Priaman] 't volck int block, doch dat langs strandt verscheijden stercten opgeworpen hadden... over 2000 man sterck waren de wacht houdende.","Didistilasi dari atjeh_trade_records (source_page=170-171). Hasil ekspedisi hukuman TIMPANG: Sillida jatuh nyaris tanpa perlawanan (9 tawanan patahkan sendiri pasung kaki, lolos), tapi Priaman bertahan dgn ~2000 penjaga bersenjata & meriam -- 10 tawanan tetap tak terbebaskan, ekspedisi akhirnya mundur krn kehabisan perbekalan.",perang-damai,Pariaman,aceh_dominion,
1656-1657,196,182,pertengahan 1657,1657,administratif,Gouverneur-Generaal & Raden van India; croon Atchin,VOC putuskan lanjutkan perang dgn Atjeh sampai tuntutan terpenuhi,Is met rijpheijt van raede mede vastgestelt met de croon Atchin in oorloge te continueren ter tijt ende wijle de Compie op haere rechtvaerdige pretentie genoech sullen hebben.,"Didistilasi dari atjeh_trade_records (source_page=196). Perang bukan insiden sesaat -- kebijakan resmi VOC melanjutkan blokade/permusuhan dgn Atjeh tanpa batas waktu jelas, sampai tuntutannya (pembebasan tawanan Priaman & ganti rugi) dipenuhi.",perang-damai,,,
1624-1629,212,199,29 September 1625,1625,diplomasi,Gouverneur Generael & Raden van India (kebijakan resmi VOC),VOC sendiri catat klaim yurisdiksi Atjeh TERLUAS: seluruh Sumatra,"wilden sij peper hebben, soo in Atchijn, Tico, Priaman ende de gantsche Oost en W. Cust van Sumatra.","Didistilasi dari baris direction='politik' di atjeh_trade_records (source_page=212, vol. 1624-1629). TEMUAN PENTING -- ini bukan surat Atjeh atau titah raja, tapi risalah resmi VOC SENDIRI (Gouverneur Generael & Raden van India) yg menyatakan pepper harus didapat di Atjeh, Tiku, Pariaman, DAN seluruh pantai timur & barat Sumatra -- klaim yurisdiksi TERLUAS di seluruh korpus, lebih luas dari titah 1633 (cuma 3 pelabuhan), dan MENDAHULUINYA 8 tahun. Jadi event PALING AWAL di linimasa ini (sebelumnya event tertua 1632).",klaim-awal,,,
1624-1629,213,200,29 September 1625,1625,administratif,"VOC (comptoir Atchijn, modal 60.000 real -- ditarik)",VOC tarik comptoir sendiri di Atjeh krn takut pembalasan,haer comptoir aldaer met soo merckelijcken somme te weeten 60.000 R. van Sent tot opcoop van peper geprovideert was ... de lichtinge van 't comptoir in Atchijn.,"Didistilasi dari atjeh_trade_records (source_page=213). VOC pernah punya pos dagang sendiri di Atjeh bermodal besar (60.000 real), TAPI ditarik krn takut Raja Atjeh membalas dendam atas bantuan VOC ke Jambi (konflik militer Atjeh-Jambi) -- bukti nyata risiko politik berdagang di bawah kekuasaan Atjeh, di hari yg sama dgn klaim yurisdiksi terluas (baris di atas).",klaim-awal,,,
1624-1629,223,210,Okt-Des 1625 (2x kejadian),1625,konflik,prosedur monopoli Atjeh; schip Groeningen (Tiku),Dagang pepper Tiku dirusak monopoli Atjeh 2x dlm setahun,"den peperhandel aldaer bij des Atchijnders vexatien seer geincommodeert, die s'Conincx cleeden eerst aen de man wilden hebben ... niet meer als 800 bhaer peper in Tico gehandelt, vermidts den peperhandel aldaer door de monopolische procedueren vanden Atchijnder installich gemaeckt ende bedorven wierd.","Didistilasi dari atjeh_trade_records (source_page=223 & 233, digabung 1 event linimasa). Dagang pepper VOC di Tiku dirusak/dihambat sengaja oleh prosedur monopoli Atjeh DUA KALI dlm tahun yg sama (Okt-Nov & Des 1625) -- pola penegakan berulang, bukan insiden tunggal, konsisten dgn klaim yurisdiksi luas yg dicatat VOC sendiri bulan sebelumnya.",klaim-awal,Tiku,aceh_dominion,
1636,264,251,24 Sep 1636 (lapor 12 Okt 1636),1636,administratif,coopman Jacob Schooff (Indrapura); grooten Indrapura yg ditugaskan Atchijnder,Pejabat pungut-tol Atjeh masih aktif di Indrapura,"d'onredelijcke begeerlijckheijt ende fastidieuse quellinge der Indrapurase grooten, principalijck die daer vanden Atchijnder tot invoerderingh van desselffs tollen gesteltsijn.","Didistilasi dari atjeh_trade_records (source_page=264). Surat coopman VOC Jacob Schooff (berkedudukan di Indrapura) mengonfirmasi pejabat pungut-tol yg ditugaskan Raja Atjeh MASIH aktif menghambat dagang 3 tahun setelah titah 1633 -- perpanjangan bukti kehadiran administratif Atjeh yg bertahan bertahun-tahun, bukan sekali jadi.",klaim-awal,Inderapura,aceh_dominion,
1659,65,57,ult. Jan-Mar 1659,1659,konflik,6 tawanan Belanda (Ticko/Priaman/Atjeh); panglimas pantai barat (terbelah),"Perang 1656-57 berlanjut, panglima pantai barat mulai terbelah","noch met haer sessen sterck waren, ende noch een was naer Atchien gevoert ende wierden daer dach ende nacht bewaert ende gedwongen in de kettingh ... de panglimaes ende orancays langs de hele cust ... omdat d'een Aetchin wilde affvallen ende d'ander daerby blyven.","Didistilasi dari atjeh_trade_records (source_page=65, vol.1659). Kelanjutan perang 1656-57: 2 tahun kemudian 6 tawanan Belanda masih ditahan, panglima pantai barat SUDAH terbelah soal kesetiaan ke Atjeh -- 2 tahun mendahului perpecahan sama di 1661 (suku Paeuw, panglima Priaman diracun) yg berujung pemberontakan Painan 1663.",perang-damai,,,
1659,111,103,26 Mei 1659,1659,perjanjian,Paduca Siry Sultan (ratu Atjeh) -> Gouverneur-Generaal Joan Maetsuycker,Perdamaian resmi mengakhiri perang VOC-Atjeh 1656-57,"de Aetchinders ende de Hollanders hebben veel jaren herwaerts in de vrede ende vruntschap gecontinueert, maer jegenwoordigh heeft het Godt Almachtigh soo gelieft, dat tot den oorlogh geraect syn ... waermede wederom de Aetchinders ende de Hollanders eens syn geworden.","Didistilasi dari atjeh_trade_records (source_page=111). Penutup resmi perang 1656-57 (~3,5 tahun) -- surat perdamaian ratu Atjeh dibawa 3 duta resmi via komisaris Balthasar Bort, diterima di Batavia dgn upacara penuh (7 tembakan meriam). Titik BALIK SEMENTARA sebelum tensi baru muncul lagi 1660-61 (lihat event 'Groenewegen dihormati' & suku Paeuw) yg berujung Traktat Painan 1663.",perang-damai,,,
CD1,47,19-20,Desember 1600,1600,perjanjian,sabander van Atchin (Raja Atjeh),Kontrak dagang lada pertama VOC-Atjeh,1600 jn December heefft den admiraell van Caerden met den sabander en andere in Achin voorkoop gemaeckt... De Hollanders en sullen van uijt en jnkomen geen toll betalen. Niemandt zall eenige peper van 't nieuwe gewas mogen koopen off laeden voor en all eer de Hollanders haere ladinge in hebben.,"SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid I, traktat IX 'Atjeh'. Kontrak dagang PERTAMA VOC-Atjeh tercatat di seluruh korpus riset ini -- mundurkan titik awal linimasa dari klaim yurisdiksi 1625 ke 1600.",klaim-awal,,,
