"gap_id","case","evidence_sought","why_it_matters","linked_prior_artifact","linked_ontology_component"
"GAP-PAINAN-05","Painan Tractaat 1663","Protection language / pepper monopoly terms / jurisdictional-claim extension beyond the 1663 instrument itself","Could surface a later-dated relation extending or contesting the 1663 claim -- relevant to temporal rules (overlapping relations permitted/expected)","painan_1663_relational_research_artifact.json","REQUIRES_MONOPOLY_FROM; CLAIMS_JURISDICTION_OVER"
"GAP-KOTOTANGAH-01","Koto Tangah","Independent (non-Vogel) corroboration for the 1678 destruction event","Per CROSS_CASE_POWER_ONTOLOGY_VALIDATION_PLAN.md's own case-specific note, the 4 Vogel-listed destruction years must each keep separate evidence_strength -- 1678 and 1686 are currently LOW/Vogel-only","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I10 rows)","evidence_strength; provenance_status"
"GAP-KOTOTANGAH-02","Koto Tangah","Independent (non-Vogel) corroboration for the 1686 destruction event","Same rationale as GAP-KOTOTANGAH-01 for the second Vogel-only year","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I10 rows)","evidence_strength; provenance_status"
"GAP-TIKU-01","Tiku","Office-holder / faction continuity across the 1625-1740 span","Tests whether Tiku's own actors (e.g. Soureradja's successors or rivals) can be traced across episodes without fabricating continuity, directly relevant to the identity rule","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I11 rows)","ActorFaction (persistent faction_id rule)"
"GAP-TIKU-02","Tiku","Additional material on Soureradja specifically (1662, currently the richest single local-voice row in the project)","Could extend or qualify the project's strongest LOCAL_VOICE_PRESENT case","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I11 row)","source_asymmetry; evidence_strength"
"GAP-TIKU-03","Tiku","Pepper-trade commercial records specific to Tiku","Could evidence a COLLECTS_TOLL_FROM / CLAIMS_COMMODITY_MONOPOLY relation not yet in the ledger","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I11 rows)","COLLECTS_TOLL_FROM; CLAIMS_COMMODITY_MONOPOLY"
"GAP-TIKU-04","Tiku","Episodic Aceh-VOC-local relations at Tiku beyond the already-ledgered rows","Could surface additional SWITCHES_ALIGNMENT_TO or CONTESTS_RESOURCE_WITH candidates","MODEL_3B_COLONIAL_CATEGORY_AND_RESISTANCE_INTERPRETIVE_WORKING.csv (Batch I11 rows)","SWITCHES_ALIGNMENT_TO; CONTESTS_RESOURCE_WITH"
"GAP-SILLIDA-01","Sillida/Salido","Gold-mine operational records (output, labor complement, command structure)","Per the Validation Plan's own case-specific note, the 1737 gold-mine lease's CLAIM-vs-COMMERCIAL_CONTROL split should be Sillida's own model relation -- more primary operational data would sharpen this","CROSS_CASE_POWER_ONTOLOGY_VALIDATION_PLAN.md section 4 (Sillida notes)","claim_or_effective_control; LEASES_RESOURCE_TO"
"GAP-SILLIDA-02","Sillida/Salido","Enslaved-labor and armed-company documentation specific to CASE-06 (not cross-referenced from Batch I2/I3 without re-verification)","The Validation Plan explicitly flags the armed-enslaved-company material as a KNOWN GAP requiring re-verification, not silent reuse from a different case","CROSS_CASE_POWER_ONTOLOGY_VALIDATION_PLAN.md section 4 (Sillida notes)","constrained-agency representation (unresolved entity/annotation question)"
"GAP-SILLIDA-03","Sillida/Salido","Command-structure and coercion-status documentation for the mine's labor force","Directly tests whether Draft V2 needs a constrained-agency annotation distinct from the existing resistance/coercion vocabulary","ATLAS_POWER_RELATION_ONTOLOGY_CONTRACT_V2_DRAFT.md section 3 (annotation list)","REPEATED_COERCION; new-annotation candidate (not yet frozen)"
"GAP-BATANGCAPAS-01","Batang Capas and EIC","EIC-side sources beyond BL IOR G 35/198 already used","project_eic_fort_york_batang_capas triangulated 3 sources (Vogel/CD3/EIC); further EIC material could deepen or qualify the 'Raja Manacabo'='Jang de Pertuan' hypothesis still unresolved","docs/BL_IOR_G_35_198.txt; project memory project_eic_fort_york_batang_capas","identity rule (unresolved hypothesis)"
"GAP-BATANGCAPAS-02","Batang Capas and EIC","Fort York (Bengkulu-area EIC fort) records relevant to the 1686 Batang Capas episode","Could corroborate or extend the existing 3-source triangulation for this single episode","docs/BL_IOR_G_35_198.txt","evidence_strength; provenance_status"
"GAP-BATANGCAPAS-03","Batang Capas and EIC","Additional Vogel material specific to Batang Capas not already extracted","project_vogel_full_survey_sillida_mine confirmed a full Vogel survey was already completed for the Sillida mine specifically -- Batang Capas's own Vogel coverage should be checked for completeness rather than assumed exhausted","project memory project_vogel_full_survey_sillida_mine","evidence_strength"
"GAP-BARUS-01","Barus","Non-CD (non-Corpus Diplomaticum) source for the 1694 civil war","CD-only sourcing for this event; an independent account would change provenance_status/source_asymmetry for the relevant Barus relations","linimasa_suksesi_atjeh project memory (Barus 1775 VOC withdrawal is downstream of this earlier conflict)","provenance_status; source_asymmetry"
"GAP-BARUS-02","Barus","Sources on Minuassa involvement in the 1694 conflict","Minuassa is named in the task's own gap list but not otherwise documented in project memory -- unclear if this actor already has a ledger row","(none identified in existing project memory or ledger)","actor identity (possibly a new, currently absent actor)"
"GAP-BARUS-03","Barus","Sources on Dairi involvement / the Hoeloe-Ilir (upstream-downstream) conflict axis","Same rationale as GAP-BARUS-02 -- tests whether the existing Barus material's own upstream/downstream political geography (relevant to the 'merunduk bukan tunduk' causal loop finding) can be extended with independent sourcing","project memory project_causal_loop_diagram (5-fort loop finding includes Barus)","CONTESTS_RESOURCE_WITH; CONTESTS_SUCCESSION_WITH"
"GAP-BARUS-04","Barus","Commercial-strategy documentation specific to the 1694 conflict period","Could surface a COLLECTS_TOLL_FROM or CLAIMS_COMMODITY_MONOPOLY candidate tied to the conflict rather than to the later 1673/1694 dominion-status events already ledgered","project memory project_gm_deel01_08_winst_lasten_extraction (Barus overlap already found there for different years)","COMMERCIAL_STRATEGY annotation"
