# WORKING CROSS-CASE RESEARCH ARTIFACT
# NOT PRODUCTION DATA
# NO ONTOLOGY IMPLEMENTATION EXECUTED
relation_type,decision,supporting_cases,counterexamples,subject_types,object_types,directionality,temporal_requirements,source_requirements,claim_control_mapping,public_label_candidate,research_only_annotations,researcher_review_required,notes
CLAIMS_COMMODITY_MONOPOLY,MVP_CORE_RELATION,"CASE-05 (pepper, Aceh 1625/VOC 1649); CASE-06 (gold, 1737); CASE-04 (salt, implicit in the 1738 destruction's own rationale); CASE-09 (camphor/benzoin)",none reject,Institution,Commodity (attached to a Location),directed,claim date mandatory,mandatory,"TREATY_OBLIGATION or CLAIM, per case",Penguasaan dagang,none beyond the claim field,NO,"Effectively a specialization of REQUIRES_MONOPOLY_FROM with an explicit Commodity object; both may be retained, with this one used specifically when the commodity itself (not the trading party) is the object."
CONTESTS_SUCCESSION_WITH,MVP_CORE_RELATION,"CASE-01 (Muhammad Syah faction vs. Raja Adil faction, explicit menteri-count-evidenced)","CASE-08/Padang's own 1782 Panglima Jelel overthrow and CASE-04's own leadership-succession content (Raja Ibrahim -> Sontan Macona, CASE-05) are succession-ADJACENT but not documented as a two-sided CONTEST in the same explicit, both-sides-evidenced way as CASE-01","Actor, ActorFaction","Actor, ActorFaction",symmetric (both parties contest with each other),bounded to the specific succession-crisis window,"mandatory, with explicit evidence for BOTH claimants' own basis, not just the winning side's",not directly applicable,not recommended for public display (internal succession detail is Level-3),mandate evidence for each side,YES,"Only CASE-01 meets this review's own bar for a genuinely two-sided, evidenced succession contest; the other candidate cases document only the WINNING or SURVIVING side's own account."
CONTESTS_RESOURCE_WITH,MVP_CORE_RELATION,"CASE-05 (Raja Ibrahim vs. Raja Kinali, 1740, salt); CASE-04 (Batoe Bannaw vs. Songy Abou traders, gold-route access, cross-referenced from Batch I2/I3, not re-ledgered by CASE-04's own I10 rows)",none reject,"Actor, ActorFaction, Community","Actor, ActorFaction, Community",symmetric,bounded to the specific dispute window,mandatory,not directly applicable,not recommended (internal rivalry detail),factional_conflict_candidate overlap,YES,"CASE-05's Raja Ibrahim/Raja Kinali rivalry is this review's clearest example of a resource-governance conflict IRREDUCIBLE to VOC or Aceh policy -- both parties are local, and the colonial power's own role (VOC's Letnan Jordin discovering the illegal refineries) is a parallel, not causally merged, thread."
APPOINTS_OFFICE_HOLDER,REQUIRES_MORE_EVIDENCE,none among the 12 cases directly and unambiguously documents VOC or Aceh APPOINTING (as opposed to recognizing/confirming) a local office-holder,"CASE-05's Sontan Macona succeeding Raja Ibrahim (1740) is described as local-internal, not VOC-appointed",Institution,IndividualOfficeHolder,directed,not established,not established,"ADMINISTRATIVE_CONTROL, if evidenced",not recommended pending evidence,none,YES,"Distinct from RECOGNIZES_OFFICE_HOLDER (which IS evidenced, see below) -- appointment implies VOC/Aceh selecting the individual, which this review's 12-case set does not clearly document anywhere."
RECOGNIZES_OFFICE_HOLDER,MVP_CORE_RELATION,"CASE-05 (VOC receiving Soureradja's own self-declared panglima status, 1662, without disputing it); CASE-03 (VOC/French receiving the Natal signatories' own self-declared sovereign status)",none reject,Institution,IndividualOfficeHolder,directed,"the recognition act's own date, distinct from the office-holder's own tenure start",mandatory,FORMAL_ACCEPTANCE,Perjanjian dan kewajiban (as part of a treaty's own signatory framing),"mandate ambiguity (the office-holder's own claimed authority is frequently self-declared, not independently verified)",YES,This review finds RECOGNIZES_OFFICE_HOLDER far better evidenced than APPOINTS_OFFICE_HOLDER across the case set -- VOC/French instruments consistently RECEIVE local actors' own self-presented titles rather than documented appointment acts.
DISMISSES_OFFICE_HOLDER,CASE_SPECIFIC_ONLY,"CASE-08 (Panglima Jelel's 1782 overthrow -- though this is a LOCAL action, per Pauh/Koto Tangah residents, not a VOC/Aceh dismissal)",no case documents VOC or Aceh formally dismissing a local office-holder; the one clear removal in the case set (CASE-08) is locally-initiated,"Actor, ActorFaction, Community (NOT necessarily Institution, per the one case reviewed)",IndividualOfficeHolder,directed,a specific dated removal event,mandatory,not directly applicable,not recommended pending evidence,none,YES,"Recommend renaming the general pattern (if retained at all) to reflect that removal in this case set is LOCALLY-INITIATED, not a colonial-power prerogative -- the relation type's own implicit subject assumption (an institution dismisses) does not match the one case that actually evidences it."
COLLECTS_TOLL_FROM,MVP_CORE_RELATION,"CASE-03 (Oct 1760 capped toll rate, explicit reciprocal restraint clause); CASE-05 (1641 Aceh toll exemption grant, implying an underlying toll regime); CASE-08 (1671 Padang toll administration reorganization)",none reject,Institution,"Actor, ActorFaction, Community",directed,"valid_from/valid_to mandatory, frequently tied to a specific treaty's own term",mandatory,TREATY_OBLIGATION (the stated rate) vs. COMMERCIAL_CONTROL (evidence of actual collection) kept distinct,Penguasaan dagang,reciprocity/mutual-restraint clause detail (CASE-03's own distinctive finding),NO,"CASE-03's Oct 1760 treaty is this review's best-evidenced instance of a toll relation carrying an EXPLICIT mutual-restraint term, worth flagging as a candidate model for how this relation type's own obligation field should be structured going forward."
LEASES_RESOURCE_TO,MVP_CORE_RELATION,"CASE-06 (1737 Kleyn Zillida gold-mine lease, explicit sovereignty-retained clause)","none reject, but only 1 case directly instantiates this relation",Institution,"Actor, ActorFaction, Community",directed,"lease term dates, distinct from any retained-sovereignty claim's own duration",mandatory,"the CLEAREST case in this whole review of CLAIM (sovereignty retained) and COMMERCIAL_CONTROL (operational lease) needing to be recorded as two SEPARATE fields on the same relation, not collapsed into one",Penguasaan dagang,none beyond the claim/control split,YES,Directly operationalizes §16's own instruction not to derive effective control from treaty signing alone -- the 1737 lease's own text explicitly separates operational lease from retained sovereignty.
USES_MILITARY_FORCE_AGAINST,MVP_CORE_RELATION,CASE-01 (1665 expedition vs. Raja Adil); CASE-03 (French capture of Natal from English); CASE-04 (1670/1678/1682/1686 destructions; 1738 salt-refinery destruction); CASE-05 (1684 Tiku subduing); CASE-07 (Batang Capas recapture); CASE-10 (1684 Pariaman subduing); CASE-12 (the 1656-57 war itself),"none reject -- this is the single most cross-case-stable coercive relation reviewed, present in explicit, dated form in at least 8 of 12 cases",Institution,"Actor, ActorFaction, Community, Location",directed,"a specific dated military action, distinct from any subsequent claim or control observation",mandatory,"MILITARY_PRESENCE, distinct from FORT_CONTROL or ADMINISTRATIVE_CONTROL",Kehadiran militer,"REPEATED_COERCION/FAILED_DETERRENCE (kept as annotations, not separate relations, per §19)",NO,"This review's central finding for §19: USES_MILITARY_FORCE_AGAINST is a well-evidenced, directly-quotable relation across the case set; REPEATED_COERCION and FAILED_DETERRENCE remain mechanism annotations describing PATTERNS across multiple instances of this relation, never their own separate relation type, and never treated as effective-control evidence."
IMPOSES_PUNITIVE_CLASSIFICATION_ON,ANNOTATION_NOT_RELATION,"CASE-04 ('vielfältigen Meineydes,' 'unfaithful nature'); CASE-09 ('Untreu und Bund-Bruchs,' cross-referenced)","CASE-03's Oct 1760 treaty explicitly does NOT impose a punitive classification for a structurally similar alignment-shift -- direct evidence that this pattern is source-specific rhetoric, not a stable, universally-applicable relation","n/a (annotation, not relation)",n/a,n/a,n/a,direct quotation required when used as an annotation,n/a,NOT RECOMMENDED for public display under any label,"COLONIAL_PUNITIVE_CLASSIFICATION (the existing free-text mechanism label, retained)",YES,"Demoted from relation-candidate to annotation-only: this review finds the punitive-classification pattern varies too much by source/author/case (present at CASE-04/09, explicitly absent at CASE-03) to support a stable, directed, promotable relation type; it remains a quoted, flagged characterization attached to the underlying USES_MILITARY_FORCE_AGAINST or BreachAllegation event."
