task_id,sprint_id,epic,title,problem_statement,deliverable,dependencies,allowed_files,prohibited_files,evidence_requirement,acceptance_criteria,tests,priority,risk,status,external_blocker,owner,commit_hash,review_decision
S2-02,2,Critical Dataset v0.5,Build accounting_treatment.csv,"Plan §5 requires the core Critical-Accounting-Theory instrument: how the source formally treats each entity, including co-location with restraint devices.",docs/enclave/salido_hdt_critical_layer_v0_1/accounting_treatment.csv with appears_in_same_document_section_as_restraint_device field populated once S1-01 completes.,"S1-03, S2-01",docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",critical_note field only populated where independently verifiable against passage adjacency (no general moral gloss) — spot-checked by reviewer.,Every row traces to a source_document_id + source_passage_id.,N/A (no dedicated test named in plan §16; covered by general derivation-layer test pattern),P1,low,blocked,none,,,not_applicable
S2-03,2,Critical Dataset v0.5,Build coercion_evidence.csv with prohibited_inference_flag gate,Plan §5/§14 requires that no coercion-evidence row (including the two restraint-device rows) reach the UI without an explicit reviewer flip of prohibited_inference_flag.,"docs/enclave/salido_hdt_critical_layer_v0_1/coercion_evidence.csv; restraint_device rows reference the existing canonical rows INV-0343/INV-0401 directly (no extraction-audit gate — none is needed; S1-01's remaining item is A0-3's philological completeness, not row presence).","S1-03, S2-04",docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Gate-enforcement test passes.,A restraint_device-type row carries canonical_extraction_status=present and cites INV-0343/INV-0401; prohibited_inference_flag still gates any use-type claim regardless of extraction status.,test_coercion_evidence_hidden_when_prohibited_flag_true; test_coercion_evidence_restraint_device_row_requires_confirmed_presence,P0,medium — this is the primary technical enforcement mechanism for P6 (no use-claims); must not regress,blocked,none — S1-01 no longer has an extraction-audit dependency; only A0-3 (philological completeness) remains open and does not block this row,,,not_applicable
S2-04,2,Critical Dataset v0.5,Build restraint_device_review.csv seed rows,"Plan §5 defines restraint_device_review.csv as the technical home of the P6 prohibition (no use/target-person claims) for the two attested restraint-device entries — not an extraction-audit workbench, since A0-5 found no extraction defect.","Two rows: SP-01267 (canonical row INV-0343, 5 rings, 1 key, main ammunition store) and SP-01344 (canonical row INV-0401, 3 rings, 1 key, Waker transfer Beneden-Pagger), both canonical_extraction_status=present, actual_use_status/target_person_status/date_of_use_status=not_recorded.",S1-03,docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Schema-level test passes.,"Both rows carry canonical_extraction_status=present with canonical_inventory_row_id populated (INV-0343, INV-0401) — no extraction-audit field, since none is needed.",test_restraint_device_review_rows_map_to_existing_canonical_inventory_ids; test_restraint_device_actual_use_status_only_accepts_not_recorded,P0,"medium — schema-population step, but the values it seeds are load-bearing for P6 enforcement",blocked,none — row creation only needs S1-03 gate; no extraction-audit dependency remains,,,not_applicable
S2-05,2,Critical Dataset v0.5,Build group_hierarchy_review.csv with Madagascar de-duplication,This is the schema that directly implements the §0 Revision 2 fix — must guarantee the parent/child double-count cannot recur.,"docs/enclave/salido_hdt_critical_layer_v0_1/group_hierarchy_review.csv, 17 rows, counts_toward_unique_person_estimate=true only on G-MADA-64, false on its 5 children (pending S1-02 confirmation).",S1-03 (specifically S1-02's confirmation of the parent/child assignment),docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Regression test passes and is treated as a release-blocking test, not a soft check.",SUM(record_person_count WHERE counts_toward_unique_person_estimate) across the whole table never exceeds 308 (244 + 64) unless S1-02 explicitly revises the figure with documented justification.,test_group_hierarchy_review_madagascar_parent_and_children_not_both_counted,P0,high — this is the single highest-risk task in Sprint 2; a bug here directly reproduces the withdrawn 372 error,blocked,none,,,not_applicable
S2-06,2,Critical Dataset v0.5,Build provenance_critical_layer.csv and uncertainty_critical.csv,"Every derived claim in the critical layer needs a reproducible-query provenance record and a claim_tier/count_tier classification, per plan §5 supplementary schemas and §14 item 4.",Two CSVs; every row in archival_visibility/accounting_treatment/coercion_evidence/restraint_device_review/group_hierarchy_review has a corresponding provenance + uncertainty row.,"S2-01, S2-02, S2-03, S2-04, S2-05",docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Spot-check: every published count in a future UI can be traced to a reproducible_query here.,"count_tier field is populated for every row that makes a person-count-adjacent claim, using one of the six §8 tiers (never left blank for such rows).",N/A (no dedicated test named in plan §16; covered by provenance completeness check),P2,low,blocked,none,,,not_applicable
S2-07,2,Critical Dataset v0.5,Migrate HUMAN_GROUP_HIERARCHY out of enclave_data.py into group_hierarchy_review.csv,"The hardcoded Python dict diverges from the solver snapshot's own entity_coverage grouping (found in this session's earlier diagnostic) — a hardcoded, unreviewable config is the wrong home for a fact that now has a proper reviewed CSV.",enclave_data.py reads group_hierarchy_review.csv instead of the embedded HUMAN_GROUP_HIERARCHY dict; dict itself removed once migration is verified equivalent.,S2-05,frontend/map_app/enclave_data.py (this migration only — no other change to this file); frontend/map_app/tests.py (new test class only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Existing EnclaveDataAdapterTest suite (8 tests, currently passing) continues to pass after migration; no regression in named_person_records=50/aggregate_group_records=17/total_human_related_records=67 etc.",All existing adapter tests green; new test confirms adapter's independent-group count now matches group_hierarchy_review.csv exactly (resolving the divergence from the solver snapshot noted in the prior diagnostic).,"existing: test_adapter_counts_named_persons, test_adapter_summary_object; new: test_group_hierarchy_migration_matches_csv",P1,"medium — touches live application code for the first time in this programme; must not regress the currently-shipped, tested adapter",blocked,none,,,not_applicable
S2-08,2,Critical Dataset v0.5,Derivation-layer test suite and MANIFEST/hash verification for the critical layer,"Plan §16 requires every derived number to be tested against a hand-computed value, and §17 requires the critical layer to have its own manifest/hash file mirroring the canonical dataset's verify_hashes() pattern.",Full test class covering S2-01..S2-06; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv with SHA256 hashes for all 7 critical-layer CSVs.,"S2-01, S2-02, S2-03, S2-04, S2-05, S2-06",docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",All listed tests pass; MANIFEST.csv hashes verified to match actual file contents.,"Test suite includes, at minimum, every test named in plan §16's 'Derivation-layer tests' and 'Restraint-device tests' subsections.",test_archival_visibility_named_count_equals_50; test_group_hierarchy_review_madagascar_parent_and_children_not_both_counted; test_cumulative_recorded_count_equals_372_and_is_labelled_unsafe; test_unique_person_verified_count_is_absent_or_explicitly_unresolved; test_restraint_device_review_seed_rows_require_extraction_audit; test_restraint_device_actual_use_status_only_accepts_not_recorded; test_coercion_evidence_restraint_device_row_requires_completed_audit,P0,medium,blocked,none,,,not_applicable
S2-09,2,Critical Dataset v0.5,Tag critical dataset candidate v0.5 and reviewer sign-off,Plan §17 treats the critical layer as an independently versioned artifact separate from the canonical v0.4.1 dataset; a candidate needs an explicit sign-off gate before Sprint 3 (graph layer) builds on it.,Reviewer-approved 'critical dataset candidate v0.5' status recorded in this board's release mapping; NOT a canonical dataset version bump (v0.4.1 remains untouched and remains the canonical release).,S2-01..S2-08,docs/enclave/implementation/ENCLAVE_1682_MASTER_SPRINT_BOARD.md (release mapping update only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Named reviewer sign-off recorded.,Sprint 3 tasks remain blocked until this sign-off is recorded.,N/A (governance gate),P0,medium,blocked,none,,,pending
S3-01,3,Knowledge Graph,Implement View A — Colonial Accounting Ontology read model,"Plan §6 requires the accounting-logic graph (Document->AccountingEntry->{NamedPersonEntry|AggregateGroupEntry}) to be queryable, mirroring the archive's own logic without sanitizing it.","EnclaveDataAdapter.get_colonial_accounting_view() — read-only, builds View A nodes/edges from existing canonical CSVs plus accounting_treatment.csv.",S2-09,frontend/map_app/enclave_data.py (new read-only adapter methods only); docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Adapter method never opens any file in write mode (matches existing adapter convention, verified by test_adapter_never_opens_write_mode-style check).",Graph includes RestraintDeviceEntry nodes co-located per accounting_treatment.csv's appears_in_same_document_section_as_restraint_device field.,new: test_colonial_accounting_view_read_only; test_view_a_includes_restraint_device_entries,P1,low — read-only derivation over already-tested Sprint 2 data,blocked,none,,,not_applicable
S3-02,3,Knowledge Graph,Implement View B — Human-Centred Critical Ontology read model,Plan §6 requires a structurally separate human-centred graph where aggregate groups never get a synthetic per-person node.,"EnclaveDataAdapter.get_human_centred_view() — Person superclass, AggregateGroupMembership at group granularity only.","S2-09, S2-07",frontend/map_app/enclave_data.py (new read-only adapter methods only); docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",No code path in this method can create a per-person node for an aggregate-group count under any input.,"A test asserting graph node count for aggregate entities equals 17 (group records), never 308 or 372 (person-count figures) regardless of which count tier is queried.",new: test_human_centred_view_never_creates_synthetic_person_nodes,P0,high — this is the primary technical implementation of the 'no invented identities' rule (docs/HUMAN_CLASSIFICATION.md),blocked,none,,,not_applicable
S3-03,3,Knowledge Graph,Implement same_document_event cross-reference edges (View A <-> View B),"Plan §6 requires an explicit, non-merging cross-reference edge type so a reader can move between views without the two ever collapsing into one table.","same_document_event edges keyed on (source_document_id, source_passage_id) pairs shared between View A and View B nodes.","S3-01, S3-02",frontend/map_app/enclave_data.py (new read-only adapter methods only); docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Dual-ontology separation test passes.,No shared mutable object exists between a View A node and a View B node — only an edge reference.,test_colonial_view_and_human_view_never_share_a_mutable_object,P0,medium — the single most likely failure mode named in plan §14 item 3 (quiet merge of the two views),blocked,none,,,not_applicable
S3-04,3,Knowledge Graph,Temporal indexing across 07_human_role_location_time.csv and the critical layer,"Task name 'critical temporal knowledge graph' requires an explicit time dimension, not just a static ontology — Movement_Constrained (Petri Net Subnet 3, Sprint 5) also depends on this being queryable.",Time-indexed query surface joining valid_from/valid_to windows from 07_human_role_location_time.csv against View A/View B nodes.,"S3-01, S3-02",frontend/map_app/enclave_data.py (new read-only adapter methods only); docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Query returns correct entities for a given time window, spot-checked against at least 3 known date ranges from 07_human_role_location_time.csv.","Time-window queries never silently assume a window for a record lacking explicit valid_from/valid_to (returns 'unknown', not an inferred date).",new: test_temporal_index_does_not_infer_missing_date_ranges,P1,medium,blocked,none,,,not_applicable
S3-05,3,Knowledge Graph,Node/edge type completeness check against plan §6,"Plan §6 specifies an exact node/edge type list (Document, Passage, NamedPerson, AggregateGroup, Role, Location, InventoryItem, RestraintDeviceRecord, AccountingEntryType, CoercionEvidenceItem, Claim / records, classifies_as, performs_role, located_at, co_located_with, part_of_hierarchy, has_visibility_record, has_coercion_evidence, interprets).",Automated schema-completeness test enumerating implemented node/edge types against the plan's list.,"S3-01, S3-02, S3-03",frontend/map_app/enclave_data.py (new read-only adapter methods only); docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Test fails loudly if an implemented type is missing or an extra undocumented type was added without a plan amendment.,CoercionEvidenceItem nodes only instantiate for reviewer-approved coercion_evidence.csv rows (prohibited_inference_flag=false).,new: test_graph_node_edge_types_match_plan_section_6,P2,low,blocked,none,,,not_applicable
S3-06,3,Knowledge Graph,Sprint 3 sign-off gate,Graph layer must be reviewed before Sprint 4 (interface) builds a UI on top of it — a UI bug is much more visible and costly to unwind than a graph-layer bug.,Reviewer-approved 'critical temporal knowledge graph' status recorded in release mapping.,S3-01..S3-05,docs/enclave/implementation/ENCLAVE_1682_MASTER_SPRINT_BOARD.md (release mapping update only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Named reviewer sign-off recorded.,Sprint 4 tasks remain blocked until this sign-off is recorded.,N/A (governance gate),P0,medium,blocked,none,,,pending
S4-01,4,Interface Redesign,Archival Visibility Summary section (§8 tiered table),"Current page shows a flat KPI-tile grid; plan §11 item 2 requires the six-tier count table to replace it, with no single headline percentage.","New page section rendering tiers 1-6 from archival_visibility.csv/group_hierarchy_review.csv, each figure individually sourced and linkable to its CSV row(s).",S3-06,"frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Page test confirms no bare '372' or '308' renders without its tier label adjacent in the DOM.,Tier 6 renders as 'unresolved' unless Sprint 1's S1-02 has explicitly changed that state.,new: test_page_never_renders_bare_count_without_tier_label,P0,medium — the section most directly downstream of the two corrections in this programme; highest scrutiny warranted,blocked,none,,,not_applicable
S4-02,4,Interface Redesign,Dual Ontology Toggle (Colonial Accounting View / Human-Centred Critical View),"Plan §11 item 3 and §6 require the two ontology views to be presented as explicitly separate, toggleable, non-merged lenses.","Toggle UI switching between the two views, each with its own color palette per §12, neither ever rendering a synthetic per-person node for an aggregate group.",S3-06,"frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Accessibility check: toggle is keyboard-operable and the active view is announced to assistive tech, not conveyed by color alone.","Group-cards in the Human-Centred view show record_person_count and hierarchy position, never an invented name or avatar.",N/A (covered by S4-08's page test suite + S4-07's accessibility pass),P1,medium,blocked,none,,,not_applicable
S4-03,4,Interface Redesign,Naming Asymmetry section (§9's four findings),"Plan §9 defines four structural findings (role breadth, schema asymmetry, evidence-status asymmetry, extraction-layer asymmetry) that must render without a headline ratio.","New page section listing all four findings with their schema-level evidence, no percentage anywhere in this section.",S3-06,"frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Section contains zero percent signs or ratio expressions tied to person counts.,"The fourth finding (extraction-layer asymmetry, i.e. the belenggu/musket capture-rate difference) is present and cites S1-01's audit status.",N/A (covered by S4-08),P2,low,blocked,none,,,not_applicable
S4-04,4,Interface Redesign,Administrative Aggregation & Group Hierarchy tree UI,"Plan §11 item 5 requires the parent/child hierarchy (especially the Madagascar cohort) to be visually explicit, replacing the retired hardcoded HUMAN_GROUP_HIERARCHY rendering.","Tree UI over group_hierarchy_review.csv, visually marking which node 'counts toward' the unique-person estimate so a reader sees the de-duplication, not just the tree shape.","S3-06, S2-07","frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","A reviewer looking at the Madagascar branch alone can tell, without reading a tooltip, that the parent and its 5 children are not both counted.","Tree matches group_hierarchy_review.csv exactly (17 nodes, correct parent/child edges).",N/A (covered by S4-08),P1,low,blocked,none,,,not_applicable
S4-05,4,Interface Redesign,Coercion Context section incl. restraint-device breakdown,"Plan §11 item 6 requires the full explicit-presence / affordance-vs-use / not-recorded breakdown, plus a visible audit-pending status badge, for both restraint-device entries.","New page section: supervisory hierarchy, legal-coercive category, spatial co-location (interpretation-flagged), and the two restraint-device rows each with their audit-pending badge.","S3-06, S2-03, S2-04","frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Page test confirms zero iconography of bondage/restraint/violence anywhere on the page (plan §12).,Restraint-device rows render only as plain labelled text/table rows; badge reads 'canonical-extraction audit pending' until S1-01/A0-6 sign-off flips it.,new: test_no_restraint_iconography_present; test_restraint_device_rows_show_audit_pending_badge_until_signoff,P0,high — the section with the highest risk of accidentally implying a use-claim the evidence does not support (P6),blocked,inherits S1-01's attestation-review dependency (no longer external) for the badge's eventual non-pending state (the section itself can still ship in pending state without the blocker resolving),,,not_applicable
S4-06,4,Interface Redesign,Relocate Solver Snapshot section below archival/critical content,Task instruction (this turn and the original critical-redesign request) requires the solver to move below the archival and critical interpretation sections — explicitly not a KPI-equal section anymore.,"Existing Solver Snapshot section moved to position 8 in page order (plan §11), with the subordination framing sentence added.",S4-01..S4-05,"frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",DOM-order test passes.,"Framing sentence present verbatim: solver figures are downstream of and subordinate to the archival/critical sections, describing feasibility only, not coercion.",new: test_solver_section_dom_position_after_archival_critical_sections,P1,"low — reordering + one sentence, low technical risk",blocked,none,,,not_applicable
S4-07,4,Interface Redesign,Accessibility and language-policy audit pass,"Plan §13 requires semantic headings, no color-only encoding, and bilingual sourcing (original-language terms incl. belenggu always co-occurring with their mapped category).",Accessibility report (via design:accessibility-review skill) + language-policy compliance check across all new sections.,S4-01..S4-06,"frontend/map_app/templates/map_app/riset_enclave_1682.html; frontend/map_app/views.py (context wiring only, if demonstrably required); frontend/map_app/tests.py (new test classes only)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",design:accessibility-review skill run against the redesigned page; zero critical/serious findings outstanding.,"Every occurrence of an original-language term (slaven, slavinnen, mandoors, gecondemneerden, kostgelt, belenggu) has its mapped category adjacent in the same UI element.",new: test_original_language_terms_cooccur_with_mapped_category,P1,low,blocked,none,,,not_applicable
