candidate,gate_id,gate_family,model_equation_id,parameter_space,estimand,applicability,mathematical_reason,mandatory_advisory_status,source_decision,implementation_status,notes
M0,GATE-039,held_out_predictive_score,M0-EQ-1,Theta_M0,predictive score,APPLICABLE,"predictive distribution defined for Theta_M0",ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M0,GATE-040,source_removal_stability,M0-EQ-1,Theta_M0,parameter stability,APPLICABLE,"refit stability defined for any parameterized estimator",ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M0,GATE-041,episode_removal_stability,M0-EQ-1,Theta_M0,parameter stability,CONDITIONAL,"only meaningful under episode-structured synthetic settings",ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates; N/A under flat regime
M0,GATE-042,calibration,M0-EQ-1,Theta_M0,predictive calibration,APPLICABLE,"PIT/reliability defined for any count-model predictive distribution",ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M1,GATE-008,invalid_estimate_rate,M1-EQ-1,Theta_M1 (unamended),invalid_estimate_rate,APPLICABLE,benchmark candidate; original V1 estimator,MANDATORY,frozen original spec,NOT_EXECUTED,M1 is benchmark-only (Math Spec V2 SS24)
M1,GATE-009,false_positive_excitation_rate,M1-EQ-1,Theta_M1,excitation FP rate,APPLICABLE,V1 has an alpha/beta parameterization,MANDATORY,frozen original spec,NOT_EXECUTED,
M1,GATE-010,absolute_relative_bias_excitation_params,M1-EQ-1,Theta_M1,alpha/beta bias,APPLICABLE,V1 has alpha/beta,MANDATORY,frozen original spec,NOT_EXECUTED,"undefined denominator at alpha_true=0 cell flagged in original spec; not resolved here"
M1,GATE-011,normalized_absolute_bias_baseline_param,M1-EQ-1,Theta_M1,baseline bias,APPLICABLE,baseline parameter exists,MANDATORY,frozen original spec,NOT_EXECUTED,
M1,GATE-012,branching_ratio_absolute_bias,M1-EQ-1,Theta_M1,branching ratio bias,APPLICABLE,V1 has alpha/beta -> branching ratio derivable,MANDATORY,frozen original spec,NOT_EXECUTED,
M1,GATE-013,branching_ratio_relative_bias,M1-EQ-1,Theta_M1,branching ratio bias,APPLICABLE,as GATE-012,MANDATORY,frozen original spec,NOT_EXECUTED,"undefined denominator at n_true=0 flagged; not resolved here"
M1,GATE-014,ci_coverage_95pct,M1-EQ-1,Theta_M1,interval coverage,APPLICABLE,defined per-parameter,MANDATORY,frozen original spec,NOT_EXECUTED,
M1,GATE-043,false_negative_excitation_rate,M1-EQ-1,Theta_M1,excitation FN rate,APPLICABLE,V1 has an excitation-positive state,ADVISORY,frozen original spec (2026-08-29 note correction),NOT_COMPUTED,not part of the 17 M0/M2/M3 advisory inventory (M1 out of Proposal 6 scope)
M1,GATE-044,convergence_rate,M1-EQ-1,Theta_M1,convergence rate,APPLICABLE,defined for any optimizer,MANDATORY,frozen original spec,NOT_EXECUTED,
M1,GATE-045,boundary_solution_rate,M1-EQ-1,Theta_M1,boundary rate,APPLICABLE,defined for bounded optimizer,ADVISORY,frozen original spec,NOT_COMPUTED,not part of the 17-gate M0/M2/M3 inventory
M1,GATE-046,held_out_predictive_score,M1-EQ-1,Theta_M1,predictive score,APPLICABLE,predictive distribution defined,ADVISORY,frozen original spec,NOT_COMPUTED,not part of the 17-gate inventory
M1,GATE-047,source_removal_stability,M1-EQ-1,Theta_M1,parameter stability,APPLICABLE,refit stability defined,ADVISORY,frozen original spec,NOT_COMPUTED,not part of the 17-gate inventory
M1,GATE-048,episode_removal_stability,M1-EQ-1,Theta_M1,parameter stability,CONDITIONAL,only under episode-structured settings,ADVISORY,frozen original spec,NOT_COMPUTED,not part of the 17-gate inventory
M1,GATE-049,calibration,M1-EQ-1,Theta_M1,predictive calibration,APPLICABLE,PIT/reliability defined,ADVISORY,frozen original spec,NOT_COMPUTED,not part of the 17-gate inventory
M2,GATE-015,invalid_estimate_rate,M2-EQ-1,Theta_M2_amended,invalid_estimate_rate,APPLICABLE,defined for interval-censored MBPP estimator,MANDATORY,PROPOSAL-03,NOT_EXECUTED,excluded from 17-advisory inventory; remediation path is Proposal 3
M2,GATE-016,false_positive_excitation_rate,M2-EQ-1,Theta_M2_amended,excitation FP rate,REQUIRES_PREIMPLEMENTATION_DECISION,"defined only once M2 exact-null representability (NUM-DEC-03) is resolved",MANDATORY,PROPOSAL-03 / PROPOSAL-04 SS17 (M2 exact-null: SEPARATE_DEPENDENCY),NOT_EXECUTED,blocked on NUM-DEC-03
M2,GATE-017,absolute_relative_bias_excitation_params,M2-EQ-1,Theta_M2_amended,n bias (retargeted from alpha),APPLICABLE,"n=alpha/beta defined and identifiable per objective-ridge evidence",MANDATORY,PROPOSAL-02,NOT_EXECUTED,alpha/beta individually SECONDARY_DIAGNOSTIC only
M2,GATE-018,normalized_absolute_bias_baseline_param,M2-EQ-1,Theta_M2_amended,theta0 bias,APPLICABLE,baseline parameter exists,MANDATORY,frozen original spec (unaffected),NOT_EXECUTED,
M2,GATE-019,branching_ratio_absolute_bias,M2-EQ-1,Theta_M2_amended,n bias,APPLICABLE,n defined and primary estimand,MANDATORY,PROPOSAL-03,NOT_EXECUTED,MANDATORY not advisory (consistency-audit correction); already has 150/cell observed values
M2,GATE-020,branching_ratio_relative_bias,M2-EQ-1,Theta_M2_amended,n bias,APPLICABLE,as GATE-019,MANDATORY,PROPOSAL-03,NOT_EXECUTED,MANDATORY not advisory (consistency-audit correction)
M2,GATE-021,ci_coverage_95pct,M2-EQ-1,Theta_M2_amended,n interval coverage,REQUIRES_PREIMPLEMENTATION_DECISION,"defined only once an uncertainty method for n is selected",MANDATORY,PROPOSAL-02 SS15,NOT_EXECUTED,blocked on NUM-DEC-02
M2,GATE-050,false_negative_excitation_rate,M2-EQ-1,Theta_M2_amended,excitation FN rate,APPLICABLE,n-based excitation-positive state defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M2,GATE-051,convergence_rate,M2-EQ-1,Theta_M2_amended,convergence rate,APPLICABLE,defined for any optimizer,MANDATORY,PROPOSAL-03,NOT_EXECUTED,excluded from 17-advisory inventory
M2,GATE-052,boundary_solution_rate,M2-EQ-1,Theta_M2_amended,boundary rate,APPLICABLE,defined for bounded optimizer,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M2,GATE-053,held_out_predictive_score,M2-EQ-1,Theta_M2_amended,predictive score,APPLICABLE,predictive interval counts defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M2,GATE-054,source_removal_stability,M2-EQ-1,Theta_M2_amended,parameter stability,APPLICABLE,refit stability defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M2,GATE-055,episode_removal_stability,M2-EQ-1,Theta_M2_amended,parameter stability,CONDITIONAL,only under episode-structured settings,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M2,GATE-056,calibration,M2-EQ-1,Theta_M2_amended,predictive calibration,APPLICABLE,PIT/bootstrap defined for interval-censored likelihood,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M3,GATE-029,invalid_estimate_rate,M3-EQ-1,Theta_M3_amended,invalid_estimate_rate,APPLICABLE,defined for MCMC/Bayesian estimator,MANDATORY,frozen original spec (unaffected),NOT_EXECUTED,excluded from 17-advisory inventory
M3,GATE-030,false_positive_excitation_rate,M3-EQ-1,Theta_M3_amended,FPR(tau) under exact null,REQUIRES_PREIMPLEMENTATION_DECISION,"defined only once exact-null model (Proposal 4) and tau (NUM-DEC-04) are resolved",MANDATORY,PROPOSAL-04 / PROPOSAL-05,NOT_EXECUTED,blocked on NUM-DEC-04
M3,GATE-031,absolute_relative_bias_excitation_params,M3-EQ-1 (original: no alpha-like parameter),Theta_M3_old and Theta_M3_new,nonexistent alpha-like amplitude bias,RETIRED_PROSPECTIVELY,"q_031 undefined on both old and new Theta_M3: no separate alpha-like amplitude parameter exists in either parameterization",MANDATORY (historical only),PROPOSAL-07,RETIRED_PROSPECTIVELY,replaced by GATE-031-V2-REPL-A through E in the V2 gate specification; original row preserved unchanged
M3,GATE-032,normalized_absolute_bias_baseline_param,M3-EQ-1,Theta_M3_amended,theta0 posterior bias,APPLICABLE,baseline parameter exists,MANDATORY,frozen original spec (unaffected),NOT_EXECUTED,excluded from 17-advisory inventory (was already MANDATORY)
M3,GATE-033,branching_ratio_absolute_bias,M3-EQ-1,Theta_M3_amended,n_d bias,APPLICABLE,n_d defined and primary,MANDATORY,frozen original spec / PROPOSAL-07 (partial GATE-031 successor role),NOT_EXECUTED,already VALID_GATE_VALID_FAILURE in pilot
M3,GATE-034,branching_ratio_relative_bias,M3-EQ-1,Theta_M3_amended,n_d bias,APPLICABLE,as GATE-033,MANDATORY,frozen original spec / PROPOSAL-07,NOT_EXECUTED,already VALID_GATE_VALID_FAILURE in pilot
M3,GATE-035,credible_interval_coverage_95pct,M3-EQ-1,Theta_M3_amended,posterior interval coverage,APPLICABLE,defined per-parameter under posterior,MANDATORY,PROPOSAL-04/05 (interpretation amended),NOT_EXECUTED,
M3,GATE-050R-REPL,exact_null_representability,M3-EQ-1,Theta_M3_amended,structural n_d=0 support,APPLICABLE,"required precondition for any exact-null gate",MANDATORY,PROPOSAL-04 (GATE-031 replacement A),NOT_EXECUTED,see MODEL_3B_RECOVERY_GATE_SPECIFICATION_V2.csv row GATE-031-V2-REPL-A
M3,GATE-051R-REPL,posterior_probability_calibration,M3-EQ-1,Theta_M3_amended,P(M1|Y) calibration,REQUIRES_PREIMPLEMENTATION_DECISION,"defined only once tau grid is calibrated",MANDATORY,PROPOSAL-05 (GATE-031 replacement B),NOT_EXECUTED,blocked on NUM-DEC-04; see GATE-031-V2-REPL-B
M3,GATE-052R-REPL,fnr_power_under_excitation,M3-EQ-1,Theta_M3_amended,FNR(tau)/power,REQUIRES_PREIMPLEMENTATION_DECISION,"defined only once tau (NUM-DEC-04) is resolved",MANDATORY,PROPOSAL-05 (GATE-031 replacement D),NOT_EXECUTED,see GATE-031-V2-REPL-D
M3,GATE-053R-REPL,conditional_magnitude_recovery,M3-EQ-1,Theta_M3_amended,"E[n_d|Y,M1] bias",APPLICABLE,defined conditional on M1 selection,MANDATORY,PROPOSAL-05 SS17 (GATE-031 replacement E),NOT_EXECUTED,overlaps GATE-033/034; see GATE-031-V2-REPL-E
M3,GATE-057,false_negative_excitation_rate,M3-EQ-1,Theta_M3_amended,excitation FN rate (uncalibrated symmetry gate),APPLICABLE,excitation-positive state defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates; distinct from the calibrated GATE-031-V2-REPL-D
M3,GATE-058,convergence_rate,M3-EQ-1,Theta_M3_amended,convergence/divergent-transition rate,APPLICABLE,defined for MCMC sampler,MANDATORY,frozen original spec (unaffected),NOT_EXECUTED,excluded from 17-advisory inventory
M3,GATE-059,boundary_solution_rate,M3-EQ-1,Theta_M3_amended,posterior-edge concentration rate,APPLICABLE,defined for bounded prior support,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M3,GATE-060,held_out_predictive_score,M3-EQ-1,Theta_M3_amended,predictive score,APPLICABLE,posterior-predictive distribution defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M3,GATE-061,source_removal_stability,M3-EQ-1,Theta_M3_amended,parameter stability,APPLICABLE,refit stability defined,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M3,GATE-062,episode_removal_stability,M3-EQ-1,Theta_M3_amended,parameter stability,CONDITIONAL,only under episode-structured settings,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M3,GATE-063,calibration,M3-EQ-1,Theta_M3_amended,posterior-predictive calibration,APPLICABLE,PIT defined for Bayesian posterior predictive,ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
M4,GATE-022-THROUGH-028,(all M4 gates),M4-EQ-1,Theta_M4 (candidate excluded),N/A,NOT_APPLICABLE_TO_MODEL_DOMAIN,"M4 excluded from current tournament: only 12 HIGH-confidence exact-event dates, below the required precise-date subset threshold",N/A,Math Spec V2 SS25 (EXCLUDED_INSUFFICIENT_PRECISE_SUBSET),NOT_APPLICABLE,"candidate-level exclusion; not gate-specific; must not be restored by pooling HIGH+MEDIUM date-precision tiers"
M4,GATE-064-THROUGH-070,(all M4 gates),M4-EQ-1,Theta_M4,N/A,NOT_APPLICABLE_TO_MODEL_DOMAIN,as above,N/A,Math Spec V2 SS25,NOT_APPLICABLE,candidate-level exclusion
