original_gate_id,original_candidate,original_metric,original_tier,v2_disposition,v2_gate_id,v2_candidate,mathematical_reason,source_amendment,historical_gate_preserved,affects_v2_verdict,notes
GATE-017,M2,absolute_relative_bias_excitation_params,MANDATORY,REVISED_PROSPECTIVELY,GATE-017-V2,M2,Primary estimand changed to n=alpha/beta (Proposal 2); metric formula renamed absolute_relative_bias_excitation_params -> absolute_relative_bias_n; threshold band amended.,PROPOSAL-02 (n=alpha/beta primary estimand; APPROVED_WITH_LIMITATIONS); PROPOSAL-03 (1000/cell required before final adjudication),YES,YES,
GATE-018,M2,normalized_absolute_bias_baseline_param,MANDATORY,RETAINED_UNCHANGED,GATE-018-V2,M2,Baseline-bias metric unaffected by estimand change.,none (unaffected by estimand change),YES,NO,
GATE-019,M2,branching_ratio_absolute_bias,MANDATORY,RETAINED_UNCHANGED,GATE-019-V2,M2,"Threshold frozen unchanged; MANDATORY tier for M2 preserved (root of the 19-vs-17 advisory-count correction: GATE-019/020 confirmed MANDATORY, not ADVISORY).",PROPOSAL-03 (full 1000/cell scale required before final adjudication; pilot observed 0.020-0.054 at 150/cell not final),YES,NO,Pilot observed 0.020-0.054 at 150/cell; not final pending Proposal 3 full-scale run.
GATE-020,M2,branching_ratio_relative_bias,MANDATORY,RETAINED_UNCHANGED,GATE-020-V2,M2,Threshold frozen unchanged; MANDATORY tier for M2 preserved.,PROPOSAL-03,YES,NO,
GATE-021,M2,ci_coverage_95pct,MANDATORY,DEFERRED_PENDING_NUMERICAL_DECISION,GATE-021-V2,M2,Uncertainty-quantification method for n (NUM-DEC-02: profile likelihood / bootstrap / revised likelihood interval / Bayesian posterior interval) not yet selected; coverage band cannot be finalized without it.,PROPOSAL-02 SS15 (uncertainty method for n not selected: profile likelihood / bootstrap / revised likelihood interval / Bayesian posterior interval - none adopted),YES,YES,
GATE-050,M2,false_negative_excitation_rate,ADVISORY,RETAINED_UNCHANGED,GATE-050-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-051,M2,convergence_rate,MANDATORY,RETAINED_UNCHANGED,GATE-051-V2,M2,"Threshold frozen unchanged; protocol shortfall (150 vs 1000/cell) affects completion, not the gate definition.",PROPOSAL-03 (protocol shortfall undermines this gate's completion; not a scope gap),YES,NO,
GATE-052,M2,boundary_solution_rate,ADVISORY,RETAINED_UNCHANGED,GATE-052-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-053,M2,held_out_predictive_score,ADVISORY,RETAINED_UNCHANGED,GATE-053-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-054,M2,source_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-054-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-055,M2,episode_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-055-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-056,M2,calibration,ADVISORY,RETAINED_UNCHANGED,GATE-056-V2,M2,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-029,M3,invalid_estimate_rate,MANDATORY,RETAINED_UNCHANGED,GATE-029-V2,M3,invalid_estimate_rate unaffected by exact-null/decision-rule amendments.,none (unaffected by exact-null/decision-rule amendments),YES,NO,
GATE-030,M3,false_positive_excitation_rate,MANDATORY,DEFERRED_PENDING_NUMERICAL_DECISION,GATE-030-V2,M3,"Metric renamed to FPR_hat(tau); requires prospectively-calibrated tau (NUM-DEC-04), which itself depends on prior model odds (NUM-DEC-05) and Bayes-factor/marginal-likelihood method (NUM-DEC-06).",PROPOSAL-04 (exact-null support required); PROPOSAL-05 (calibrated P(M1|Y) rule; tau via prospective grid calibration; calibration/evaluation seed separation mandatory),YES,YES,Threshold necessary-but-not-sufficient; must be evaluated jointly with FNR/power per Proposal 5.
GATE-031,M3,absolute_relative_bias_excitation_params,MANDATORY,RETIRED_PROSPECTIVELY,GATE-031-V2-RETIRED,M3,Structurally excludes n=0 for any finite logit_n; exact-null representability defect confirmed (Proposal 4). Retired prospectively for M3 only; historically preserved for the original pilot record.,"PROPOSAL-07 (RETIRE_GATE_031_FOR_FUTURE_AMENDED_M3_ONLY; classification C, PARAMETERIZATION_SPECIFIC_GATE_OBSOLETE, reinforced by D)",YES,YES,"Spawns 5 new V2 replacement gates sourced from GATE-031: GATE-031-V2-REPL-A (exact_null_representability, NUM-DEC-03), REPL-B (posterior_probability_calibration, NUM-DEC-04/05/06), REPL-C (FPR_hat(tau)), REPL-D (FNR_hat(tau)), REPL-E (E[n_d|Y,M1] bias/coverage, overlaps GATE-033/034). Classification C, PARAMETERIZATION_SPECIFIC_GATE_OBSOLETE, reinforced by D."
GATE-032,M3,normalized_absolute_bias_baseline_param,MANDATORY,RETAINED_UNCHANGED,GATE-032-V2,M3,M2 protocol shortfall (Proposal 3) does not apply to M3; MANDATORY tier retained per frozen spec.,PROPOSAL-03-adjacent (M2 protocol shortfall does not apply to M3; retained MANDATORY per frozen spec),YES,NO,
GATE-033,M3,branching_ratio_absolute_bias,MANDATORY,REVISED_PROSPECTIVELY,GATE-033-V2,M3,Takes on partial successor role for magnitude recovery alongside new gate GATE-031-V2-REPL-E (Proposal 7).,PROPOSAL-07 (partial successor role: covers magnitude recovery alongside M3-REPL-031-E),YES,YES,
GATE-034,M3,branching_ratio_relative_bias,MANDATORY,REVISED_PROSPECTIVELY,GATE-034-V2,M3,Takes on partial successor role alongside GATE-031-V2-REPL-E (Proposal 7).,PROPOSAL-07 (partial successor role),YES,YES,
GATE-035,M3,credible_interval_coverage_95pct,MANDATORY,REVISED_PROSPECTIVELY,GATE-035-V2,M3,Credible-interval coverage interpretation revised by the exact-null and decision-rule redesign (n_d / model-existence framing).,PROPOSAL-04/05 (exact-null and decision-rule redesign affects the n_d/model-existence coverage interpretation),YES,YES,
GATE-057,M3,false_negative_excitation_rate,ADVISORY,RETAINED_UNCHANGED,GATE-057-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-058,M3,convergence_rate,MANDATORY,RETAINED_UNCHANGED,GATE-058-V2,M3,convergence_rate unaffected by exact-null/decision-rule amendments.,none (unaffected by exact-null/decision-rule amendments),YES,NO,
GATE-059,M3,boundary_solution_rate,ADVISORY,RETAINED_UNCHANGED,GATE-059-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-060,M3,held_out_predictive_score,ADVISORY,RETAINED_UNCHANGED,GATE-060-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-061,M3,source_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-061-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-062,M3,episode_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-062-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-063,M3,calibration,ADVISORY,RETAINED_UNCHANGED,GATE-063-V2,M3,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-022,M4,invalid_estimate_rate,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-023,M4,false_positive_excitation_rate,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-024,M4,absolute_relative_bias_excitation_params,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-025,M4,normalized_absolute_bias_baseline_param,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-026,M4,branching_ratio_absolute_bias,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-027,M4,branching_ratio_relative_bias,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-028,M4,ci_coverage_95pct,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-022-V2-THROUGH-028-V2,M4,"M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET (only 12 HIGH-confidence exact-event dates, below 30-40 floor; 57 MEDIUM-confidence gated SENSITIVITY_ONLY_NOT_PRIMARY_M4). No valid M4 parameter estimate exists on which these gates could be evaluated.",Math Spec V2 SS25 (M4: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET; 12 HIGH-confidence exact-event dates; must not be restored by pooling HIGH+MEDIUM),YES,NO,"Contributing original gates: GATE-022,023,024,025,026,027,028. Must not be restored by pooling HIGH+MEDIUM confidence dates (Math Spec V2 SS25)."
GATE-064,M4,false_negative_excitation_rate,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-065,M4,convergence_rate,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-066,M4,boundary_solution_rate,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-067,M4,held_out_predictive_score,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-068,M4,source_removal_stability,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-069,M4,episode_removal_stability,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
GATE-070,M4,calibration,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-064-V2-THROUGH-070-V2,M4,M4 candidate excluded: EXCLUDED_INSUFFICIENT_PRECISE_SUBSET.,Math Spec V2 SS25,YES,NO,"Contributing original gates: GATE-064,065,066,067,068,069,070."
NEW_REPLACEMENT_GATE,N/A (no original gate; new gate),N/A (no original gate; new gate),N/A,NEW_REPLACEMENT_GATE,GATE-031-V2-REPL-A,M3,"Proposal 4 (M3-NULL-A/B/C design): model support must include n_d=0, structurally impossible under n=expit(logit_n).",PROPOSAL-04 (M3-NULL-A/B/C required design),N/A (structural ancestor GATE-031 is preserved separately),YES,"Structural ancestor: GATE-031 (retired prospectively for M3, see original_gate_id=GATE-031 row above). metric_name=exact_null_representability."
NEW_REPLACEMENT_GATE,N/A (no original gate; new gate),N/A (no original gate; new gate),N/A,NEW_REPLACEMENT_GATE,GATE-031-V2-REPL-B,M3,Proposal 5: calibrated P(M1|Y) decision rule requires a dedicated calibration gate.,PROPOSAL-05,N/A (structural ancestor GATE-031 is preserved separately),YES,"Structural ancestor: GATE-031 (retired prospectively for M3, see original_gate_id=GATE-031 row above). metric_name=posterior_probability_calibration."
NEW_REPLACEMENT_GATE,N/A (no original gate; new gate),N/A (no original gate; new gate),N/A,NEW_REPLACEMENT_GATE,GATE-031-V2-REPL-C,M3,"Proposal 5: false-positive rate at threshold tau, evaluated jointly with FNR/power.",PROPOSAL-05,N/A (structural ancestor GATE-031 is preserved separately),YES,"Structural ancestor: GATE-031 (retired prospectively for M3, see original_gate_id=GATE-031 row above). metric_name=FPR_hat(tau)."
NEW_REPLACEMENT_GATE,N/A (no original gate; new gate),N/A (no original gate; new gate),N/A,NEW_REPLACEMENT_GATE,GATE-031-V2-REPL-D,M3,"Proposal 5: false-negative rate at threshold tau, evaluated jointly with FPR/power.",PROPOSAL-05,N/A (structural ancestor GATE-031 is preserved separately),YES,"Structural ancestor: GATE-031 (retired prospectively for M3, see original_gate_id=GATE-031 row above). metric_name=FNR_hat(tau)."
NEW_REPLACEMENT_GATE,N/A (no original gate; new gate),N/A (no original gate; new gate),N/A,NEW_REPLACEMENT_GATE,GATE-031-V2-REPL-E,M3,Proposal 5 SS17: overlaps GATE-033/034 (partial successor role).,PROPOSAL-05 SS17; overlaps GATE-033/034,N/A (structural ancestor GATE-031 is preserved separately),YES,"Structural ancestor: GATE-031 (retired prospectively for M3, see original_gate_id=GATE-031 row above). metric_name=E[n_d | Y, M1] bias and CI coverage."
