bibliographic_class,field_name,applicability,field_role,hard_identifier_reason,required_core_reason,normalization_rule_reference,target_specific_override_allowed,researcher_decision,status,notes
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,physical_or_digital_format,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
UNVERIFIED_REFERENCE,title,1,REQUIRED_CORE_METADATA,,series title (Corpus Diplomaticum) needed to confirm the reference is even the right series,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§9.2: normalized title listed as potentially relevant
UNVERIFIED_REFERENCE,author_or_corporate_author,1,REQUIRED_CORE_METADATA,,compiling institution/editor is exactly what the frozen registry records as unresolved for all 6 CD volumes,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,matches S1_SOURCE_READINESS_MASTER_PLAN.md: compiler/edition identity UNRESOLVED for PS-03..PS-08
UNVERIFIED_REFERENCE,publication_year,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating; compilation dates for archival series are secondary to volume identity
UNVERIFIED_REFERENCE,edition,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only if a specific published edition (vs. archival original) is cited; not required by default
UNVERIFIED_REFERENCE,volume,1,REQUIRED_CORE_METADATA,,§9.2 of instruction: volume number cannot be optional when the target names a specific volume (CD1..CD6 each name one),S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,explicit instruction requirement for multi-volume works
UNVERIFIED_REFERENCE,issue,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,archival compilation volumes are not periodical issues
UNVERIFIED_REFERENCE,publisher,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"corroborating; compiling institution (author_or_corporate_author) is the decisive field, not a commercial publisher"
UNVERIFIED_REFERENCE,repository_or_catalogue_identity,1,HARD_IDENTIFIER,only field that can distinguish the exact archival/compilation object among near-identical volume-numbered CD editions,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§6: catalogue identifier is the practical hard identifier for archival compilations
UNVERIFIED_REFERENCE,persistent_identifier,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,archival compilations of this type predate DOI issuance; no evidence any exists
UNVERIFIED_REFERENCE,catalogue_record_url,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating discovery aid
UNVERIFIED_REFERENCE,language,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
UNVERIFIED_REFERENCE,physical_or_digital_format,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
CITED_ONLY_NOT_YET_LOCATED,title,1,REQUIRED_CORE_METADATA,,minimum needed to search for a plausible candidate at all,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§9.3: field set must remain conservative but title is the floor
CITED_ONLY_NOT_YET_LOCATED,author_or_corporate_author,1,REQUIRED_CORE_METADATA,,"already named in the citing dossier (Kathirithamby-Wells, Vogel); required to avoid a false-positive candidate under a similar title",S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"§9.3: do not invent, but author is already frozen/cited, not invented"
CITED_ONLY_NOT_YET_LOCATED,publication_year,1,REQUIRED_CORE_METADATA,,already cited (1690 for Vogel; window 1760-85 for the thesis); required to prevent merging a different work by the same author,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"already frozen in citing material, so requiring it is not invention"
CITED_ONLY_NOT_YET_LOCATED,edition,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found; not required to search
CITED_ONLY_NOT_YET_LOCATED,volume,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found
CITED_ONLY_NOT_YET_LOCATED,issue,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"applicable only once a candidate is found, and only if periodical"
CITED_ONLY_NOT_YET_LOCATED,publisher,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found
CITED_ONLY_NOT_YET_LOCATED,repository_or_catalogue_identity,1,HARD_IDENTIFIER,the field that resolves NO_CANDIDATE_FOUND vs a genuine identity match once a candidate surfaces,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§6: applies once a repository/archive can be attributed to the candidate
CITED_ONLY_NOT_YET_LOCATED,persistent_identifier,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),YES — see S1_B1_REQUIRED_CORE_FIELD_ADJUDICATION.md Sec.6 override for ET-10,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"class default is 17th-century sources (Vogel, Fort York); DOI not applicable by default"
CITED_ONLY_NOT_YET_LOCATED,catalogue_record_url,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found
CITED_ONLY_NOT_YET_LOCATED,language,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
CITED_ONLY_NOT_YET_LOCATED,physical_or_digital_format,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,title,1,REQUIRED_CORE_METADATA,,minimum needed to search for a plausible external bibliographic candidate; local git-history trace (primary path) is separate and out of B1 scope,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§9.4: only the external bibliographic identity component is in scope for B1
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,author_or_corporate_author,1,REQUIRED_CORE_METADATA,,already named in frozen registry (EIC Fort York material); required to avoid false-positive candidate,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"already frozen, not invented"
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,publication_year,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not yet frozen for this target; corroborating once found
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,edition,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not applicable until an external candidate is located
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,volume,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not applicable until an external candidate is located
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,issue,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not applicable
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,publisher,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,applicable only once a candidate is found
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,repository_or_catalogue_identity,1,HARD_IDENTIFIER,the field that resolves LOCAL_FILE_MISSING/candidate-found ambiguity for this class once an external candidate surfaces,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§6: applies once a repository/archive can be attributed
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,persistent_identifier,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,17th-century EIC archival material; no DOI expected
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,catalogue_record_url,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not applicable until an external candidate is located
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,language,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,physical_or_digital_format,0,NOT_APPLICABLE_TO_CLASS,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not applicable until an external candidate is located
