inventory_item_id,inventory_date,location_id,inventory_section,category,row_type,quantity,unit_original,unit_normalized,normalization_status,normalization_reason,normalization_confidence,item_text_id,source_translation_full,condition_normalized,condition_original,reading_status,evidence_status,review_status,source_document_id,source_paragraph_index,image_verified,notes
INV-0017,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,lb,,,,"perangkat berbobot 4 lb, menurut ukuran Trooise","1 perangkat berbobot 4 lb, menurut ukuran Trooise;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,818,not_checked,
INV-0018,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,lb,,,,"perangkat berbobot ½ lb, menurut ukuran Ceulsch","1 perangkat berbobot ½ lb, menurut ukuran Ceulsch;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,819,not_checked,
INV-0019,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,9,,stux,,,,jenis cetakan kapel dari tembaga,9 jenis cetakan kapel dari tembaga;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,820,not_checked,
INV-0020,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,3,,stux,,,,jenis cetakan cawan dari tembaga,3 jenis cetakan cawan dari tembaga;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,821,not_checked,
INV-0021,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,13,,stux,,,,jenis labu pemisahan,13 jenis labu pemisahan;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,822,not_checked,
INV-0022,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,corong kaca,1 corong kaca;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,823,not_checked,
INV-0023,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,batang besi kecil,1 batang besi kecil;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,824,not_checked,
INV-0024,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,dudukan pengujian,2 dudukan pengujian;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,825,not_checked,
INV-0025,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,alat pengembus tangan ganda,1 alat pengembus tangan ganda;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,826,not_checked,
INV-0026,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,ayakan rambut dengan ukuran berbeda,2 ayakan rambut dengan ukuran berbeda;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,827,not_checked,
INV-0027,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,"dovan dari kain halus, beserta penutup-penutupnya","1 dovan dari kain halus, beserta penutup-penutupnya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,828,not_checked,
INV-0028,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,rumah pengujian kecil dari kaca,1 rumah pengujian kecil dari kaca;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,829,not_checked,
INV-0029,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,anak timbangan assay dari perak,2 anak timbangan assay dari perak;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,830,not_checked,
INV-0030,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,kaki tiga dari besi untuk proses pemisahan,1 kaki tiga dari besi untuk proses pemisahan;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,831,not_checked,
INV-0031,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,neraca besi biasa dengan dua piringan cekung,1 neraca besi biasa dengan dua piringan cekung;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,832,not_checked,
INV-0032,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,baskom tembaga,2 baskom tembaga.,,,translated_docx,,,DOC-INVENTORY-1682-01-04,833,not_checked,
INV-0033,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,3,,stux,,,,"batu maqueet, disimpan di dalam sebuah kotak","3 batu maqueet, disimpan di dalam sebuah kotak;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,835,not_checked,
INV-0034,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,pelat atau wadah voorset,1 pelat atau wadah voorset;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,836,not_checked,
INV-0035,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,kompas penunjuk,1 kompas penunjuk;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,837,not_checked,
INV-0036,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,2,,stux,,,,"rumah pengujian kecil dari kaca, dalam keadaan tidak layak digunakan","2 rumah pengujian kecil dari kaca, dalam keadaan tidak layak digunakan;",unserviceable,,translated_docx,,,DOC-INVENTORY-1682-01-04,838,not_checked,
INV-0037,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,6,,stux,,,,besi berbentuk cincin,6 besi berbentuk cincin;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,839,not_checked,
INV-0038,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,loodsevel,1 loodsevel;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,840,not_checked,
INV-0039,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,besi penusuk,1 besi penusuk;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,841,not_checked,
INV-0040,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,kait gleth,1 kait gleth;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,842,not_checked,
INV-0041,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,keranjang berisi kain-kain pengujian,1 keranjang berisi kain-kain pengujian;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,843,not_checked,
INV-0042,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,3,,stux,,,,cetakan moffel,3 cetakan moffel;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,844,not_checked,
INV-0043,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,crominelheeft,1 crominelheeft;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,845,not_checked,
INV-0044,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,1,,stux,,,,garpu terak,1 garpu terak;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,846,not_checked,
INV-0045,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,vat_or_tong,,,,sejumlah tembaga dalam bentuk potongan atau skrap,sejumlah tembaga dalam bentuk potongan atau skrap;,,,unresolved,,,DOC-INVENTORY-1682-01-04,847,not_checked,
INV-0046,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah wijnsteen, atau tartar","sejumlah wijnsteen, atau tartar;",,,unresolved,,,DOC-INVENTORY-1682-01-04,848,not_checked,
INV-0047,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,sejumlah salpeter,sejumlah salpeter;,,,unresolved,,,DOC-INVENTORY-1682-01-04,849,not_checked,
INV-0048,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah coperrood, atau tembaga merah","sejumlah coperrood, atau tembaga merah;",,,unresolved,,,DOC-INVENTORY-1682-01-04,850,not_checked,
INV-0049,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah Spaans groen, atau verdigris","sejumlah Spaans groen, atau verdigris;",,,unresolved,,,DOC-INVENTORY-1682-01-04,851,not_checked,
INV-0050,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah quicksilver, atau air raksa","sejumlah quicksilver, atau air raksa;",,,unresolved,,,DOC-INVENTORY-1682-01-04,852,not_checked,
INV-0051,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah aluijn, atau tawas","sejumlah aluijn, atau tawas;",,,unresolved,,,DOC-INVENTORY-1682-01-04,853,not_checked,
INV-0052,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah arsenicum, atau arsenik","sejumlah arsenicum, atau arsenik;",,,unresolved,,,DOC-INVENTORY-1682-01-04,854,not_checked,
INV-0053,1682-01-04,L-SALIDO,Assaijeurs gereetschappen berustende op Sillida,assay_equipment_stored,inventory_item,,,unspecified,,,,"sejumlah antimonium crudum, atau antimon mentah","sejumlah antimonium crudum, atau antimon mentah.",,,unresolved,,,DOC-INVENTORY-1682-01-04,855,not_checked,
INV-0054,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,"tungku pengujian dari besi, beserta perlengkapan apinya","1 tungku pengujian dari besi, beserta perlengkapan apinya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,858,not_checked,
INV-0055,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,rumah pengujian kecil dari kaca,1 rumah pengujian kecil dari kaca;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,859,not_checked,
INV-0056,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,"neraca assay halus, dengan dudukan kayu","1 neraca assay halus, dengan dudukan kayu;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,860,not_checked,
INV-0057,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,perangkat anak timbangan perak untuk satu centenaar,1 perangkat anak timbangan perak untuk satu centenaar;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,861,not_checked,
INV-0058,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,"neraca timbang, dengan dudukan tembaga","1 neraca timbang, dengan dudukan tembaga;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,862,not_checked,
INV-0059,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,"mortar tembaga, dengan penumbuk besi","1 mortar tembaga, dengan penumbuk besi;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,863,not_checked,
INV-0060,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,sendok timbal dari besi,1 sendok timbal dari besi;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,864,not_checked,
INV-0061,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,alat pengembus tangan tunggal,1 alat pengembus tangan tunggal;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,865,not_checked,
INV-0062,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,"tang pipih kecil, dengan sekrup tangan","1 tang pipih kecil, dengan sekrup tangan;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,866,not_checked,
INV-0063,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,kaki tiga dari besi untuk pemisahan,1 kaki tiga dari besi untuk pemisahan;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,867,not_checked,
INV-0064,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,wadah penuang dari tembaga,1 wadah penuang dari tembaga;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,868,not_checked,
INV-0065,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,4,,stux,,,,labu pemisahan dari kaca,4 labu pemisahan dari kaca;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,869,not_checked,
INV-0066,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,,,unspecified,,,,sejumlah moffel dan pecahan atau cawan pengujian,sejumlah moffel dan pecahan atau cawan pengujian;,,,unresolved,,,DOC-INVENTORY-1682-01-04,870,not_checked,
INV-0067,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,5,,lb,,,,"lb antimonium crudum, atau antimon mentah","5 lb antimonium crudum, atau antimon mentah;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,871,not_checked,
INV-0068,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,pelat atau wadah pengujian,1 pelat atau wadah pengujian;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,872,not_checked,
INV-0069,1682-01-04,L-POULO-CHINCO,Op Poulo Chinco onder Assaijeur Willem Roelingh,assay_equipment,inventory_item,1,,stux,,,,ayakan dari bulu/rambut,1 ayakan dari bulu/rambut.,,,translated_docx,,,DOC-INVENTORY-1682-01-04,873,not_checked,
INV-0070,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,2,,stux,,,,"tali haspel, satu di antaranya tidak layak digunakan","2 tali haspel, satu di antaranya tidak layak digunakan;",unserviceable,,translated_docx,,,DOC-INVENTORY-1682-01-04,875,not_checked,
INV-0071,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,5,,stux,,,,palu pemisahan,5 palu pemisahan;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,876,not_checked,
INV-0072,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,3,,stux,,,,palu tangan atau handhamers,3 palu tangan atau handhamers;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,877,not_checked,
INV-0073,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,kratse,1 kratse;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,878,not_checked,
INV-0074,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,3,,stux,,,,penumbuk pochwerk,3 penumbuk pochwerk;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,879,not_checked,
INV-0075,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,2,,stux,,,,meja pemisahan berjeruji,2 meja pemisahan berjeruji;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,880,not_checked,
INV-0076,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,container_or_parent,1,,stux,,,,"bak schlam, dilengkapi","1 bak schlam, dilengkapi:",,,translated_docx,,,DOC-INVENTORY-1682-01-04,881,not_checked,
INV-0077,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,jeruji besi,1 jeruji besi;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,882,not_checked,
INV-0078,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,gembok,1 gembok;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,883,not_checked,
INV-0079,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,11,,stux,,,,kereta dorong,11 kereta dorong;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,884,not_checked,
INV-0080,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,2,,stux,,,,ember air,2 ember air;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,885,not_checked,
INV-0081,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,tros baru untuk tali haspel,1 tros baru untuk tali haspel;,new,,translated_docx,,,DOC-INVENTORY-1682-01-04,886,not_checked,
INV-0082,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,2,,stux,,,,balai atau wadah air yang diperkuat,2 balai atau wadah air yang diperkuat;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,887,not_checked,
INV-0083,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,sekop besi,1 sekop besi;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,888,not_checked,
INV-0084,1682-01-04,L-SCHEIJDEBANCK,In de scheijdebanck boven in de mijn,ore_separation,inventory_item,1,,stux,,,,kapak,1 kapak.,,,translated_docx,,,DOC-INVENTORY-1682-01-04,889,not_checked,
INV-0085,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,1,,stux,,,,balok persegi,1 balok persegi;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,898,not_checked,
INV-0086,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,1,,stux,,,,"kumpulan pekerjaan kayu lama yang tidak layak digunakan, yang sebelumnya diperuntukkan bagi sebuah stampwerk","1 kumpulan pekerjaan kayu lama yang tidak layak digunakan, yang sebelumnya diperuntukkan bagi sebuah stampwerk;",unserviceable|old,,translated_docx,,,DOC-INVENTORY-1682-01-04,899,not_checked,
INV-0087,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,6,,stux,,,,"penumbuk dari besi cor, sebagian besar telah aus","6 penumbuk dari besi cor, sebagian besar telah aus;",worn,,translated_docx,,,DOC-INVENTORY-1682-01-04,900,not_checked,
INV-0088,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,2,,stux,,,,pelat bawah,2 pelat bawah;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,901,not_checked,
INV-0089,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,4,,stux,,,,pelat samping,4 pelat samping;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,902,not_checked,
INV-0090,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,4,,stux,,,,bagian atau perlengkapan untuk poros roda air,4 bagian atau perlengkapan untuk poros roda air;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,903,not_checked,
INV-0091,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,1,,stux,,,,palu besar,1 palu besar;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,904,not_checked,
INV-0092,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,72,,stux,,,,baut besi dalam berbagai ukuran,72 baut besi dalam berbagai ukuran;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,905,not_checked,
INV-0093,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,7,,stux,,,,cincin besar untuk poros,7 cincin besar untuk poros;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,906,not_checked,
INV-0094,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,4,,stux,,,,cincin timbal tempat penumbuk masuk,4 cincin timbal tempat penumbuk masuk;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,907,not_checked,
INV-0095,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,3,,stux,,,,penumbuk besi berukuran besar,3 penumbuk besi berukuran besar;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,908,not_checked,
INV-0096,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,4,,stux,,,,penutup atau pengikat untuk poros roda air,4 penutup atau pengikat untuk poros roda air;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,909,not_checked,
INV-0097,1682-01-04,L-STAMPWERK,Stampwercks-goet in de mijns beneden-pagger,stampwerk,inventory_item,2,,stux,,,,peti berisi berbagai peralatan peleburan dan penumbukan,2 peti berisi berbagai peralatan peleburan dan penumbukan.,,,translated_docx,,,DOC-INVENTORY-1682-01-04,910,not_checked,
INV-0098,1682-01-04,L-PRINCESTOLLE,Mijnsgereetschappen in de Princestolle,underground_tools,inventory_item,15,,stux,,,,lampu tambang,15 lampu tambang;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,923,not_checked,
INV-0099,1682-01-04,L-PRINCESTOLLE,Mijnsgereetschappen in de Princestolle,underground_tools,inventory_item,19,,stux,,,,bor tambang,19 bor tambang;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,924,not_checked,
