person_role_id,person_id,role_id,role_original,valid_from,valid_to,evidence_status,review_status,source_document_id,source_passage_id,confidence
PR-CRENTSIGH,P-CRENTSIGH,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-SMIDT,P-SMIDT,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-MERCKER,P-MERCKER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-CAPHAARDT,P-CAPHAARDT,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-KELLER,P-KELLER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-HINCKEL,P-HINCKEL,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-MWIESNER,P-MWIESNER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-JWIESNER,P-JWIESNER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-BRETSNIJDER,P-BRETSNIJDER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-COELOSSE,P-COELOSSE,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-ECKER,P-ECKER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-WEIJMER,P-WEIJMER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-ROCKMAN,P-ROCKMAN,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-GERRITSE,P-GERRITSE,R-BAAS-SMIT,Baas Smit,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-WILLEMSE-SMIT,P-WILLEMSE-SMIT,R-SMIT,Smit,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-CLAESSEN,P-CLAESSEN,R-SMIT,Smit,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-HJANSEN,P-HJANSEN,R-SMIT,Smit,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-VILTMAN,P-VILTMAN,R-SMIT,Smit,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-CJANSEN,P-CJANSEN,R-TIMMERMAN,Timmerman,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-STEVENSEN,P-STEVENSEN,R-WAGENMAKER,Wagenmaker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-RADEMAECKER,P-RADEMAECKER,R-WAGENMAKER,Wagenmaker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-STOLTS,P-STOLTS,R-VOERMAN,Voerman,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-WATSENBURG,P-WATSENBURG,R-VOERMAN,Voerman,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-STRELANT,P-STRELANT,R-RUIJTER,Ruijter,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-BROETHAGEN,P-BROETHAGEN,R-RUIJTER,Ruijter,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-DWILLEMSE,P-DWILLEMSE,R-SIECKENVADER,Sieckenvader,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-SJACOBSEN,P-SJACOBSEN,R-TIMMERMAN,Inlands Timmerman,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-PIETER-VAN-RADEN,P-PIETER-VAN-RADEN,R-OPPERMEESTER,Oppermeester in het sieckenhuijs,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-SCHILDT,P-SCHILDT,R-OPPERMEESTER,Oppermeester in mijns bovenpagger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-SCHATS,P-SCHATS,R-JONGEN-CHIRURGIJN,Jongen Chirurgijn,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-HELBORT,P-HELBORT,R-PACKHUIJSKNEGT,Packhuijsknegt,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
