source_passage_id,docx_file,source_document_id,paragraph_index,style,text,review_status,image_verified
SP-00019,enklave-salido.docx,,19,Normal,"Bijih yang diambil dari Zuijder-schagt, dihitung untuk setiap satu centenaar atau seratus pon mineral mentah, mengandung:",researcher_docx,not_checked
SP-00020,enklave-salido.docx,,20,Normal,perak murni: 1 : 8 : 6,researcher_docx,not_checked
SP-00021,enklave-salido.docx,,21,Normal,emas: – : 1 : 12,researcher_docx,not_checked
SP-00022,enklave-salido.docx,,22,Normal,jumlah keseluruhan: 1 : 10 : –,researcher_docx,not_checked
SP-00023,enklave-salido.docx,,23,Normal,"Notasi kadar di atas dipertahankan sesuai naskah. Dokumen tidak menuliskan nama setiap unit secara lengkap pada tabel, tetapi notasi tersebut merupakan sistem bobot bertingkat untuk logam mulia.",researcher_docx,not_checked
SP-00024,enklave-salido.docx,,24,Normal,Perhitungan (Calculatie),researcher_docx,not_checked
SP-00025,enklave-salido.docx,,25,Normal,Bijih tanggal 13 Desember 1681,researcher_docx,not_checked
SP-00026,enklave-salido.docx,,26,Normal,Bijih yang berasal dari Zuijder-schagt memiliki berat bersih:,researcher_docx,not_checked
SP-00027,enklave-salido.docx,,27,Normal,85 pon,researcher_docx,not_checked
SP-00028,enklave-salido.docx,,28,Normal,Kandungan perak:,researcher_docx,not_checked
SP-00029,enklave-salido.docx,,29,Normal,"– : 12 : 11
senilai ƒ19:14:1",researcher_docx,not_checked
SP-00030,enklave-salido.docx,,30,Normal,Kandungan emas:,researcher_docx,not_checked
SP-00031,enklave-salido.docx,,31,Normal,"– : – : 17
senilai ƒ20:19:2",researcher_docx,not_checked
SP-00032,enklave-salido.docx,,32,Normal,Jumlah keseluruhan kandungan emas dan perak:,researcher_docx,not_checked
SP-00033,enklave-salido.docx,,33,Normal,"– : 13 : 10
senilai ƒ40:13:3",researcher_docx,not_checked
SP-00034,enklave-salido.docx,,34,Normal,Bijih tanggal 20 Desember 1681,researcher_docx,not_checked
SP-00035,enklave-salido.docx,,35,Normal,Bijih dari tempat yang sama memiliki berat bersih:,researcher_docx,not_checked
SP-00036,enklave-salido.docx,,36,Normal,90 pon,researcher_docx,not_checked
SP-00037,enklave-salido.docx,,37,Normal,Kandungan perak:,researcher_docx,not_checked
SP-00038,enklave-salido.docx,,38,Normal,"1 : 3 : 6
senilai ƒ30:4:2",researcher_docx,not_checked
SP-00039,enklave-salido.docx,,39,Normal,Kandungan emas:,researcher_docx,not_checked
SP-00040,enklave-salido.docx,,40,Normal,"– : 1 : 6
senilai ƒ29:11:10",researcher_docx,not_checked
SP-00041,enklave-salido.docx,,41,Normal,Jumlah keseluruhan kandungan emas dan perak:,researcher_docx,not_checked
SP-00042,enklave-salido.docx,,42,Normal,"1 : 4 : 12
senilai ƒ59:15:12",researcher_docx,not_checked
SP-00043,enklave-salido.docx,,43,Normal,Bijih tanggal 27 Desember 1681,researcher_docx,not_checked
SP-00044,enklave-salido.docx,,44,Normal,Bijih dari tempat yang sama memiliki berat bersih:,researcher_docx,not_checked
SP-00045,enklave-salido.docx,,45,Normal,56 pon,researcher_docx,not_checked
SP-00046,enklave-salido.docx,,46,Normal,Kandungan perak:,researcher_docx,not_checked
SP-00047,enklave-salido.docx,,47,Normal,"– : 13 : 11
senilai ƒ21:5:5",researcher_docx,not_checked
SP-00048,enklave-salido.docx,,48,Normal,Kandungan emas:,researcher_docx,not_checked
SP-00049,enklave-salido.docx,,49,Normal,"– : – : 16
senilai ƒ19:14:7",researcher_docx,not_checked
SP-00050,enklave-salido.docx,,50,Normal,Jumlah keseluruhan kandungan emas dan perak:,researcher_docx,not_checked
SP-00051,enklave-salido.docx,,51,Normal,"– : 14 : 9
senilai ƒ40:19:12",researcher_docx,not_checked
SP-00052,enklave-salido.docx,,52,Normal,Jumlah Keseluruhan,researcher_docx,not_checked
SP-00053,enklave-salido.docx,,53,Normal,Sebanyak:,researcher_docx,not_checked
SP-00054,enklave-salido.docx,,54,Normal,231 pon bijih,researcher_docx,not_checked
SP-00055,enklave-salido.docx,,55,Normal,menghasilkan kandungan emas dan perak dengan jumlah bobot:,researcher_docx,not_checked
SP-00056,enklave-salido.docx,,56,Normal,3 : – : 13,researcher_docx,not_checked
SP-00057,enklave-salido.docx,,57,Normal,dengan nilai keseluruhan:,researcher_docx,not_checked
SP-00058,enklave-salido.docx,,58,Normal,ƒ141:8:11,researcher_docx,not_checked
SP-00059,enklave-salido.docx,,59,Normal,Pengesahan,researcher_docx,not_checked
SP-00060,enklave-salido.docx,,60,Normal,Di bawah laporan tertulis:,researcher_docx,not_checked
SP-00061,enklave-salido.docx,,61,Normal,Pelayan Yang Mulia yang tunduk dan berkewajiban.,researcher_docx,not_checked
SP-00062,enklave-salido.docx,,62,Normal,Ditandatangani:,researcher_docx,not_checked
SP-00063,enklave-salido.docx,,63,Normal,J. S. Hoffman,researcher_docx,not_checked
SP-00064,enklave-salido.docx,,64,Normal,Di margin tertulis:,researcher_docx,not_checked
SP-00065,enklave-salido.docx,,65,Normal,"Tambang emas Sillida, 27 Desember 1681.",researcher_docx,not_checked
SP-00067,enklave-salido.docx,,67,Normal,Surat Benjamin Olitsch dari Tambang Emas Sillida,researcher_docx,not_checked
SP-00068,enklave-salido.docx,,68,Normal,30 April 1682,researcher_docx,not_checked
SP-00069,enklave-salido.docx,,69,Normal,Batavia,researcher_docx,not_checked
SP-00070,enklave-salido.docx,,70,Normal,"Aan Haar Hoog Edelen, den Edelen Heer Cornelis Speelman, Gouverneur-Generaal, en de Edele Heeren Raden van Nederlands India.",researcher_docx,not_checked
SP-00071,enklave-salido.docx,,71,Normal,"Hooge en Wel-Edele, Hooggebiedende Heeren en Patronen.",researcher_docx,not_checked
SP-00072,enklave-salido.docx,,72,Normal,"Ontfangen tot Batavia den 29 Junij 1682, per de chaloup De Neptunus.",researcher_docx,not_checked
SP-00073,enklave-salido.docx,,73,Normal,"U Hoog Edelens vertrouwen mijn jongste schrijven, in dato 12 Maart laatstleden, wel ontfangen, en de constitutie van d’E. Comp:s mijnwerken, ter selver tijt, daaruijt beoogt hebben.",researcher_docx,not_checked
SP-00074,enklave-salido.docx,,74,Normal,Een omstandiger relaas gelieven Haar Hoog Edelens uijt de hiernevens gaande papieren te beoogen.,researcher_docx,not_checked
SP-00075,enklave-salido.docx,,75,Normal,"Den tegenwoordigen toestand gemelter mijne behelzende, soo heeft men groote hope gestelt op de H: Z: Wester-daggang, die ’t sedert een geruijmen tijt de meeste quantiteijt aan erts gelevert.",researcher_docx,not_checked
SP-00076,enklave-salido.docx,,76,Normal,"Maar, als nu blijkt, sulx geheel contrarie, alsoo thans in denselven gang boven de ¼ vadem erts niet meer voorhanden is; en soo sulx uijtgeslagen is, wijders alle hope teniet.",researcher_docx,not_checked
SP-00077,enklave-salido.docx,,77,Normal,"Vermits soo in ’t hangende als ’t leggende en benedenwaarts overal de Maleijtse werken sig vertoonen, in dewelcke onmogelijk schijnt voort te komen, oversulx niet sien kan wat in ’t toekomende bij dese werken verder te doen sal sijn.",researcher_docx,not_checked
SP-00078,enklave-salido.docx,,78,Normal,"D’oude mijne betreffende, werd mede van dag tot dag slechter bevonden, en kan men d’uijtleveringe van dien beter een doofachtig hornsteen, op sijn Duijts genaamt, dan erts vergelijken, gelijk sulx den slechten inhoud uijt d’laatste assayrapporten vermeld.",researcher_docx,not_checked
SP-00079,enklave-salido.docx,,79,Normal,Uijt alle desen oordeele ’t seer qualijk gedaan te sijn d’E. Comp:e het wijder voortsetten deses seer kostbaren wercks aan te raden.,researcher_docx,not_checked
SP-00080,enklave-salido.docx,,80,Normal,Mondeling berigt staan U Hoog Edelens van den overkomenden Marcktscheijder Joan Plentnaer en van mij per naaster occasie ten overvloede te ontwaren.,researcher_docx,not_checked
SP-00081,enklave-salido.docx,,81,Normal,Boven desen bevinden alhier nog een merkelijke quantiteijt van des d’Graeffs overgebleven schlam.,researcher_docx,not_checked
SP-00082,enklave-salido.docx,,82,Normal,"Stelle het in Haar Hoog Edelens believen, of deselve genegen sijn gemelte schlam van de inlanders alhier ten voordele der E. Comp:e uijt te laten wasschen, opdat egter deselve bij verlatinge der mijnwerken gemelten inlanders niet te buijt mogten vallen.",researcher_docx,not_checked
SP-00083,enklave-salido.docx,,83,Normal,"Eijndelijk versoeke Haar Hoog Edelens onderdanigst, sulcker ontstentenis halven, mij grootgunstig te licentieren, als die buijten dien een swakken, kranken persoon sij, benevens den overigen rest van schier altemaal ongesonde berglieden, wiens meeste part ook haar verbonden tijt bijna geëxpireert is, van hier met de naast vertreckende bodem Batavia- en wijders Patriawaarts te laten keren.",researcher_docx,not_checked
SP-00084,enklave-salido.docx,,84,Normal,"U Hoog Edelens hiermede in Godes bescherminge bevelende, blijve.",researcher_docx,not_checked
SP-00085,enklave-salido.docx,,85,Normal,Onderstond:,researcher_docx,not_checked
SP-00086,enklave-salido.docx,,86,Normal,U Hoog Edelens onderdanigen dienaar.,researcher_docx,not_checked
SP-00087,enklave-salido.docx,,87,Normal,Was geteekent: Benjamin Olitsch.,researcher_docx,not_checked
SP-00088,enklave-salido.docx,,88,Normal,Catatan marginal,researcher_docx,not_checked
SP-00089,enklave-salido.docx,,89,Normal,"Actum Sillidase Goutmijne, adij 30 April 1682.",researcher_docx,not_checked
SP-00091,enklave-salido.docx,,91,Normal,Batavia,researcher_docx,not_checked
SP-00092,enklave-salido.docx,,92,Normal,"Kepada Yang Mulia Tuan Cornelis Speelman, Gubernur Jenderal, beserta Tuan-Tuan Anggota Dewan Hindia Belanda yang Mulia.",researcher_docx,not_checked
SP-00093,enklave-salido.docx,,93,Normal,"Tuan-Tuan Yang Tinggi, Sangat Mulia, Berkekuasaan Tinggi, dan Para Pelindung.",researcher_docx,not_checked
SP-00094,enklave-salido.docx,,94,Normal,Catatan penerimaan,researcher_docx,not_checked
SP-00095,enklave-salido.docx,,95,Normal,Diterima di Batavia pada tanggal 29 Juni 1682 dengan kapal kecil De Neptunus.,researcher_docx,not_checked
SP-00096,enklave-salido.docx,,96,Normal,Isi surat,researcher_docx,not_checked
SP-00097,enklave-salido.docx,,97,Normal,"Saya percaya bahwa Yang Mulia telah menerima dengan baik surat saya yang terakhir, tertanggal 12 Maret yang lalu, dan bahwa pada waktu itu Yang Mulia telah memperoleh gambaran darinya mengenai keadaan pekerjaan-pekerjaan tambang Kompeni Yang Terhormat.",researcher_docx,not_checked
SP-00098,enklave-salido.docx,,98,Normal,Kiranya Yang Mulia berkenan memperoleh suatu laporan yang lebih terperinci dari dokumen-dokumen yang turut dilampirkan bersama surat ini.,researcher_docx,not_checked
SP-00099,enklave-salido.docx,,99,Normal,"Mengenai keadaan tambang yang disebutkan tersebut pada saat ini, harapan yang besar sebelumnya telah diletakkan pada H: Z: Wester-daggang, yang selama beberapa waktu telah menghasilkan bijih dalam jumlah paling besar.",researcher_docx,not_checked
SP-00100,enklave-salido.docx,,100,Normal,"Namun, sebagaimana sekarang ternyata, keadaannya sama sekali berlawanan. Sebab, pada saat ini di dalam lorong tersebut tidak lagi terdapat bijih lebih dari ¼ vadem. Apabila bagian bijih tersebut telah ditambang habis, seluruh harapan selanjutnya akan lenyap.",researcher_docx,not_checked
SP-00101,enklave-salido.docx,,101,Normal,"Hal itu disebabkan karena, baik pada sisi hangende, pada sisi leggende, maupun ke arah bawah, di mana-mana tampak pekerjaan-pekerjaan Melayu. Di dalam pekerjaan-pekerjaan tersebut, tampaknya mustahil untuk meneruskan penggalian. Oleh karena itu, saya tidak dapat melihat pekerjaan apa lagi yang dapat dilakukan di tempat tersebut pada masa mendatang.",researcher_docx,not_checked
SP-00102,enklave-salido.docx,,102,Normal,"Mengenai tambang lama, keadaannya juga ditemukan semakin memburuk dari hari ke hari. Hasil yang diperoleh darinya lebih tepat dibandingkan dengan suatu doofachtig hornsteen, sebagaimana disebut dalam bahasa Jerman, daripada dengan bijih. Hal itu juga ditunjukkan oleh kandungannya yang buruk sebagaimana dinyatakan dalam laporan-laporan pengujian kadar yang terakhir.",researcher_docx,not_checked
SP-00103,enklave-salido.docx,,103,Normal,"Berdasarkan seluruh keadaan tersebut, saya menilai bahwa merupakan tindakan yang sangat tidak tepat untuk menganjurkan kepada Kompeni Yang Terhormat agar meneruskan lebih jauh pekerjaan yang sangat mahal ini.",researcher_docx,not_checked
SP-00104,enklave-salido.docx,,104,Normal,"Yang Mulia dapat memperoleh penjelasan lisan secara lebih dari cukup dari Marcktscheijder Joan Plentnaer, yang akan datang ke sana, dan dari saya sendiri pada kesempatan berikutnya.",researcher_docx,not_checked
SP-00105,enklave-salido.docx,,105,Normal,"Selain itu, di tempat ini masih terdapat sejumlah besar schlam peninggalan De Graeff.",researcher_docx,not_checked
SP-00106,enklave-salido.docx,,106,Normal,"Saya menyerahkan kepada keputusan Yang Mulia apakah Yang Mulia berkenan menyuruh penduduk pribumi di tempat ini mencuci kembali schlam yang telah disebutkan itu demi keuntungan Kompeni Yang Terhormat. Hal tersebut perlu dilakukan agar, apabila pekerjaan tambang ditinggalkan, schlam itu tidak jatuh sebagai keuntungan atau rampasan ke tangan penduduk pribumi yang telah disebutkan.",researcher_docx,not_checked
SP-00107,enklave-salido.docx,,107,Normal,"Akhirnya, dengan segala kerendahan hati saya memohon kepada Yang Mulia agar, karena tidak adanya prospek lebih lanjut tersebut, Yang Mulia berkenan memberikan izin kepada saya untuk meninggalkan tempat ini. Selain itu, saya sendiri merupakan orang yang lemah dan sakit.",researcher_docx,not_checked
SP-00108,enklave-salido.docx,,108,Normal,"Saya juga memohon agar para pekerja tambang yang masih tersisa, yang hampir semuanya berada dalam keadaan tidak sehat dan sebagian besar masa kontrak kerjanya juga hampir berakhir, diperbolehkan berangkat dari sini dengan kapal berikutnya menuju Batavia, dan selanjutnya kembali menuju Tanah Air.",researcher_docx,not_checked
SP-00109,enklave-salido.docx,,109,Normal,"Dengan ini saya menyerahkan Yang Mulia ke dalam perlindungan Tuhan, dan saya tetap menjadi,",researcher_docx,not_checked
SP-00110,enklave-salido.docx,,110,Normal,Pelayan Yang Mulia yang tunduk.,researcher_docx,not_checked
SP-00111,enklave-salido.docx,,111,Normal,Ditandatangani:,researcher_docx,not_checked
SP-00112,enklave-salido.docx,,112,Normal,Benjamin Olitsch,researcher_docx,not_checked
SP-00113,enklave-salido.docx,,113,Normal,Di margin tertulis:,researcher_docx,not_checked
SP-00114,enklave-salido.docx,,114,Normal,"Dibuat di Tambang Emas Sillida, pada tanggal 30 April 1682.",researcher_docx,not_checked
SP-00116,enklave-salido.docx,,116,Normal,Protokol Tambang Emas Sillida,researcher_docx,not_checked
SP-00117,enklave-salido.docx,,117,Normal,Awal Tahun 1682,researcher_docx,not_checked
SP-00118,enklave-salido.docx,,118,Normal,Judul dokumen,researcher_docx,not_checked
SP-00119,enklave-salido.docx,,119,Normal,"Protocol gehouden in de Sillidase goudmijne op de Sumatrase Westcust, van den Heer Doctor Benjamin Olitschen, des E. Comp:s Berghooftman aldaar, in den beginne des 1682:sten jaars.",researcher_docx,not_checked
SP-00120,enklave-salido.docx,,120,Normal,Terjemahan,researcher_docx,not_checked
SP-00121,enklave-salido.docx,,121,Normal,"Protokol yang diselenggarakan di Tambang Emas Sillida di Pantai Barat Sumatra oleh Tuan Doctor Benjamin Olitsch, Berghooftman Kompeni Yang Terhormat di tempat tersebut, pada awal tahun 1682.",researcher_docx,not_checked
SP-00122,enklave-salido.docx,,122,Normal,"Setelah, berdasarkan perintah Yang Mulia Tuan Rijckloff van Goens, Gubernur Jenderal, dan Tuan-Tuan Yang Mulia anggota Dewan Hindia, perjalanan saya menuju Pantai Barat luar Sumatra direncanakan, pada tanggal 12 November 1681 saya berangkat dari pelabuhan Batavia dengan kapal Nieuw Middelburgh, bersama armada yang digabungkan dengannya.",researcher_docx,not_checked
SP-00123,enklave-salido.docx,,123,Normal,"Pada tanggal 29 Desember tahun yang sama, saya tiba dengan selamat di Pulo Chinco. Di sana, kepada Tuan Commandeur Jan van Leene, saya menyerahkan armada yang telah disebutkan tersebut sesuai perintah Yang Mulia, beserta orang-orang yang berada di kapal-kapal itu dan segala perlengkapan lainnya yang menyertainya.",researcher_docx,not_checked
SP-00124,enklave-salido.docx,,124,Normal,"Karena pekerjaan Tambang Emas Sillida, yang dipercayakan kepada saya sebagai Berghooftman, harus diserahkan kepada saya, maka, berdasarkan keputusan Commandeur dan saya sendiri, dimulailah pemeriksaan terhadap perkakas dan perlengkapan yang berkaitan dengan tambang tersebut.",researcher_docx,not_checked
SP-00125,enklave-salido.docx,,125,Normal,"Namun, karena kelemahan tubuh yang terus berlangsung, saya tidak dapat menghadiri pemeriksaan itu secara pribadi. Oleh karena itu, beberapa orang tertentu ditunjuk sebagai komisaris untuk melaksanakannya, yaitu dari pihak saya:",researcher_docx,not_checked
SP-00126,enklave-salido.docx,,126,Normal,"Johann Pleitner, Marckscheider;",researcher_docx,not_checked
SP-00127,enklave-salido.docx,,127,Normal,"Johann Willem Vogel, Assaijeur.",researcher_docx,not_checked
SP-00128,enklave-salido.docx,,128,Normal,"Keduanya memeriksa mijn-proeparatorium atau fasilitas persiapan dan pengujian tambang tersebut pada tanggal 4 Januari 1682, sebagaimana ditunjukkan oleh salinannya dengan nomor yang disebutkan dalam dokumen.",researcher_docx,not_checked
SP-00129,enklave-salido.docx,,129,Normal,"Demikian pula turut disertakan daftar para pekerja tambang dan pekerja keterampilan yang ditemukan di sana, sebagaimana ditunjukkan dalam salinan bernomor 2 yang dilampirkan.",researcher_docx,not_checked
SP-00130,enklave-salido.docx,,130,Normal,"Kepada saya dilaporkan bahwa, karena budak-budak yang termasuk dalam tenaga kerja tambang digunakan dalam peperangan yang telah terjadi, selama kira-kira empat bulan orang terpaksa membiarkan tambang lama tidak beroperasi.",researcher_docx,not_checked
SP-00131,enklave-salido.docx,,131,Normal,Di dalam tambang lama itu hanya oorten atau muka-muka penggalian yang diteruskan.,researcher_docx,not_checked
SP-00132,enklave-salido.docx,,132,Normal,"Demikian pula, 7:e schagt dan J:L:W: daggang hanya sedikit dikerjakan. Sebaliknya, pekerjaan pada Princestolle diteruskan dengan lebih giat.",researcher_docx,not_checked
SP-00133,enklave-salido.docx,,133,Normal,"Karena dalam keadaan semacam itu sangat diperlukan agar saya sendiri datang ke tambang tersebut untuk menempatkannya dalam pengaturan yang lebih baik, maka, meskipun kelemahan tubuh saya terus berlangsung, pada tanggal 5 Januari saya menyuruh diri saya dibawa dari Pulo Chinco menuju Tambang Emas Sillida bersama Tuan Commandeur Jan van Leene.",researcher_docx,not_checked
SP-00134,enklave-salido.docx,,134,Normal,Di sana saya ditempatkan sebagaimana mestinya dan segala sesuatu ditangani sesuai dengan perintah Yang Mulia.,researcher_docx,not_checked
SP-00135,enklave-salido.docx,,135,Normal,"Tuan Van Leene kemudian ingin mengetahui siapa yang, karena tidak terdapat seorang Bergmeester di tempat itu, saya nilai paling cakap untuk memimpin pekerjaan tambang di bawah saya dan turut menandatangani dokumen-dokumen yang berkaitan dengannya.",researcher_docx,not_checked
SP-00136,enklave-salido.docx,,136,Normal,"Saya memilih Johan Pleitner, Marckscheider, untuk tugas tersebut.",researcher_docx,not_checked
SP-00137,enklave-salido.docx,,137,Normal,"Pekerjaan itu segera diserahkan kepadanya, setelah sebelumnya diambil alih dari Johan Hoffman, yang telah menjalankannya setelah meninggalnya [nama tidak terbaca pasti, kemungkinan pejabat tambang sebelumnya].",researcher_docx,not_checked
SP-00138,enklave-salido.docx,,138,Normal,"Johan Pleitner diperintahkan memasuki dan memeriksa tambang karena, akibat kelemahan tubuh yang terlalu besar, saya tidak mampu memeriksanya sendiri.",researcher_docx,not_checked
SP-00139,enklave-salido.docx,,139,Normal,"Setelah menerima perintah itu, Johan Pleitner melaksanakan pemeriksaan dan memberikan laporan bahwa:",researcher_docx,not_checked
SP-00140,enklave-salido.docx,,140,Normal,tambang lama;,researcher_docx,not_checked
SP-00141,enklave-salido.docx,,141,Normal,Z: schagt;,researcher_docx,not_checked
SP-00142,enklave-salido.docx,,142,Normal,"dan bagian lainnya,",researcher_docx,not_checked
SP-00143,enklave-salido.docx,,143,Normal,"harus diberi penyangga kayu kembali, karena sebagian besar konstruksi kayunya ditemukan telah membusuk.",researcher_docx,not_checked
SP-00144,enklave-salido.docx,,144,Normal,"Mengenai oude groeve atau tambang lama, sumurannya sampai kedalaman tertentu berada dalam keadaan penuh air.",researcher_docx,not_checked
SP-00145,enklave-salido.docx,,145,Normal,"Pada bovenste oort atau muka penggalian bagian atas ditemukan batuan yang sangat keras, tetapi tidak terdapat tanda-tanda bijih.",researcher_docx,not_checked
SP-00146,enklave-salido.docx,,146,Normal,Bijih yang berada pada sisi hangende merupakan bijih yang ditinggalkan oleh De Graeff. Bijih tersebut baru dapat diperoleh dengan peledakan setelah sumurannya terlebih dahulu diperkuat kembali dengan konstruksi kayu.,researcher_docx,not_checked
SP-00147,enklave-salido.docx,,147,Normal,"Di dalam 2:e schagt tidak ditemukan bijih pada bagian kedalamannya. Oleh karena itu, tidak diperlukan untuk menenggelamkan atau memperdalam sumuran tersebut lebih jauh.",researcher_docx,not_checked
SP-00148,enklave-salido.docx,,148,Normal,"Akan tetapi, mungkin akan berguna apabila ke arah N:N:W:, menuju E:L:W: daggang, dibuka sebuah lorong dan lorong tersebut kemudian diteruskan.",researcher_docx,not_checked
SP-00149,enklave-salido.docx,,149,Normal,"Namun, dapat dipertahankan sebagai suatu kepastian bahwa lorong itu akan mencapai E:W: daggang pada kedalaman atau jarak 3 lagter.",researcher_docx,not_checked
SP-00150,enklave-salido.docx,,150,Normal,"Mengenai Princestolle, ditemukan bahwa, berdasarkan petunjuk orang-orang yang sebelumnya pernah berada di tempat itu, lorong tersebut telah digerakkan terlalu jauh ke dalam sisi hangende.",researcher_docx,not_checked
SP-00151,enklave-salido.docx,,151,Normal,"Apabila arah tersebut terus dipertahankan, sumuran dapat terlewati atau meleset sejauh:",researcher_docx,not_checked
SP-00152,enklave-salido.docx,,152,Normal,2 lagter 5 duijmen,researcher_docx,not_checked
SP-00153,enklave-salido.docx,,153,Normal,Pada malam berikutnya saya memberikan perintah dan menunjukkan seberapa jauh lorong tersebut harus diarahkan menuju sisi leggende agar kembali memperoleh arah atau jalur yang semestinya.,researcher_docx,not_checked
SP-00154,enklave-salido.docx,,154,Normal,"Pada tanggal 6 Januari, atas permintaan Commandeur, diserahkan 40 budak lama yang diperlukan untuk rombongan atau tenaga kerja tambang.",researcher_docx,not_checked
SP-00155,enklave-salido.docx,,155,Normal,"Budak-budak yang datang dari Batavia, menurut teks terdiri atas:",researcher_docx,not_checked
SP-00156,enklave-salido.docx,,156,Normal,2 laki-laki;,researcher_docx,not_checked
SP-00157,enklave-salido.docx,,157,Normal,40 anak laki-laki atau pemuda;,researcher_docx,not_checked
SP-00158,enklave-salido.docx,,158,Normal,25 anak perempuan atau perempuan muda.,researcher_docx,not_checked
SP-00159,enklave-salido.docx,,159,Normal,Jumlah keseluruhannya:,researcher_docx,not_checked
SP-00160,enklave-salido.docx,,160,Normal,67 orang,researcher_docx,not_checked
SP-00161,enklave-salido.docx,,161,Normal,"Mereka diserahkan kepada saya oleh Jordan Tiding, pemegang buku di rumah Te Velsen.",researcher_docx,not_checked
SP-00162,enklave-salido.docx,,162,Normal,"Dalam kelompok tersebut termasuk pula dua budak milik Tuan Camphuijsen, yang telah dijatuhi hukuman.",researcher_docx,not_checked
SP-00163,enklave-salido.docx,,163,Normal,"Budak-budak tersebut kemudian segera dibagi ke dalam beberapa schigten atau giliran kerja, yaitu untuk:",researcher_docx,not_checked
SP-00164,enklave-salido.docx,,164,Normal,tambang lama;,researcher_docx,not_checked
SP-00165,enklave-salido.docx,,165,Normal,Z: schagt;,researcher_docx,not_checked
SP-00166,enklave-salido.docx,,166,Normal,Z:Z:W: daggang;,researcher_docx,not_checked
SP-00167,enklave-salido.docx,,167,Normal,Princestolle.,researcher_docx,not_checked
SP-00168,enklave-salido.docx,,168,Normal,"Setelah itu, pekerjaan tambang dimulai kembali. Pekerjaan untuk memperkuat sumuran lama dengan konstruksi kayu juga mulai dilakukan.",researcher_docx,not_checked
SP-00169,enklave-salido.docx,,169,Normal,"Karena terdapat kekurangan tempat tinggal bagi para budak, dianggap baik agar budak-budak yang menjalani giliran kerja malam dapat digunakan pada siang hari untuk membangun sebuah rumah budak yang baru.",researcher_docx,not_checked
SP-00170,enklave-salido.docx,,170,Normal,"Pembangunan rumah tersebut kemudian dilaksanakan, demikian pula beberapa pekerjaan perbaikan lainnya.",researcher_docx,not_checked
SP-00171,enklave-salido.docx,,171,Normal,"Pada tanggal 10 Januari, pekerjaan-pekerjaan tambang diperiksa oleh Marckscheider Jan van Pleitner.",researcher_docx,not_checked
SP-00172,enklave-salido.docx,,172,Normal,"Di dalam tambang lama ditemukan bahwa pada sisi hangende, melalui suatu bukaan atau hasil peledakan pada strosse, terdapat aliran air yang besar dan mengalir kuat keluar melalui mulut stolle.",researcher_docx,not_checked
SP-00173,enklave-salido.docx,,173,Normal,"Setelah itu, sumuran terdalam diperiksa. Ditemukan bahwa air telah masuk sampai lebih dari 1 lagter.",researcher_docx,not_checked
