operation_id,period_start,period_end,location_id,schoten,ore_weight_lb,notes,source_document_id,source_passage_id,evidence_status,review_status
OP-031,1682-03-29,1682-04-04,L-OUDE-MIJNE,162,360,28 + 332,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-032,1682-03-29,1682-04-04,L-SUIJDERWERCK,36,541,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-033,1682-03-29,1682-04-04,L-PRINCESTOLLE,18,,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-034,1682-04-05,1682-04-11,L-OUDE-MIJNE,162,351,17 + 334,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-035,1682-04-05,1682-04-11,L-SUIJDERWERCK,40,595,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-036,1682-04-05,1682-04-11,L-PRINCESTOLLE,23,,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-037,1682-04-12,1682-04-18,L-OUDE-MIJNE,160,463,39 + 424,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-038,1682-04-12,1682-04-18,L-SUIJDERWERCK,46,519,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-039,1682-04-12,1682-04-18,L-PRINCESTOLLE,26,,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-040,1682-04-19,1682-04-25,L-OUDE-MIJNE,162,642,35 + 607,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-041,1682-04-19,1682-04-25,L-SUIJDERWERCK,36,507,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
OP-042,1682-04-19,1682-04-25,L-PRINCESTOLLE,24,,,DOC-PROTOCOL-1682,,explicit_or_translated,needs_folio_link
