gate_id,candidate,metric,original_threshold,observed_value,planned_replications,actual_replications,protocol_complete,implementation_valid,estimand_valid,classification,proposed_action,researcher_decision_required,evidence_path,notes
GATE-018,M2,normalized_absolute_bias_baseline_param,<= 0.25,1.36-1.59 across 4 cells,1000,150,FALSE,FALSE,TRUE,VALID_GATE_IMPLEMENTATION_FAILURE,"theta0 bias is far outside tolerance even though M0's theta0 (same functional form, same covariate) recovers cleanly (bias 0.007-0.034). This points to interaction between the mis-identified alpha/beta and theta0 in the joint M2 optimizer, not an M2-specific theta0 defect. Investigate jointly with the alpha/beta ridge fix before re-scoring.",TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,FAIL. Flagged implementation_valid=FALSE pending the joint-optimizer investigation noted in proposed_action -- not yet root-caused to a single mechanism the way GATE-007/017 were.
GATE-019,M2,branching_ratio_absolute_bias,<= 0.05,0.020-0.054 across 3 non-null cells,1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Re-run at full 1000/cell to confirm; already close to passing at reduced scale.,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,MARGINAL PASS at reduced scale (0.020-0.054 vs 0.05 threshold -- S6-equiv at 0.036 and S5-equiv at 0.054 straddle it). This is the single most important positive finding: the branching ratio itself IS approximately recoverable even though alpha/beta individually are not.
GATE-020,M2,branching_ratio_relative_bias,<= 0.10,0.030-0.080 across 3 non-null cells,1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Re-run at full 1000/cell to confirm.,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,PASSES at reduced scale (0.030-0.080 vs 0.10 threshold). Consistent with GATE-019's finding.
GATE-021,M2,ci_coverage_95pct,between 0.925 and 0.975,0.034-0.20 (alpha); 0.16-0.39 (beta),1000,150,FALSE,FALSE,FALSE,ESTIMAND_MISMATCH,Do not adjudicate alpha/beta individual-parameter coverage as originally specified. Propose a branching-ratio-n coverage gate instead (amendment proposal).,TRUE,docs/thesis/pilot_annotation/MODEL_3B_M2_IDENTIFIABILITY_PROFILE.md,"FAIL, both estimand_valid and implementation_valid FALSE -- the underlying quantity (individual alpha/beta) is not well-identified at this data resolution regardless of implementation quality, per the confirmed ridge."
GATE-029,M3,invalid_estimate_rate,<= 0.05,0.0 (convergence_rate=1.0 across all 4 cells implies 0 invalid),200,200,PARTIAL,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Re-run at full 1000/cell per the protocol's own tiered authorization (200/cell was pre-authorized as a reduced diagnostic default; scale-up needs separate authorization).,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,PASSES at 200/cell reduced scale. protocol_complete=PARTIAL because 200/cell was the protocol's own explicitly pre-authorized default for M3 specifically (not a deviation the way M2's 150/cell was) -- see MODEL_3B_RECOVERY_TOURNAMENT_EXECUTION_PROTOCOL.md sec4 item3.
GATE-030,M3,false_positive_excitation_rate,<= 0.05,1.0 (S1-equiv-n0 cell),200,200,PARTIAL,FALSE,FALSE,VALID_GATE_IMPLEMENTATION_FAILURE,"Do not use the current lo>0.0 decision rule with the current logit(n) reparameterization -- n=0 is structurally unreachable (finite logit(n) implies 0<n<1 for all posterior draws), so the 95% credible interval's lower bound can essentially never equal or cross exactly 0, mechanically forcing this rate toward 1.0 regardless of the true data-generating process. Adopt one of the null-design alternatives in the M3 audit (explicit H0 comparison, spike-and-slab, hurdle, or a preregistered region-of-practical-equivalence threshold) before this gate is re-evaluated.",TRUE,"docs/thesis/pilot_annotation/MODEL_3B_M3_NULL_BOUNDARY_AUDIT.md; docs/thesis/colab/model3b_tournament_harness/m3_bayesian_discrete.py (_from_unconstrained, n_branch = 1/(1+exp(-logit_n)))","FAIL as observed (100%), but this is a structural decision-rule/parameter-support defect confirmed directly from the transform code, not evidence the model spuriously detects excitation in a meaningful statistical sense. Classified NULL_NOT_IN_PARAMETER_SUPPORT + DECISION_RULE_INVALID in the M3 audit."
GATE-031,M3,absolute_relative_bias_excitation_params,<= 0.10,"not separately computed by run_recovery_m3.py (M3 parameterizes directly in n, beta -- no separate alpha)",200,200,PARTIAL,TRUE,FALSE,ESTIMAND_MISMATCH,"This gate as worded assumes an alpha-like excitation-amplitude parameter distinct from n; M3's own parameterization (Design doc sec5 Option B/C) never separates them. Propose retiring this gate for M3 specifically in favor of the branching_ratio gates (GATE-033/034), which M3 already reports directly.",TRUE,docs/thesis/colab/model3b_tournament_harness/m3_bayesian_discrete.py,"NOT_INTERPRETABLE as worded for M3's chosen parameterization -- not a failure, a gate/model parameterization mismatch identified before it was ever evaluated."
GATE-032,M3,normalized_absolute_bias_baseline_param,<= 0.25,not separately reported in m3_summary.csv (theta0/theta1 point estimates exist in raw replicates but bias not aggregated in the summary script),200,200,PARTIAL,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Compute theta0/theta1 point-estimate bias from the raw per-replicate CSV before final adjudication -- the summary script did not aggregate it even though the raw data exists.,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_raw_replicates.csv,"Metric exists in raw data but was not computed/reported by the pilot's summary aggregation step -- an implementation gap in the reporting script, not the model itself."
GATE-033,M3,branching_ratio_absolute_bias,<= 0.05,0.134-0.284 across 4 cells,200,200,PARTIAL,TRUE,TRUE,VALID_GATE_VALID_FAILURE,"Re-run at full scale to confirm the magnitude, but this reads as a substantive (if moderate) recovery weakness, not an implementation artifact -- worse than M2's branching-ratio bias (0.020-0.054) despite M3's coarser discrete-time formulation being specifically designed to avoid M2's continuous-time identifiability trap.",TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,"FAIL. Notably the S1-equiv-n0 cell's 0.284 absolute bias is on a true n of exactly 0 -- consistent with, and likely largely explained by, the same null-boundary artifact as GATE-030 (posterior mean of n cannot be exactly 0 either)."
GATE-034,M3,branching_ratio_relative_bias,<= 0.10,0.198-0.199 (3 non-null cells; undefined/nan at the n_true=0 cell),200,200,PARTIAL,TRUE,TRUE,VALID_GATE_VALID_FAILURE,Re-run at full scale to confirm.,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,"FAIL but roughly 2x threshold, not an order-of-magnitude failure like M2's alpha bias -- consistent with M3's discrete-time n being better-behaved than M2's continuous-time alpha/beta split, though still short of the gate."
GATE-035,M3,credible_interval_coverage_95pct,between 0.925 and 0.975,"0.0 (null cell, structural); 0.80-0.845 (n, non-null cells); 0.66-0.91 (beta)",200,200,PARTIAL,FALSE,TRUE,VALID_GATE_IMPLEMENTATION_FAILURE,"Null-cell coverage (0.0) is mechanically guaranteed to fail given GATE-030's finding (the true value 0 is outside the support of every posterior draw, so it can never be covered) -- not an independent finding. Non-null-cell coverage for n (0.80-0.845) and beta (0.66-0.91) are below target but not to the same catastrophic degree; re-evaluate after the null-boundary fix, since the MCMC sampler/prior may also need review independently.",TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,"FAIL. The n_true=0 cell's 0.0 coverage is a direct, deterministic consequence of GATE-030's finding, not new evidence -- do not double-count it as two independent failures."
GATE-037,M0,convergence_rate,>= 0.99,0.991-1.0 across 15 cells,1000,1000,TRUE,TRUE,TRUE,VALID_GATE_VALID_FAILURE,none -- gate passes,FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m0_summary.csv,PASS.
GATE-051,M2,convergence_rate,>= 0.99,0.987-1.0 across 4 cells,1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Re-run at full 1000/cell to confirm.,TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,PASSES at reduced scale (0.987 is just under the 0.99 threshold at S3/S5/S6-equiv; S1-equiv-alpha0 is exactly 1.0).
GATE-058,M3,convergence_rate,>= 0.99,1.0 across all 4 cells,200,200,PARTIAL,TRUE,TRUE,VALID_GATE_VALID_FAILURE,none -- gate passes,FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,"PASS. MCMC sampler itself converges cleanly (acceptance rate 0.458-0.484, healthy); the M3 failures are in the null-boundary decision rule and branching-ratio bias, not sampler convergence."
GATE-036,M0,false_negative_excitation_rate,<= 0.10,not computed by pilot,1000,0,FALSE,N/A,N/A,NOT_INTERPRETABLE,N/A for M0 by construction (no excitation term); this advisory gate should be retired for M0 in the amendment proposal alongside GATE-002/003/005/006.,FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,"REASON=NOT_APPLICABLE_TO_MODEL_DOMAIN. False-negative excitation rate requires a true excitation-positive state and an excitation decision rule; M0 has no excitation process, no alpha/beta/n, and no excitation decision rule. Same domain basis as GATE-002/003/005/006."
GATE-038,M0,boundary_solution_rate,<= 0.10,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Compute in a future scaled run using the boundary_flags already returned by fit_m0_poisson/fit_nb -- the data exists in the fit result objects but was not aggregated into the summary.,FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,ADVISORY. Not computed by the pilot summary script though the underlying boundary_flags field exists in M0FitResult.
GATE-039,M0,held_out_predictive_score,must exceed M0's own held-out score at matched settings,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Requires a held-out data split not implemented in this pilot's run scripts; out of scope for this diagnostic audit turn.,FALSE,N/A,ADVISORY. Not run.
GATE-040,M0,source_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-source-out refit,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Requires leave-one-source-out refitting logic not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-041,M0,episode_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-episode-out refit,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Requires leave-one-episode-out refitting logic not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-042,M0,calibration,PIT histogram/reliability curve within +/-0.05 of nominal across deciles,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Requires a PIT/calibration diagnostic not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-050,M2,false_negative_excitation_rate,<= 0.10,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-052,M2,boundary_solution_rate,<= 0.10,0.173-0.347 across 4 cells,1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,"Re-run at full 1000/cell to confirm; already computed and already fails at reduced scale, worth flagging even though advisory.",FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,ADVISORY. FAILS at reduced scale (0.173-0.347 vs 0.10) -- consistent with the alpha/beta ridge pushing many fits toward parameter-space boundaries.
GATE-053,M2,held_out_predictive_score,must exceed M0's own held-out score at matched settings,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts (M0's own held-out score is also not computed -- see GATE-039).,FALSE,N/A,ADVISORY. Not run.
GATE-054,M2,source_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-source-out refit,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-055,M2,episode_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-episode-out refit,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-056,M2,calibration,PIT histogram/reliability curve within +/-0.05 of nominal across deciles,not computed by pilot,1000,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-057,M3,false_negative_excitation_rate,<= 0.10,not computed by pilot,200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-059,M3,boundary_solution_rate,<= 0.10,not computed by pilot (MCMC has no L-BFGS-B-style boundary concept; would need a posterior-mass-near-prior-boundary analogue),200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Define and implement a Bayesian analogue (e.g. posterior mass concentrated near logit(n) extremes) before this gate can be scored for M3.,FALSE,N/A,"ADVISORY. Not run; also needs a Bayesian-appropriate redefinition, flagged in the amendment proposal."
GATE-060,M3,held_out_predictive_score,must exceed M0's own held-out score at matched settings,WAIC computed (mean 260-360 across cells) but not compared against M0's held-out score (not computed for M0 either),200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,WAIC values exist in m3_summary.csv but a direct M0-vs-M3 held-out comparison was never implemented for M0; cannot score this relative gate until both sides exist.,FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m3_summary.csv,ADVISORY. Partially available (WAIC) but not comparable without M0's own score.
GATE-061,M3,source_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-source-out refit,not computed by pilot,200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-062,M3,episode_removal_stability,parameter estimate shift <= 0.20 relative under leave-one-episode-out refit,not computed by pilot,200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
GATE-063,M3,calibration,PIT histogram/reliability curve within +/-0.05 of nominal across deciles,not computed by pilot,200,0,FALSE,N/A,N/A,PROTOCOL_NOT_COMPLETED,Not implemented in this pilot's run scripts.,FALSE,N/A,ADVISORY. Not run.
