symbol,definition,domain,unit_if_any,model_stage,source_document,ambiguity_status
M0,"AMBIGUOUS TOKEN -- two distinct referents exist in the frozen corpus: (a) the model-validation/implementation-check stage applied to every candidate (""M0 gate""), and (b) the M3 exact-null submodel n=0. See W2-P0 disambiguation below.",n/a,n/a,AMBIGUOUS,see disambiguation note,AMBIGUOUS_DISAMBIGUATED_BELOW -- documentary labels PROPOSED_INTERNAL_LABEL: M0-IMPLEMENTATION-VALIDATION (referent a) vs M3-NULL-MODEL (referent b); frozen specs are NOT renamed
M1,"AMBIGUOUS TOKEN -- two distinct referents exist: (a) the original V1 Hawkes benchmark (MODEL_VALIDATION_FAILURE, non-authoritative, per MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md line 80/401), and (b) the M3 excitation alternative model 0<n<1.",n/a,n/a,AMBIGUOUS,see disambiguation note,AMBIGUOUS_DISAMBIGUATED_BELOW -- documentary labels PROPOSED_INTERNAL_LABEL: V1-BENCHMARK-NONAUTHORITATIVE (referent a) vs M3-EXCITATION-MODEL (referent b); frozen specs are NOT renamed
BF_10,"Bayes factor, p(Y|M1)/p(Y|M0), primary M3 comparison quantity (NUM-DEC-06)",derived quantity,dimensionless (ratio); log_BF_10 is the numerically stable form,M3,NUM-DEC-06,UNAMBIGUOUS
P(M1|Y),"Posterior model probability of the excitation model, the primary M3 decision quantity (NUM-DEC-05/06)",derived quantity,probability in [0,1],M3,NUM-DEC-05/06,UNAMBIGUOUS
R_attempted,"Planned attempted replications per simulation cell; fixed at 1,000 for M2 (NUM-DEC-01)",count,integer,M2 (generalizes to M3 calibration/evaluation sets),NUM-DEC-01,UNAMBIGUOUS
R_completed,Attempted replications whose generation + fitting pipeline ran to a terminal status (success or classified failure),count,integer <= R_attempted,M2/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S8.2 (R_generated/R_completed distinction),UNAMBIGUOUS
R_converged,Completed replications whose optimizer/sampler reported numerical convergence,count,integer <= R_completed,M2/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S8.2,UNAMBIGUOUS
R_valid,"Converged replications that additionally pass all validity checks (finite likelihood, valid transform, etc.) -- the metric-bearing denominator",count,integer <= R_converged,M2/M3,NUM-DEC-01 (R_metric terminology) / WAVE_2_PLANNING_INSTRUCTIONS.md S8.2,UNAMBIGUOUS -- equivalent to NUM-DEC-01's R_valid / R_metric
B,Number of parametric-bootstrap or bridge-sampling replicate draws,count (design parameter, NOT yet selected),integer,M2 (bootstrap null calibration) / M3 (bridge sampling),WAVE_2_PLANNING_INSTRUCTIONS.md S9.4/S11,OPEN_REQUIRES_ADJUDICATION -- candidate B not chosen in Wave 2 (Package D/F)
pi_1,"Prior model probability of M1, P(M1); primary value 0.5, mandatory sensitivity grid {0.25,0.5,0.75} (NUM-DEC-05)",parameter,probability in (0,1),M3,NUM-DEC-05,UNAMBIGUOUS
n_hat,Point estimate of n (unconstrained MLE or posterior summary depending on stage),derived quantity,dimensionless,M2/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S8.6,UNAMBIGUOUS
D(n),"Profile likelihood-ratio statistic, D(n) = 2[ell_p(n_hat) - ell_p(n)]",function,dimensionless,M2,WAVE_2_PLANNING_INSTRUCTIONS.md S8.6,UNAMBIGUOUS
C_{1-gamma},Profile-likelihood confidence set at level 1-gamma,set,n/a,M2,WAVE_2_PLANNING_INSTRUCTIONS.md S8.6,UNAMBIGUOUS
Lambda(Y),"Observed likelihood-ratio statistic for M2 exact-null test, 2[ell(theta1_hat) - ell(theta0_hat)]",derived quantity,dimensionless,M2,WAVE_2_PLANNING_INSTRUCTIONS.md S9.3 / NUM-DEC-03 (T_LR),UNAMBIGUOUS -- same object as NUM-DEC-03's T_LR, renamed Lambda(Y) in this instruction; both names refer to one statistic, cross-referenced explicitly in WAVE_2_MATHEMATICAL_CONTRACT.md S3
Z,"Marginal likelihood normalizing constant, p(Y|M_k) = integral q(theta) dtheta",derived quantity,probability-density units,M3,WAVE_2_PLANNING_INSTRUCTIONS.md S11,UNAMBIGUOUS
q(theta),"Unnormalized posterior target, p(Y|theta) p(theta)",function,n/a,M3,WAVE_2_PLANNING_INSTRUCTIONS.md S11,UNAMBIGUOUS
g(theta),Bridge-sampling proposal density,function (design choice not yet made),n/a,M3,WAVE_2_PLANNING_INSTRUCTIONS.md S11,OPEN_REQUIRES_ADJUDICATION -- Package F
h(theta),Bridge function used in the bridge-sampling identity,function (design choice not yet made),n/a,M3,WAVE_2_PLANNING_INSTRUCTIONS.md S11,OPEN_REQUIRES_ADJUDICATION -- Package F
p_t(theta|Y),"Power posterior at inverse temperature t, proportional to p(Y|theta)^t p(theta)",function,n/a,M3 (thermodynamic integration),WAVE_2_PLANNING_INSTRUCTIONS.md S12,UNAMBIGUOUS
Delta_BTI,"Bridge-vs-TI discrepancy metric, |log Z_bridge - log Z_TI|",derived quantity,log-probability units,M3,WAVE_2_PLANNING_INSTRUCTIONS.md S12,UNAMBIGUOUS -- escalation threshold OPEN_REQUIRES_ADJUDICATION
FSR_0(tau),"Null false-selection rate at candidate threshold tau, estimated under M0 simulations",derived quantity,proportion in [0,1],M3,WAVE_2_PLANNING_INSTRUCTIONS.md S16.3,UNAMBIGUOUS
DP_j(tau),"Detection probability at candidate threshold tau under alternative setting theta_j",derived quantity,proportion in [0,1],M3,WAVE_2_PLANNING_INSTRUCTIONS.md S16.4,UNAMBIGUOUS
tau_star,"Candidate constrained-rule threshold, inf{tau : FSR_0(tau) <= alpha_target} -- illustrative formula only, not a selected value",derived quantity (formula, not a value),dimensionless in [0,1],M3,WAVE_2_PLANNING_INSTRUCTIONS.md S16.5,OPEN_REQUIRES_ADJUDICATION -- never computed or fixed in Wave 2
alpha_target,Target null false-selection rate used to define tau_star,parameter (not yet selected),proportion in [0,1],M3,WAVE_2_PLANNING_INSTRUCTIONS.md S16.5,OPEN_REQUIRES_ADJUDICATION
epsilon_s,Score-check tolerance for the M0 gate,parameter (not yet selected),n/a,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.4,OPEN_REQUIRES_ADJUDICATION
E_sym,"Hessian symmetry error, ||H - H^T||_F / max(1, ||H||_F)",derived quantity,dimensionless,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.6,UNAMBIGUOUS -- acceptance tolerance OPEN_REQUIRES_ADJUDICATION
E_H,Relative Frobenius-norm discrepancy between candidate and reference Hessian,derived quantity,dimensionless,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.6,UNAMBIGUOUS -- acceptance tolerance OPEN_REQUIRES_ADJUDICATION
eta,Unconstrained transformed parameter vector (e.g. eta_mu = log mu),parameter vector,n/a,M0/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S7.7,OPEN_REQUIRES_ADJUDICATION -- exact transform set is a Package A decision
G(eta),"Jacobian of theta = g(eta) w.r.t. eta, used for delta-method covariance transformation",function (matrix-valued),n/a,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.7,UNAMBIGUOUS given a fixed transform choice
