gate_id,candidate_model,metric,threshold,direction,scenario_scope,provenance_class,source_or_rationale,failure_consequence,mandatory_advisory_status,notes
GATE-011,M1,normalized_absolute_bias_baseline_param,<= 0.25,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,theta0 (or the M0 baseline-rate equivalent).
GATE-012,M1,branching_ratio_absolute_bias,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,N/A for M0 (no branching ratio exists); recorded as such.
GATE-013,M1,branching_ratio_relative_bias,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"N/A for M0. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-014,M1,ci_coverage_95pct,between 0.925 and 0.975,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"Blueprint frozen hard gate This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies per-parameter (theta0, theta1, alpha/n, beta)."
GATE-015,M2,invalid_estimate_rate,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate (reused verbatim, not modified per Design doc sec5/sec6) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,Fraction of replicates where the optimizer/estimator fails to return a usable estimate at all.
GATE-016,M2,false_positive_excitation_rate,<= 0.05,lower_is_better,S1-equivalent synthetic cell: alpha_true = 0 (no real excitation present),RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"S1-equivalent cell: alpha_true=0, tests whether estimator spuriously finds excitation."
GATE-017,M2,absolute_relative_bias_excitation_params,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies to alpha/beta (M0/M1/M2/M4) or their n/beta reparameterization (Hawkes candidates); for M0 (no excitation term) this metric is N/A by construction, recorded as such, not scored. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-018,M2,normalized_absolute_bias_baseline_param,<= 0.25,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,theta0 (or the M0 baseline-rate equivalent).
GATE-019,M2,branching_ratio_absolute_bias,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,N/A for M0 (no branching ratio exists); recorded as such.
GATE-020,M2,branching_ratio_relative_bias,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"N/A for M0. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-021,M2,ci_coverage_95pct,between 0.925 and 0.975,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"Blueprint frozen hard gate This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies per-parameter (theta0, theta1, alpha/n, beta)."
GATE-022,M4,invalid_estimate_rate,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate (reused verbatim, not modified per Design doc sec5/sec6) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,Fraction of replicates where the optimizer/estimator fails to return a usable estimate at all.
GATE-023,M4,false_positive_excitation_rate,<= 0.05,lower_is_better,S1-equivalent synthetic cell: alpha_true = 0 (no real excitation present),RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"S1-equivalent cell: alpha_true=0, tests whether estimator spuriously finds excitation."
GATE-024,M4,absolute_relative_bias_excitation_params,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies to alpha/beta (M0/M1/M2/M4) or their n/beta reparameterization (Hawkes candidates); for M0 (no excitation term) this metric is N/A by construction, recorded as such, not scored. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-025,M4,normalized_absolute_bias_baseline_param,<= 0.25,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,theta0 (or the M0 baseline-rate equivalent).
GATE-026,M4,branching_ratio_absolute_bias,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,N/A for M0 (no branching ratio exists); recorded as such.
GATE-027,M4,branching_ratio_relative_bias,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"N/A for M0. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-028,M4,ci_coverage_95pct,between 0.925 and 0.975,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"Blueprint frozen hard gate This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies per-parameter (theta0, theta1, alpha/n, beta)."
GATE-029,M3,invalid_estimate_rate,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Reused frozen gate (fitting-failure rate is estimator-family-agnostic) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,MCMC non-convergence / divergent-transition rate counts as invalid for this purpose.
GATE-030,M3,false_positive_excitation_rate,<= 0.05,lower_is_better,S1-equivalent synthetic cell: alpha_true = 0 (no real excitation present),RESEARCHER_POLICY,"Reused frozen gate, reformulated as posterior-probability threshold No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,Posterior P(branching_ratio > 0 | data) > 0.95 on alpha_true=0 synthetic data counts as a false positive; rate of this across replicates must stay <=0.05.
GATE-031,M3,absolute_relative_bias_excitation_params,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Reused frozen gate, applied to posterior point estimate (posterior mean or median, prespecified) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"n (branching ratio, per Design doc sec5 parameterization) and beta. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-032,M3,normalized_absolute_bias_baseline_param,<= 0.25,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Reused frozen gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,theta0 posterior point estimate.
GATE-033,M3,branching_ratio_absolute_bias,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Reused frozen gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,
GATE-034,M3,branching_ratio_relative_bias,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Reused frozen gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY," EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
GATE-035,M3,credible_interval_coverage_95pct,between 0.925 and 0.975,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"Bayesian analogue of the frozen CI-coverage gate (same numeric target, different interval type) This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"95% posterior credible interval, per parameter."
GATE-036,M0,false_negative_excitation_rate,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- not in blueprint's original gate set (blueprint only specified S1's false-positive test); proposed by symmetry with the false-positive gate, at a looser threshold reflecting that failing to detect real excitation is a less severe error for this project's own stated maximum claim (whether excitation is 'still needed', a conservative/skeptical framing) than falsely finding it. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","N/A, not scored for this candidate (no such parameter/mechanism exists for M0).",ADVISORY,"N/A for M0 by construction (no excitation term, so no false-negative-excitation event is possible)."
GATE-037,M0,convergence_rate,>= 0.99,higher_is_better,all synthetic recovery cells for this candidate,COMPARATIVE_BENCHMARK,"Anchored to V1's own observed baseline (postmortem: 0.999-1.0 across all cells except the isolated S4-G1 crash) Threshold is defined relative to another candidate's or this project's own prior (V1) observed result, not an absolute external standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Distinct from invalid_estimate_rate: this tracks optimizer/sampler convergence specifically, not overall estimate validity."
GATE-038,M0,boundary_solution_rate,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- motivated directly by postmortem sec7's finding of recurring near-boundary beta_hat collapse across every stress cell (rate not previously gated, only observed); proposed threshold treats boundary collapse as a distinct failure mode from bias/coverage, since a biased-but-interior estimate and a boundary-pinned estimate have different diagnostic meanings. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"For M3, 'boundary' is reinterpreted as posterior mass concentrated at the prior's edge (n approaching 1, or beta approaching the prior's bounds) rather than an MLE boundary."
GATE-039,M0,held_out_predictive_score,must exceed M0's own held-out score at matched settings,relative_to_M0,all synthetic recovery cells for this candidate,COMPARATIVE_BENCHMARK,"NEW -- not present in V1's original recovery design at all (V1 used in-sample AIC/BIC only); proposed as a relative, not absolute, gate, since an absolute predictive-score threshold has no principled anchor without a reference model, whereas 'beats the no-excitation floor on held-out data' directly operationalizes whether the added complexity earns its cost. Threshold is defined relative to another candidate's or this project's own prior (V1) observed result, not an absolute external standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"Held-out = a temporal train/test split (e.g. final 20% of the observation window) within each synthetic replicate, not a real-data split (no real-data fitting is authorized by this design)."
GATE-040,M0,source_removal_stability,parameter estimate shift <= 0.20 (relative) under leave-one-source-out refit,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- directly motivated by root cause #5 (Phase B's 59.6% CD-dependency finding); no equivalent existed in V1's original gate set since V1's recovery study never modeled source structure at all. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,Requires the synthetic pipeline's Stage 2 (source-observation process) to tag events by synthetic source-of-origin; leave-one-(synthetic)-source-out refits are compared for parameter stability.
GATE-041,M0,episode_removal_stability,parameter estimate shift <= 0.20 (relative) under leave-one-episode-out refit,lower_is_better,episode-structured synthetic settings only; N/A under the flat/no-episode regime,RESEARCHER_POLICY,"NEW -- directly motivated by root cause #6 (Phase D's Sas-expedition 47.2%-of-pairs finding); requires Simulation Spec Stage 5 (parent-child episode structure) to be implemented first. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,N/A for any candidate/settings combination run under the flat (no-episode) synthetic regime; only meaningful when episode-structured data is used.
GATE-042,M0,calibration,PIT (probability integral transform) histogram or reliability curve within +/-0.05 of nominal across deciles,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"NEW -- standard point-process/count-model calibration diagnostic, not previously computed by V1's recovery study; threshold is a conventional calibration-adequacy band, not derived from this project's own prior numeric gates since none existed for this metric. This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"For M3 (Bayesian), use posterior-predictive calibration; for M0/M1/M2/M4 (frequentist), use a parametric-bootstrap or asymptotic-approximation PIT check."
GATE-043,M1,false_negative_excitation_rate,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- not in blueprint's original gate set (blueprint only specified S1's false-positive test); proposed by symmetry with the false-positive gate, at a looser threshold reflecting that failing to detect real excitation is a less severe error for this project's own stated maximum claim (whether excitation is 'still needed', a conservative/skeptical framing) than falsely finding it. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"CORRECTED 2026-08-29 (source CSV had this note copy-pasted from the M0 row across all candidates, incorrectly marking it N/A for M1-M4, which do have excitation terms): this gate IS applicable and scored for this candidate. Proposed by symmetry with the false-positive-excitation gate, at a looser threshold reflecting that failing to detect real excitation is judged a less severe error for this project's conservative/skeptical framing than falsely finding it."
GATE-044,M1,convergence_rate,>= 0.99,higher_is_better,all synthetic recovery cells for this candidate,COMPARATIVE_BENCHMARK,"Anchored to V1's own observed baseline (postmortem: 0.999-1.0 across all cells except the isolated S4-G1 crash) Threshold is defined relative to another candidate's or this project's own prior (V1) observed result, not an absolute external standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Distinct from invalid_estimate_rate: this tracks optimizer/sampler convergence specifically, not overall estimate validity."
GATE-045,M1,boundary_solution_rate,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- motivated directly by postmortem sec7's finding of recurring near-boundary beta_hat collapse across every stress cell (rate not previously gated, only observed); proposed threshold treats boundary collapse as a distinct failure mode from bias/coverage, since a biased-but-interior estimate and a boundary-pinned estimate have different diagnostic meanings. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"For M3, 'boundary' is reinterpreted as posterior mass concentrated at the prior's edge (n approaching 1, or beta approaching the prior's bounds) rather than an MLE boundary."
GATE-046,M1,held_out_predictive_score,must exceed M0's own held-out score at matched settings,relative_to_M0,all synthetic recovery cells for this candidate,COMPARATIVE_BENCHMARK,"NEW -- not present in V1's original recovery design at all (V1 used in-sample AIC/BIC only); proposed as a relative, not absolute, gate, since an absolute predictive-score threshold has no principled anchor without a reference model, whereas 'beats the no-excitation floor on held-out data' directly operationalizes whether the added complexity earns its cost. Threshold is defined relative to another candidate's or this project's own prior (V1) observed result, not an absolute external standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,"Held-out = a temporal train/test split (e.g. final 20% of the observation window) within each synthetic replicate, not a real-data split (no real-data fitting is authorized by this design)."
GATE-047,M1,source_removal_stability,parameter estimate shift <= 0.20 (relative) under leave-one-source-out refit,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"NEW -- directly motivated by root cause #5 (Phase B's 59.6% CD-dependency finding); no equivalent existed in V1's original gate set since V1's recovery study never modeled source structure at all. No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","Flagged for review and reported alongside the mandatory-gate result; non-blocking on its own, but factored into tie-breaking (Design doc Sec.7) and into the root-cause attribution for this candidate.",ADVISORY,Requires the synthetic pipeline's Stage 2 (source-observation process) to tag events by synthetic source-of-origin; leave-one-(synthetic)-source-out refits are compared for parameter stability.
