requirement_id,source_document,source_section,source_decision,model_stage,requirement_text,mathematical_object,formula_reference,parameter_or_estimand,implementation_component_future,validator_future,unit_test_future,simulation_test_future,acceptance_criterion_status,failure_classification,dependency_ids,downstream_impact,current_status,clarification_required
REQ-M2-006,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.5,frozen V2 spec,M2,RMSE_c(n_hat) defined as sqrt of mean squared error over valid fits,RMSE_c,S8.5 eq.20,n,future M2 RMSE module,reuses REQ-M2-005 validator infrastructure,unit test: RMSE on synthetic valid-fit set matches closed-form check,future M2 pilot computational check,OPEN_REQUIRES_ADJUDICATION (threshold),n/a,"REQ-M2-002,REQ-M2-003",REQ-M2-008,OPEN_REQUIRES_ADJUDICATION,acceptance threshold not set
REQ-M2-007,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.6,NUM-DEC-02,M2,"Profile log-likelihood ell_p(n)=sup_psi ell(n,psi); LR profile statistic D(n); confidence set C_1-gamma; 10 design sub-questions (grid, refinement, nuisance optimization, warm start, endpoint search, disconnected sets, boundary n=0, upper boundary, failure classification, interpolation, monotonicity) all open","ell_p(n), D(n), C_1-gamma",S8.6 eq.21-23,n,future profile-likelihood module,future profile-grid/endpoint validator,unit test: D(n_hat)=0; monotonic search sanity checks,future profile-likelihood pilot computational check (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,"PROFILE_OPTIMIZATION_FAILURE, PROFILE_ENDPOINT_FAILURE","REQ-M2-001,REQ-M0-006","REQ-M2-009 (coverage), REQ-M2-011 (exact-null LR test uses same theta1_hat machinery)",OPEN_REQUIRES_ADJUDICATION,"Package C -- 10 sub-decisions all open, none may be assumed without a future researcher decision"
REQ-M2-008,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.7,frozen V2 spec,M2,Coverage_c conditional on valid interval; CoverAndValid_c as an unconditional (attempted-denominator) alternative; no new primary metric without NUM-DEC/spec review,"Coverage_c, CoverAndValid_c",S8.7 eq.24-26,n,future coverage module,future denominator-consistency validator,unit test: Coverage vs CoverAndValid on synthetic set with induced invalid intervals,future M2 pilot computational check,OPEN_REQUIRES_ADJUDICATION (which is primary; threshold band),n/a,"REQ-M2-007,REQ-M2-003",REQ-M2-012 (MCSE),OPEN_REQUIRES_ADJUDICATION,"target coverage band referenced elsewhere as 0.925-0.975 (prior NUM-DEC-02 context) but not restated as frozen in this instruction -- flagged for cross-check, not assumed here"
REQ-M2-009,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.8,frozen V2 spec,M2,"MCSE(p_hat)=sqrt(p_hat(1-p_hat)/R); illustrative R=1000,p=0.95 example is NOT an approved acceptance band",MCSE(p_hat),S8.8 eq.27,n/a,future MCSE reporting module,future illustrative-vs-adopted-value validator (flags any code that treats the 0.0069 example as a threshold),"unit test: MCSE formula matches closed form on synthetic p_hat,R",N/A,RESOLVED_BY_FROZEN_SPEC (formula) / NONBLOCKING_CLARIFICATION (example not a threshold),n/a,REQ-M2-008,all M2 proportion-metric reporting,RESOLVED_BY_FROZEN_SPEC,
REQ-M2-010,WAVE_2_PLANNING_INSTRUCTIONS.md,S9.1-9.2 (as instantiated for M2 exact null),NUM-DEC-03,M2,"Exact null H0:n=0 (=> alpha=0, lambda_0(t)=mu) as an explicit nested null submodel; near-null substitutes (n=epsilon) prohibited","H0, H1, lambda_0(t)",S9.1-9.2,n,future M2 null-submodel module,future exact-null representability validator (rejects epsilon-clipping),unit test: null submodel produces lambda_0(t)=mu exactly for synthetic theta,N/A,RESOLVED_BY_FROZEN_SPEC,INVALID_PARAMETER_TRANSFORM (if epsilon-substitution detected),REQ-M0-006,"REQ-M2-011 (LR statistic), REQ-M3-001 (parallel M3 exact-null requirement)",RESOLVED_BY_FROZEN_SPEC,
REQ-M2-011,WAVE_2_PLANNING_INSTRUCTIONS.md,S9.3-9.4,NUM-DEC-03,M2,"LR statistic Lambda(Y)=2[ell(theta1_hat)-ell(theta0_hat)]; boundary null forbids automatic chi-square reference; parametric-bootstrap calibration (Y*(b)~p(Y|theta0_hat,H0), refit both models, bootstrap p-value) required; 11 sub-decisions open (B, target MCSE, seed hierarchy, failed-fit policy, denominator policy, adaptive extension, critical-value estimation, exact-null generation contract, nonfinite/negative-LR treatment, calibration-validity acceptance criteria)","Lambda(Y), Y*(b), p_hat_boot",S9.3-9.4 eq.28-31,n,future M2 exact-null bootstrap-calibration module,future bootstrap-calibration validator,unit test: bootstrap p-value formula on synthetic Lambda*(b) set,future M2 exact-null bootstrap pilot computational check (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,"BOOTSTRAP_GENERATION_FAILURE, BOOTSTRAP_NULL_FIT_FAILURE, BOOTSTRAP_ALTERNATIVE_FIT_FAILURE, LIKELIHOOD_RATIO_INVALID","REQ-M2-010,REQ-M2-007",REQ-M2-012 (exact-null gate consequence),OPEN_REQUIRES_ADJUDICATION,"Package D -- all 11 sub-decisions open, matches NUM-DEC-03's own unresolved items (c_0.05 not computed)"
REQ-M2-012,WAVE_2_PLANNING_INSTRUCTIONS.md,NUM-DEC-01/02/03 composite,"NUM-DEC-01,02,03",M2,"M2 future gate consequence: exact-null test precedes excitation-existence decision, which precedes profile-likelihood magnitude uncertainty (required order)",n/a (governance rule),n/a (NUM-DEC-03 S15 required order),n/a,future M2 gate-sequencing module,future ordering validator (rejects magnitude CI computed before existence decided),unit test: sequencing validator on synthetic pipeline call order,N/A,RESOLVED_BY_FROZEN_SPEC,n/a,"REQ-M2-007,REQ-M2-011",M2 acceptance-criterion registry (WAVE_2_MATHEMATICAL_CONTRACT.md S6),RESOLVED_BY_FROZEN_SPEC,
REQ-M3-001,WAVE_2_PLANNING_INSTRUCTIONS.md,S9.1-9.2 (M3 instance),NUM-DEC-03 (M2 precedent) + M3 spec,M3,"M3 exact null M0:n=0 (alpha=0, lambda_0(t)=mu) as nested submodel; alternative M1:0<n<1; near-null substitutes prohibited (same principle as REQ-M2-010, independently required per M3's own spec, not automatically inherited per NUM-DEC-03 S13 non-transfer note)","M0(model), M1(model), lambda_0(t)",S9.1-9.2,n,future M3 null/alternative submodel module,future exact-null representability validator (M3 variant),unit test: M3 null submodel produces lambda_0(t)=mu exactly,N/A,"OPEN_REQUIRES_ADJUDICATION (M3-BLOCK-01 unresolved: n clamped to [EPS,1-EPS], n=0 currently unreachable)",INVALID_PARAMETER_TRANSFORM,REQ-M0-006,REQ-M3-002 through REQ-M3-015 (all depend on a working exact-null submodel),OPEN_REQUIRES_ADJUDICATION,"blocked by M3-BLOCK-01 (see WAVE_2_M3_BLOCKER_CLOSURE_PROTOCOL.md); status remains OPEN, not closed by this planning wave"
REQ-M3-002,WAVE_2_PLANNING_INSTRUCTIONS.md,S10.1,NUM-DEC-05,M3,"Primary model prior odds P(M0)=P(M1)=0.5; mandatory sensitivity grid {null-favoring 0.75/0.25, equal 0.5/0.5, excitation-favoring 0.25/0.75}","pi_1, P(M0), P(M1)","S10.1, S10.4",n/a,future M3 prior-odds configuration module,"future prior-odds validity validator (0<P(M0)<1, sums to 1, matches 3-scenario grid)",unit test: prior-odds config rejects a 4th scenario or a non-summing pair,N/A,RESOLVED_BY_FROZEN_SPEC,n/a,,REQ-M3-005 (P(M1|Y) formula),RESOLVED_BY_FROZEN_SPEC,
REQ-M3-003,WAVE_2_PLANNING_INSTRUCTIONS.md,S10.2,frozen V2 spec,M3,"Marginal likelihood p(Y|M_k) = integral p(Y|theta_k,M_k) p(theta_k|M_k) dtheta_k for each model",p(Y|M_k),S10.2 eq.32,n/a,"future marginal-likelihood computation module (bridge sampling / TI, see REQ-M3-009/012)",future proper-prior validator (rejects improper prior for ML computation),unit test: ML formula structure check on synthetic toy model with known closed-form Z,future marginal-likelihood pilot computational check (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,n/a,REQ-M3-006,REQ-M3-004 (Bayes factor),OPEN_REQUIRES_ADJUDICATION,depends on M3-BLOCK-02 (prior normalization constants) and M3-BLOCK-06 (internal priors not yet frozen)
REQ-M3-004,WAVE_2_PLANNING_INSTRUCTIONS.md,S10.3,NUM-DEC-06,M3,"Bayes factor BF_10=p(Y|M1)/p(Y|M0); posterior odds = BF_10 * prior odds; with equal odds, posterior odds = BF_10",BF_10,S10.3 eq.33-35,n/a,future model-comparison module,future BF-computation validator,"unit test: BF_10 formula on synthetic p(Y|M1),p(Y|M0) pair",N/A,RESOLVED_BY_FROZEN_SPEC (formula) / OPEN (numeric value never computed here),MARGINAL_LIKELIHOOD_DISAGREEMENT,REQ-M3-003,REQ-M3-005,RESOLVED_BY_FROZEN_SPEC,
REQ-M3-005,WAVE_2_PLANNING_INSTRUCTIONS.md,S10.3,NUM-DEC-05/06,M3,"Primary decision quantity P(M1|Y) = BF_10*P(M1) / (BF_10*P(M1)+P(M0)); with equal priors, P(M1|Y)=BF_10/(1+BF_10); formula is contract only, never computed against historical data in Wave 2",P(M1|Y),S10.3 eq.36-37,n/a,future posterior-model-probability module,future formula-vs-implementation equivalence validator,unit test: formula matches closed form on synthetic BF_10 values,N/A,RESOLVED_BY_FROZEN_SPEC (formula),POSTERIOR_DIAGNOSTIC_FAILURE (if inputs invalid),"REQ-M3-002,REQ-M3-004",REQ-M3-013 (tau decision rule),RESOLVED_BY_FROZEN_SPEC,explicit prohibition: must not be computed from historical data during Wave 2 (S10.3)
REQ-M3-006,WAVE_2_PLANNING_INSTRUCTIONS.md,S10.4-10.5,frozen V2 spec,M3,"Mandatory sensitivity grid over pi_1; prior contract for p(mu|M_k), p(beta|M1), p(n|M1): proper, domain-consistent, not computation-convenience-driven, prior-predictive documented, sensitivity prespecified, transform+Jacobian explicit, bridge-sampling compatibility checked, cross-model consistency where shared","pi_1, p(mu|M_k), p(beta|M1), p(n|M1)",S10.4-10.5 eq.38-39,"mu, beta, n",future M3 prior-specification module,future prior-properness/support validator,unit test: prior config rejects an improper or wrong-support prior,N/A,OPEN_REQUIRES_ADJUDICATION,n/a,REQ-M3-002,"REQ-M3-003,REQ-M3-009 (bridge sampling needs proper priors)",OPEN_REQUIRES_ADJUDICATION,final prior selection explicitly deferred to open-decision ledger pending NUM-DEC-derived basis (S10.5); blocked in part by M3-BLOCK-06
REQ-M3-007,WAVE_2_PLANNING_INSTRUCTIONS.md,S16.2,NUM-DEC-04,M3,"Decision rule: select M1 if P(M1|Y)>=tau; equivalent BF_10 >= tau/(1-tau) * P(M0)/P(M1), simplifying to BF_10>=tau/(1-tau) under equal odds; illustrative tau=0.90/0.95 examples are NOT selected values","tau, BF_10 threshold",S16.2 eq.40-42,n/a,future decision-rule module,future procedure-vs-value validator (Wave 1 pattern: rejects any code path that treats a specific tau as final),"unit test: decision rule structure check on synthetic P(M1|Y),tau pairs; illustrative-example detector",N/A,PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,TAU_CALIBRATION_UNRESOLVED,REQ-M3-005,"REQ-M3-013,REQ-M3-014,REQ-M3-015 (tau calibration procedure)",PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,
REQ-M3-008,WAVE_2_PLANNING_INSTRUCTIONS.md,S9.1 cross-ref / S17,NUM-DEC-07,M3,"ROPE (0<n<=epsilon_n) is deferred; must not replace exact-null test, must not be treated as tau's substitute, must not be assumed permanently unnecessary",epsilon_n,S17,n (magnitude conditional on M1),N/A (no future component authorized),future ROPE-absence validator (confirms M3 pipeline runs without a ROPE gate active),unit test: pipeline completes with ROPE gate disabled,N/A,DEFERRED_BY_NUM_DEC_07,n/a,"REQ-M3-001,REQ-M3-007","conditional-magnitude reporting under M1 (still required, distinct from ROPE)",DEFERRED_BY_NUM_DEC_07,"must remain DEFERRED, not RESOLVED, in the open-decision ledger"
REQ-M3-009,WAVE_2_PLANNING_INSTRUCTIONS.md,S11,NUM-DEC-06,M3,"Bridge sampling as primary marginal-likelihood method; identity Z=E_g[h(theta)q(theta)]/E_p[h(theta)g(theta)]; 15 design sub-decisions open (sampling space, transform+Jacobian, proposal g, bridge function h, posterior/proposal draw counts, chain inclusion rules, convergence diagnostics, ESS requirements, repeated-run stability, overflow/underflow safeguards, log-scale computation, failure taxonomy, uncertainty estimate, reproducibility)","Z, q(theta), g(theta), h(theta)",S11 eq.43-44,n/a,future bridge-sampling module,future bridge-sampling design-completeness validator,unit test: identity check on synthetic toy posterior with known Z,future bridge-sampling pilot computational check (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,BRIDGE_SAMPLING_FAILURE,"REQ-M3-003,REQ-M3-006,REQ-M0-006",REQ-M3-004 (Bayes factor input),OPEN_REQUIRES_ADJUDICATION,"Package F; blocked by M3-BLOCK-02,03,04,06 -- none closed by this planning wave"
REQ-M3-010,WAVE_2_PLANNING_INSTRUCTIONS.md,S12,NUM-DEC-06,M3,"Thermodynamic integration as secondary validation method on a prespecified subset; power posterior p_t; log p(Y)=integral_0^1 E_t[log p(Y|theta)] dt; 10 design sub-decisions open (temperature ladder, count, spacing near t=0, integration rule, MC error, per-temperature diagnostics, repeated-run stability, discrepancy interpretation, escalation rule, threshold status)","p_t(theta|Y), log p(Y)",S12 eq.45-46,n/a,future TI module,future TI design-completeness validator,unit test: TI integral formula on synthetic toy model with known log p(Y),future TI pilot computational check on the prespecified validation subset (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,THERMODYNAMIC_INTEGRATION_FAILURE,REQ-M3-009,REQ-M3-011 (discrepancy metric),OPEN_REQUIRES_ADJUDICATION,no arbitrary escalation threshold permitted (S12); blocked by M3-BLOCK-05
REQ-M3-011,WAVE_2_PLANNING_INSTRUCTIONS.md,S12,NUM-DEC-06,M3,Bridge-vs-TI discrepancy metric Delta_BTI=|log Z_bridge - log Z_TI|; escalation rule if disagreement is material -> MODEL_COMPARISON_NUMERICALLY_UNRESOLVED; no threshold predetermined,Delta_BTI,S12 eq.47,n/a,future method-agreement module,future disagreement-escalation validator,unit test: escalation triggers above an as-yet-unset threshold placeholder,N/A,OPEN_REQUIRES_ADJUDICATION,MARGINAL_LIKELIHOOD_DISAGREEMENT,"REQ-M3-009,REQ-M3-010",REQ-M3-004 (Bayes factor validity gate),OPEN_REQUIRES_ADJUDICATION,threshold explicitly not chosen (matches NUM-DEC-06's BRIDGE_TI_AGREEMENT_TOLERANCE=REQUIRES_PREIMPLEMENTATION_DECISION)
REQ-M3-012,WAVE_2_PLANNING_INSTRUCTIONS.md,S13.1-13.2,frozen V2 spec,M3 (and M2),"Candidate simulation-recovery factors (mu,n,beta,T,N,initial condition,observation-window regime); mandatory regimes exact-null/near-null/moderate/near-critical; E[lambda]=mu/(1-n) motivates near-critical resource guardrails","n regimes, E[lambda]",S13.1-13.2 eq.48,"mu, n, beta, T, N",future simulation-design module,future regime-coverage validator (rejects a design missing a mandatory regime),unit test: regime set includes all 4 mandatory categories,future simulation-recovery smoke test (NOT full run),OPEN_REQUIRES_ADJUDICATION,EXPLOSION_OR_EVENT_CAP_FAILURE,"REQ-M2-010,REQ-M3-001",WAVE_2_SIMULATION_AND_COVERAGE_PLAN.md full cell design,OPEN_REQUIRES_ADJUDICATION,full Cartesian product explicitly prohibited; every cell must have scientific justification (S13.1)
REQ-M3-013,WAVE_2_PLANNING_INSTRUCTIONS.md,S16.3-16.4,frozen V2 spec,M3,"Null false-selection rate FSR_0(tau) and detection probability DP_j(tau) as functions of candidate tau, to be estimated under future synthetic calibration, never against historical data","FSR_0(tau), DP_j(tau)",S16.3-16.4 eq.49-50,n/a,future tau-calibration evaluation module,future FSR/DP formula validator,unit test: FSR_0/DP_j formulas on synthetic indicator arrays,future tau-calibration pilot computational check (NOT executed in Wave 2),OPEN_REQUIRES_ADJUDICATION,TAU_CALIBRATION_UNRESOLVED,"REQ-M3-007,REQ-M3-005",REQ-M3-014 (candidate constrained rule),OPEN_REQUIRES_ADJUDICATION,
REQ-M3-014,WAVE_2_PLANNING_INSTRUCTIONS.md,S16.5,frozen V2 spec,M3,"Candidate constrained rule tau*=inf{tau:FSR_0(tau)<=alpha_target} presented as a formula only; alpha_target, candidate tau grid, alternative grid, prior-odds sensitivity grid, MC precision target, replication count, failure handling, objective function, tie-breaking rule, stability criterion, independent confirmation method all open; no final value selected","tau_star, alpha_target",S16.5 eq.51,n/a,future tau-selection procedure module,future no-final-value-selected validator (Wave 1 pattern extension),"unit test: tau_star formula computed symbolically, never bound to a literal in test fixtures",N/A,OPEN_REQUIRES_ADJUDICATION,TAU_CALIBRATION_UNRESOLVED,REQ-M3-013,(terminal in the tau chain; feeds future NUM-DEC-04 follow-on adjudication only),OPEN_REQUIRES_ADJUDICATION,Package G; 11 sub-decisions all open per S16.5
REQ-M3-015,WAVE_2_PLANNING_INSTRUCTIONS.md,S13.4,frozen V2 spec,M2 and M3,"Deterministic seed hierarchy s_{c,r,m}=f(s_master,c,r,m) for cell/replication/method; function f not chosen without evaluating collision resistance, reproducibility, independence","s_{c,r,m}",S13.4 eq.52,n/a,future seed-manifest module,future collision-resistance validator,"unit test: seed derivation collision test on large synthetic (c,r,m) grid",N/A,OPEN_REQUIRES_ADJUDICATION,n/a,"REQ-M2-002,REQ-M3-009,REQ-M3-010",WAVE_2_EXECUTION_MANIFEST_AND_STOP_RULES.md manifest schema,OPEN_REQUIRES_ADJUDICATION,
REQ-CROSS-001,WAVE_2_PLANNING_INSTRUCTIONS.md,S15 (M3 blockers),NUM-DEC-04/06/08 + Wave 1 registry,M3,All 8 confirmed M3 implementation blockers (M3-BLOCK-01..08) must remain OPEN with a documented closure protocol; no blocker may be closed by this or any planning wave,n/a,n/a,n/a,"N/A (closure requires future implementation + independent review, not planning)","Wave 1 applicability_validator.get_m3_blockers() (already implemented, immutable)",existing Wave 1 unit tests (25/25) already assert blocker-registry immutability,N/A,"OPEN (all 8, by design)",n/a,"REQ-M3-001,REQ-M3-003,REQ-M3-006,REQ-M3-009,REQ-M3-010",every M3 requirement above (REQ-M3-001 through REQ-M3-015) is gated by at least one blocker,OPEN,see WAVE_2_M3_BLOCKER_CLOSURE_PROTOCOL.md for the full 14-field protocol per blocker
REQ-CROSS-002,WAVE_2_PLANNING_INSTRUCTIONS.md,S5 (work order) / S23 (stop conditions),this instruction,ALL,Wave 2 stages W2-P0 through W2-P9 must execute in strict order; a stage may not draft decisions downstream of an unresolved blocker in an earlier stage,n/a,n/a,n/a,"N/A (process rule, not a model component)",this planning wave's own W2-P9 audit (WAVE_2_CROSS_DOCUMENT_CONSISTENCY_AUDIT.md),N/A,N/A,RESOLVED_BY_FROZEN_SPEC,n/a,,governs the ordering of every other requirement in this matrix,RESOLVED_BY_FROZEN_SPEC,
