linimasa_event_id,event_date_raw,year,title,classification,citation_from_text_asli,rationale,classifier_confidence,researcher_review_required,m4_eligibility_class
row_43,25 Juli 1667,1667,Sillida & Pulau Cingkuak diserahkan ke VOC,EXACT_EVENT_DATE,"""Translaat opdragt van de negorije Sillida...""","Formal deed of transfer, CD traktat CCCXVI; standard treaty-dated pattern for the transfer act itself.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_44,29 April 1668,1668,"Barus resmi lepas dari Aceh, sekutu Minangkabau-VOC",EXACT_EVENT_DATE,"""Accoort en eeuwigh verbont, gemaackt...""",CD traktat CCCXIX formalizing Barus's separation from Aceh; treaty conclusion date.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_46,14 Juli 1668,1668,VOC hadiahkan bendera ke orangkaya Pere,DOCUMENT_DATE,"""Tot dien einde soo hebben hem, orangkaij Pere... vereert...""",Gift-giving record; no explicit dateline visible in the excerpt confirming this is the exact gift-giving day rather than the document's own date.,LOW,TRUE,NOT_APPLICABLE_NON_EXACT
row_48,1 Agustus 1671,1671,Padang serahkan sukarela tol 10% (dulu milik Aceh) ke VOC,EXACT_EVENT_DATE,"""Vrywillige opdragt, gedaan by de algemeene regenten tot Padang...""","CD traktat CCCXXX; formal voluntary-transfer deed, deed date = transfer event date.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_49,8 & 10 September 1671,1671,Pembaruan tata kelola Padang pasca-lepas Aceh,MULTIPLE_DATES_AMBIGUOUS,"event_date_raw itself: ""8 & 10 September 1671""","Two dates joined by ""&""; excerpt does not disambiguate which date the cited articles belong to.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_50,6 Desember 1671,1671,"Priaman resmi lepas dari Aceh, formula bagi-hasil tol",EXACT_EVENT_DATE,"""Nader articulen en poincten...""",CD traktat CCCXXXIII finalizing Priaman's separation from Aceh; treaty conclusion date.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_51,8 September 1671,1671,Koto Tangah traktat baru pasca pemberontakan 1670,DATE_RANGE_BOUNDARY,"own notes: ""Tanggal cocok dgn Corpus Diplomaticum CCCXXXI... '8-10 September 1671'""","Secondary source (Padang Abad XVII-XVIII) narrates a single day (8 Sep), but the row's own notes flag that the Corpus Diplomaticum bibliographic listing gives this as a range (""8-10 September 1671"") and the treaty text itself is explicitly ""BELUM diverifikasi"" (not yet verified) -- the single-day reading may be a range boundary.",MEDIUM,TRUE,NOT_APPLICABLE_NON_EXACT
row_52,19 Maret 1672,1672,Cinkel (Singkil) gabung aliansi anti-Aceh,EXACT_EVENT_DATE,"""Articulen van verbond, gesloten ende gemaakt...""",CD traktat CCCXXXVI (Cinkel/Singkil alliance); standard treaty-dated pattern.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_53,5 Januari 1673,1673,Penyelesaian sengketa internal dua radja Barus,EXACT_EVENT_DATE,"""Naerder byvoegsel tot het vorenstaende contract...""","Dated addendum (""byvoegsel"") to the 1670 base treaty; addendum's own signing date.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_54,22 September 1678,1678,"Priaman lepas lagi ke faksi Aceh, lalu diperbarui aliansi VOC",EXACT_EVENT_DATE,"""in 1678 sloot de meerderheid der Priamanse regenten...""","QA pass (full text): reclassified from CANNOT_DETERMINE. Full text_asli is treaty preamble language ('Nader articulen van een eeuwig verbond...') for a CD-numbered document (traktat CDXXI, per notes), structurally identical to the ~54 other CD-treaty rows this audit classifies EXACT_EVENT_DATE/MEDIUM on genre-inference grounds (standard treaty-dated-by-conclusion convention, no explicit day-marker visible in the excerpt). The original fork classified this one CANNOT_DETERMINE while classifying peer rows (e.g. row_5, row_14, row_15) MEDIUM under the identical evidentiary pattern -- corrected for internal consistency. This still rests on the same genre-inference standard used for the other 54 rows, not on a directly-visible dateline; the underlying CD3 p.171 document was not independently re-read to confirm 22 September as its own stated date.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_55,18 April 1679,1679,Bajang tunduk pasca-perang tambang emas dengan Sillida,EXACT_EVENT_DATE,"""Articulen, waerop de vrede aan de Bajangers staat geaccordeert...""","CD traktat CDXXVI; peace-terms document, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_56,20 November 1679,1679,"Baros perbarui traktat 1668, 1670, 1673",EXACT_EVENT_DATE,"""Vernieuwinge soo van 't eerste, twede, als derde vredeverbond...""","CD traktat CDXXXII; renewal document, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_57,24 Juli - 8 Agustus 1680,1680,"Paoeh dan Kotta-tengah tunduk, dibebaskan dari kuk kekerasan Aceh",DATE_RANGE_BOUNDARY,"event_date_raw itself: ""24 Juli - 8 Agustus 1680""","Row's own raw date field is an explicit day-to-day range spanning two months; ""8 Agustus 1680"" is only the range's closing boundary, not a standalone precise date.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_58,29 Agustus 1680,1680,Aliansi umum seluruh pantai barat: Seblat sampai Air Bangis bersatu di bawah VOC,EXACT_EVENT_DATE,"""Nader verband met de algemene hooftregenten...""","CD traktat CDXXXIX, the general westkust-wide alliance; major CD-numbered treaty, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_59,10 Juni 1681,1681,"Traktat Barus: serahkan senjata sisa ""mahkota Aetehe""",EXACT_EVENT_DATE,"""Radja d'Ouloe dan Radja d'Ileir... akan menyerahkan...""","Barus weapon-surrender treaty; this row is the primary treaty/deed later cross-referenced by idx42 as ""dicatat ulang"" (re-recorded), confirming 1681 is this document's own contemporaneous date.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_60,1 Januari 1681,1681,"Barus resmi lepas total dari mahkota Aceh, serahkan senjata",EXACT_EVENT_DATE,"""radja d'Ileer ende de syne, sig hebbende] verootmoedigt...""","New Year's Day contract; Barus's total submission oath, CD traktat CDXLII.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_61,27 Januari - 31 Maret 1681,1681,"Ampliatie: radja Ilir ketahuan sembunyikan agen Aceh, ditahan, wafat",DATE_RANGE_BOUNDARY,"event_date_raw itself: ""27 Januari - 31 Maret 1681""","Row's own raw date field is an explicit range spanning two months; ""31 Maret 1681"" is only the closing boundary.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_62,12 Februari 1681,1681,"Singkil perbarui lepas dari Aceh, radja pro-Aceh diusir & rumahnya dibakar",EXACT_EVENT_DATE,"""Dat de regenten van Sinkei gesamentlijk... opnieuw afsweren de kroon Aetchin...""","CD traktat CDXLV; treaty renewal document, standard pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_63,27 Februari 1681,1681,Batas presisi tambang emas Sillida & Pulau Cingkuak dikonfirmasi ulang,EXACT_EVENT_DATE,"""Nader acte van opdragt... werd geconfirmeert, bevestigt ende vernieuwt.""",CD traktat CDXLVI; this act's own reconfirmation event is distinct from (and postdates) the 1667 original transfer it references.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_64,10 Maret 1681,1681,Painan diserahkan ke VOC untuk akses jalur tambang,EXACT_EVENT_DATE,"""Acte van opdragt en overgivte van de negorye...""","CD traktat CDXLVII; formal transfer deed, standard pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_65,17 Maret 1682,1682,"Priaman kembali tunduk usai gejolak baru, radja Ebrahim dinyatakan musuh",EXACT_EVENT_DATE,"""beloven ende sweren voortaen niet sullen vermogen...""","CD traktat CDLIX; oath/treaty text, standard pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_66,5 Juli 1682,1682,"Kotta-tengah minta ampun, diterima kembali",EXACT_EVENT_DATE,"""De thien geslagten van Cotatenga komen haar voor d'E. Comp[agnie] te verootmoedigen...""",CD traktat CDLXIII; submission document recording the act described.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_69,30 November - 2 Desember 1685,1685,Sepuluh Pelabuhan (selatan Painan) resmi gabung aliansi umum 1680,DATE_RANGE_BOUNDARY,"event_date_raw itself: ""30 November - 2 Desember 1685""",Row's own raw date field is an explicit range spanning two days across a month boundary.,HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_71,23 Januari 1687,1687,Pangeran Minangkabau batalkan konsesi tanah Inggris di Painan,EXACT_EVENT_DATE,"""revoceren, annulleren, doden, ende doen sy, vorsten...""","CD traktat CDXCVII; formal revocation declaration, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_72,23 Januari 1689,1689,Radja Ibrahim (mantan pemberontak Priaman) diampuni ulang,EXACT_EVENT_DATE,"""Ick, ondergeschrevene, beloven en sweeren...""","CD document DXIII; personal oath, standard dated-instrument pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_73,18 Oktober 1690,1690,"Penerus baru radja d'Ilhier Barus angkat sumpah, tegaskan ulang traktat 1681",EXACT_EVENT_DATE,"""Acte en Eet van getrouheyt, ge- en beswooren...""","CD document DXXXII; oath of allegiance act, standard dated-instrument pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_74,22 Januari 1693,1693,"Air Bangis diserang lorrendraeyer Aceh, VOC rebut & ikat aliansi",EXACT_EVENT_DATE,"own notes: ""lalu ikat traktat"" (treaty concluded after the raid)","CD traktat DXLV; treaty following the Air Bangis raid, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_75,29 Januari 1693,1693,"Batahan tunduk, wajib kelola ulang pohon kemenyan demi kualitas",INFERRED_DATE,"""Sehari setelah Air Bangis, Sas ikat traktat...""","QA pass (full text): reclassified from EXACT_EVENT_DATE/HIGH to INFERRED_DATE. The row's own date is not stated in row_75's own text_asli at all -- it is calculated relationally, per the row's notes: 'Sehari setelah Air Bangis, Sas ikat traktat...' ('One day after Air Bangis, Sas concluded a treaty...'), matching the taxonomy's own INFERRED_DATE definition (day-level precision calculated from a reference point, not directly read) -- the same class as row_118's 'hari setelah' pattern. QA further flags an unresolved arithmetic inconsistency: the referenced 'Air Bangis' anchor is most plausibly row_74 (22 Januari 1693, Air Bangis) elsewhere in this ledger, but 22 Jan + 1 day = 23 Jan, not 29 Jan as this row's own event_date_raw states -- a 6-day discrepancy. This may mean 'Air Bangis' in this row's notes refers to a different, untracked treaty/event at Air Bangis (e.g. a later, second Sas visit) rather than row_74, or may reflect an error in the day-after claim. Neither this audit nor the original fork independently re-read the underlying CD4 traktat DXLVI text to resolve this -- flagged for future source review, not resolved here.",MEDIUM,TRUE,NOT_APPLICABLE_NON_EXACT
row_76,23 Maret 1693,1693,"Ekspedisi Sas serbu benteng Aceh di Nias (Gido), tundukkan Sillibo",DOCUMENT_DATE,"""Den 15den Maart viel hij een zeer versterkten pagger der Atjehers te Gido aan...""","IMPORTANT MISMATCH: text_asli explicitly narrates the military attack as occurring ""Den 15den Maart"" (15 March), a DIFFERENT day from the row's own event_date_raw (23 Maart) -- 23 Maart is the treaty/document date with Sillibo, not the attack's own date. Exactly the kind of event-date vs. document-date confusion Guard A exists to catch.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_77,31 Maret 1693,1693,VOC tengahi damai internal Kolang-Sorkam,EXACT_EVENT_DATE,"""Dat Radja Goenong en zijn broeder, Radja Mainiatay...""","CD traktat DL; mediated settlement, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_78,3 April 1693,1693,Nay & Lambara (Nias) ikat aliansi anti-Aceh,EXACT_EVENT_DATE,"""Het volgende contract sloot Sas af met de Zuidelijker...""","CD traktat DLI; part of the Sas Nias expedition series, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_79,15 April 1693,1693,Malakerre & Telok Dalam (Nias) ikat aliansi anti-Aceh,EXACT_EVENT_DATE,"""sloot Sas 15 April een soortgelijk contract...""","Explicit narration: ""Sas concluded... on 15 April"".",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_80,26 April 1693,1693,"Hinako-Maros perbarui traktat 1669 yg hilang, sumpah ulang lepas Aceh",EXACT_EVENT_DATE,"""hernieuwde den 26en April het oude contract...""","Explicit narration: ""renewed on the 26th of April the old contract"".",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_81,2 Mei 1693,1693,Lahomi & Laoesa (Nias) ikat aliansi anti-Aceh,EXACT_EVENT_DATE,"""Van de Hinako-eilanden stak Sas over naar de kust van Nias...""","CD traktat DLIV; part of the Sas Nias expedition series, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_82,3 Mei 1693,1693,Gunung Jarroe (Nias) ikat aliansi anti-Aceh,EXACT_EVENT_DATE,"""sloot Sas een dag later nog een overeenkomst...""","QA pass (full text): confidence downgraded from HIGH to MEDIUM. This row's own date (3 Mei 1693) is stated relationally in its own text -- 'sloot Sas een dag later nog een overeenkomst' ('Sas concluded another agreement a day later') -- relative to row_81's own date (2 Mei 1693). Row_81 itself carries only MEDIUM confidence (genre-inference; explicit dateline not directly visible in its own excerpt), so a date chained one day after a MEDIUM-confidence anchor cannot itself be HIGH confidence -- the uncertainty of the anchor propagates forward. Distinguished from row_83 (same date, 3 Mei), which independently and directly states 'Op denzelfden 3den Mei' in its own text and correctly remains HIGH -- row_83's confidence is self-contained, not chained through row_81.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_83,3 Mei 1693,1693,"Gomboe (Nias) ikat aliansi anti-Aceh, tutup rangkaian ekspedisi Sas",EXACT_EVENT_DATE,"""Op denzelfden 3den Mei en terzelfder plaatse sloot Sas...""","Explicit narration: ""On that same 3rd of May and at the same place, Sas concluded..."".",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_84,12 Maret - 5 April 1694,1694,Baros direstrukturisasi total pasca-pembunuhan pegawai VOC,DATE_RANGE_BOUNDARY,"event_date_raw itself: ""12 Maret - 5 April 1694""","Row's own raw date field is an explicit range spanning two months; the trailing ""5 April 1694"" is the range's closing boundary.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_85,5 April 1694,1694,Batak Dairi berjanji jual kemenyan/kapur barus eksklusif ke Baros,EXACT_EVENT_DATE,"own notes cross-reference to idx84: ""+ Nadere byvoeginge (5 Apr 1694)""","Cross-referenced as a genuine dated addendum (""Nadere byvoeginge"") to the same restructuring document, distinct standalone agreement with the Batak Dairi.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_86,19 Juni 1698,1698,Padang & Sillida lepas hak pungut salimoet demi harga peper naik,EXACT_EVENT_DATE,"""de wettelycke regenten van Padangh en Sillida...""","CD traktat DXCVIII; formal rights-relinquishment document, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_87,1 Oktober 1698,1698,Radja Minuassa diangkat jadi penengah resmi Batak Dairi,EXACT_EVENT_DATE,"""besloten de gemelte raad...""","CD document DC; council resolution, decision date = event date pattern (cf. idx18).",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_88,13 Agustus 1705,1705,"Panglima baru Padang, Mara Laout, perbarui sumpah aliansi 1680",EXACT_EVENT_DATE,"""Wy, Mara Laout, verkoren panglima en de 11 ponglous van Padang, certificeren...""","CD traktat DCXXXII; formal oath declaration, standard dated-instrument pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_90,17 Mei 1707,1707,Radja-Baros & Radja Minuassa berdamai usai rivalitas diam-diam,EXACT_EVENT_DATE,"""Verbintenis tusschen Radja-Baros ter eenre en Radja Minuassa ter andere zyde...""","CD traktat DCXLI; formal reconciliation document, standard treaty-dated pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_91,8 Juni 1707,1707,"Chincol (Singkil) perbarui traktat 1672/1680, monopoli kapur barus",EXACT_EVENT_DATE,"""Korte verbintenisse, gemaakt tusschen d'E. Compagnie...""","CD traktat DCXLII; treaty renewal, standard dated-instrument pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_92,19 Maret 1712,1712,"Priaman dkk kembali ke pangkuan Aceh, lalu ditundukkan ulang",EXACT_EVENT_DATE,"""In de eerste jaren van de 18de eeuw weigerden die van Priaman...""","QA pass (full text): reclassified from CANNOT_DETERMINE. Full text_asli is treaty language for a CD-numbered document (traktat DCXCI, Jilid IV, per notes) -- same genre pattern as the ~54 rows classified EXACT_EVENT_DATE/MEDIUM elsewhere in this ledger. Corrected for internal consistency with peer treaty rows. Rests on genre-inference only; the underlying CD4 p.399 document was not independently re-read to confirm 19 Maret as its own explicit dateline.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_94,21 Maret 1716,1716,Paoeh ditundukkan usai berontak dukung Sultan Minangkabau,EXACT_EVENT_DATE,"""In 1713 was de Compagnie in moeilijkheden geraakt...""","CD traktat DCCXV; the 1713 crisis is context, this row's own date is the 1716 subjugation-treaty conclusion date per notes.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_96,11 Maret 1727,1727,Tigablas & Doeapoeloeh-Kotta perbarui aliansi usai sempat mengungsi ke gunung,EXACT_EVENT_DATE,"""sloten een nieuwe overeenkomst met de Compagnie...""","CD traktat DCCLIV; treaty renewal after the return from the mountains, standard pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_97,22 Maret 1731,1731,Pasariboe & Baros berdamai usai sengketa perangkap ranjau,EXACT_EVENT_DATE,"""Oneenigheden tusschen de inwoners van Pasariboe en die van Baros...""","CD traktat DCCLXXX; resident-mediated settlement, standard dated-instrument pattern.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
