gate_id,version,candidate,model_equation_id,parameter_space,estimand,null_definition,applicability,mandatory_advisory_status,metric_name,metric_formula,denominator,threshold,threshold_status,threshold_provenance,failure_meaning,source_original_gate,source_amendment,implementation_status,notes
GATE-041-V2,V2,M0,M0-EQ-1,Theta_M0,episode_removal_stability,N/A,CONDITIONAL,ADVISORY,episode_removal_stability,parameter estimate shift under leave-one-episode-out refit,leave-one-episode-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; N/A under flat/no-episode regime,GATE-041,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; CONDITIONAL on episode-structured synthetic settings being used.
GATE-042-V2,V2,M0,M0-EQ-1,Theta_M0,calibration,N/A,APPLICABLE,ADVISORY,calibration,PIT histogram / reliability curve vs nominal across deciles,decile bins over attempted replications,within +/-0.05 of nominal,FROZEN_UNCHANGED,SIMULATION_DESIGN_REQUIREMENT,non-blocking; diagnostic only,GATE-042,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; frequentist PIT/bootstrap variant for M0.
GATE-037-V2,V2,M0,M0-EQ-1,Theta_M0,convergence_rate,N/A,APPLICABLE,MANDATORY,convergence_rate,converged replications / attempted replications,ATTEMPTED_REPLICATIONS,>= 0.99,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,candidate excluded from tournament,GATE-037,none (unchanged),NOT_EXECUTED,Unaffected by Proposal 1.
GATE-017-V2,V2,M2,M2-EQ-1,Theta_M2_amended={baseline;n=alpha/beta (primary);beta (secondary/diagnostic)},n (branching ratio / integrated excitation mass),H0: n=0 (representability unresolved; see NUM-DEC-03),APPLICABLE,MANDATORY,absolute_relative_bias_n,RelBias(n_hat)=[mean(n_hat)-n_true]/n_true (AbsBias used when n_true=0),ATTEMPTED_REPLICATIONS vs VALID_FOR_METRIC_CALCULATION (REPLICATION_DENOMINATOR_REQUIRES_PREIMPLEMENTATION_DECISION; NUM-DEC-01),<= 0.10,FROZEN_BAND_METHOD_AMENDED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-017,PROPOSAL-02 (n=alpha/beta primary estimand; APPROVED_WITH_LIMITATIONS); PROPOSAL-03 (1000/cell required before final adjudication),NOT_EXECUTED,Original gate targeted alpha directly (ESTIMAND_MISMATCH in pilot); V2 retargets n as primary. alpha/beta remain SECONDARY_DIAGNOSTIC (SS7 of Amendment 02); not scored as primary.
GATE-018-V2,V2,M2,M2-EQ-1,Theta_M2_amended,normalized_absolute_bias_baseline_param (theta0),N/A,APPLICABLE,MANDATORY,normalized_absolute_bias_baseline_param,|mean(theta0_hat)-theta0_true| / scale,ATTEMPTED_REPLICATIONS,<= 0.25,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-018,none (unaffected by estimand change),NOT_EXECUTED,Baseline parameter gate unaffected by n-primary reparameterization.
GATE-021-V2,V2,M2,M2-EQ-1,Theta_M2_amended,ci_coverage_95pct (n; secondary alpha/beta diagnostic only),N/A,APPLICABLE,MANDATORY,ci_coverage_95pct,"(1/R) sum I(n_true in [L_r,U_r]); uncertainty method for n UNRESOLVED",ATTEMPTED_REPLICATIONS vs VALID_FOR_METRIC_CALCULATION,between 0.925 and 0.975,FROZEN_BAND_METHOD_UNRESOLVED,SIMULATION_DESIGN_REQUIREMENT,candidate excluded from tournament,GATE-021,PROPOSAL-02 SS15 (uncertainty method for n not selected: profile likelihood / bootstrap / revised likelihood interval / Bayesian posterior interval - none adopted),NOT_EXECUTED,Blocked on NUM-DEC-02 (M2 uncertainty method).
GATE-015-V2,V2,M2,M2-EQ-1,Theta_M2_amended,invalid_estimate_rate,N/A,APPLICABLE,MANDATORY,invalid_estimate_rate,fraction of replicates where estimator fails to return a usable estimate,ATTEMPTED_REPLICATIONS,<= 0.05,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-015,PROPOSAL-03 (150/1000 protocol shortfall; not a scope gap; PILOT_ONLY_PROTOCOL_DEVIATION),NOT_EXECUTED,Excluded from the 17-advisory inventory (Amendment 06 SS8); remediation path is Proposal 3 full-scale requirement.
GATE-016-V2,V2,M2,M2-EQ-1,Theta_M2_amended,false_positive_excitation_rate,H0: n=0 (representability unresolved),APPLICABLE,MANDATORY,false_positive_excitation_rate,rate of excitation-detected decisions on n_true=0 synthetic cell,ATTEMPTED_REPLICATIONS at S1-equivalent null cell,<= 0.05,FROZEN_UNCHANGED_METHOD_UNRESOLVED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-016,PROPOSAL-03; M2 exact-null review is SEPARATE_DEPENDENCY (Amendment 02 SS13; Amendment 04 SS17),NOT_EXECUTED,Blocked on NUM-DEC-03 (M2 exact-null implementation) before this gate is meaningfully computable.
GATE-019-V2,V2,M2,M2-EQ-1,Theta_M2_amended,branching_ratio_absolute_bias,N/A,APPLICABLE,MANDATORY,branching_ratio_absolute_bias,AbsBias(n_hat)=mean(n_hat)-n_true,ATTEMPTED_REPLICATIONS vs VALID_FOR_METRIC_CALCULATION,<= 0.05,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-019,PROPOSAL-03 (full 1000/cell scale required before final adjudication; pilot observed 0.020-0.054 at 150/cell not final),NOT_EXECUTED,"MANDATORY, NOT one of the 17 advisory gates (consistency-audit correction; Spec V2 SS27); already has observed pilot values."
GATE-020-V2,V2,M2,M2-EQ-1,Theta_M2_amended,branching_ratio_relative_bias,N/A,APPLICABLE,MANDATORY,branching_ratio_relative_bias,RelBias(n_hat)=[mean(n_hat)-n_true]/n_true,ATTEMPTED_REPLICATIONS vs VALID_FOR_METRIC_CALCULATION,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-020,PROPOSAL-03,NOT_EXECUTED,"MANDATORY, NOT one of the 17 advisory gates (consistency-audit correction)."
GATE-051-V2,V2,M2,M2-EQ-1,Theta_M2_amended,convergence_rate,N/A,APPLICABLE,MANDATORY,convergence_rate,converged replications / attempted replications,ATTEMPTED_REPLICATIONS,>= 0.99,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,candidate excluded from tournament,GATE-051,PROPOSAL-03 (protocol shortfall undermines this gate's completion; not a scope gap),NOT_EXECUTED,Excluded from the 17-advisory inventory; remediation path is Proposal 3.
GATE-050-V2,V2,M2,M2-EQ-1,Theta_M2_amended,false_negative_excitation_rate,N/A,APPLICABLE,ADVISORY,false_negative_excitation_rate,rate of no-excitation decisions on positive-n synthetic cells,ATTEMPTED_REPLICATIONS at positive-n cells,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-050,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-052-V2,V2,M2,M2-EQ-1,Theta_M2_amended,boundary_solution_rate,N/A,APPLICABLE,ADVISORY,boundary_solution_rate,boundary-solution replications / attempted replications,ATTEMPTED_REPLICATIONS,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-052,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-053-V2,V2,M2,M2-EQ-1,Theta_M2_amended,held_out_predictive_score,N/A,APPLICABLE,ADVISORY,held_out_predictive_score,predictive score on temporal held-out split vs M0's matched-settings score,temporal train/test split,must exceed M0's own held-out score at matched settings,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,non-blocking; diagnostic only,GATE-053,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-054-V2,V2,M2,M2-EQ-1,Theta_M2_amended,source_removal_stability,N/A,APPLICABLE,ADVISORY,source_removal_stability,parameter estimate shift under leave-one-source-out refit,leave-one-source-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-054,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-055-V2,V2,M2,M2-EQ-1,Theta_M2_amended,episode_removal_stability,N/A,CONDITIONAL,ADVISORY,episode_removal_stability,parameter estimate shift under leave-one-episode-out refit,leave-one-episode-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; N/A under flat regime,GATE-055,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; CONDITIONAL on episode structure.
GATE-056-V2,V2,M2,M2-EQ-1,Theta_M2_amended,calibration,N/A,APPLICABLE,ADVISORY,calibration,PIT histogram / reliability curve vs nominal across deciles,decile bins,within +/-0.05 of nominal,FROZEN_UNCHANGED,SIMULATION_DESIGN_REQUIREMENT,non-blocking; diagnostic only,GATE-056,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-029-V2,V2,M3,M3-EQ-1,Theta_M3_amended={null M0^(3):n_d=0;excitation M1^(3):0<n_d<1;baseline/observation params;P(M1|Y)},invalid_estimate_rate,N/A,APPLICABLE,MANDATORY,invalid_estimate_rate,MCMC non-convergence / divergent-transition rate,ATTEMPTED_REPLICATIONS,<= 0.05,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-029,none (unaffected by exact-null/decision-rule amendments),NOT_EXECUTED,Excluded from the 17-advisory inventory; remediation path unrelated to Proposals 4/5/6.
GATE-030-V2,V2,M3,M3-EQ-1,Theta_M3_amended,P(M1^(3)|Y) false-positive rate under exact null,H0: n_d=0 (now representable per Proposal 4; M3-NULL-A/B/C),APPLICABLE,MANDATORY,FPR_hat(tau),(1/R0) sum 1{P(M1|Y_r)>=tau} over exact-null simulations R0,EXACT-NULL EVALUATION SET (separate seed manifest from calibration set),<= 0.05 (necessary; not sufficient - joint with FNR/power),PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,MATHEMATICAL_REQUIREMENT (target) / RESEARCHER_POLICY (tau selection method),candidate excluded from tournament,GATE-030,PROPOSAL-04 (exact-null support required); PROPOSAL-05 (calibrated P(M1|Y) rule; tau via prospective grid calibration; calibration/evaluation seed separation mandatory),NOT_EXECUTED,Original invalid rule (lower CI bound>0) replaced by delta_tau(Y)=1{P(M1|Y)>=tau}. tau is NUM-DEC-04; unresolved.
GATE-032-V2,V2,M3,M3-EQ-1,Theta_M3_amended,normalized_absolute_bias_baseline_param (theta0 posterior point estimate),N/A,APPLICABLE,MANDATORY,normalized_absolute_bias_baseline_param,|posterior_point_estimate(theta0)-theta0_true| / scale,ATTEMPTED_REPLICATIONS,<= 0.25,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-032,PROPOSAL-03-adjacent (M2 protocol shortfall does not apply to M3; retained MANDATORY per frozen spec),NOT_EXECUTED,Excluded from the 17-advisory inventory (was already MANDATORY in frozen spec; Amendment 06 SS8 confirms exclusion).
GATE-033-V2,V2,M3,M3-EQ-1,Theta_M3_amended,branching_ratio_absolute_bias (n_d),N/A,APPLICABLE,MANDATORY,branching_ratio_absolute_bias,AbsBias(n_d_hat)=mean(n_d_hat)-n_d_true (posterior point estimate),ATTEMPTED_REPLICATIONS,<= 0.05,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-033,PROPOSAL-07 (partial successor role: covers magnitude recovery alongside M3-REPL-031-E),NOT_EXECUTED,Already VALID_GATE_VALID_FAILURE in pilot; not PROTOCOL_NOT_COMPLETED; not in the 17-advisory inventory.
GATE-034-V2,V2,M3,M3-EQ-1,Theta_M3_amended,branching_ratio_relative_bias (n_d),N/A,APPLICABLE,MANDATORY,branching_ratio_relative_bias,RelBias(n_d_hat)=[mean(n_d_hat)-n_d_true]/n_d_true,ATTEMPTED_REPLICATIONS,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-034,PROPOSAL-07 (partial successor role),NOT_EXECUTED,Already VALID_GATE_VALID_FAILURE in pilot; not in the 17-advisory inventory.
GATE-035-V2,V2,M3,M3-EQ-1,Theta_M3_amended,credible_interval_coverage_95pct,N/A,APPLICABLE,MANDATORY,credible_interval_coverage_95pct,(1/R) sum I(theta_true in 95% posterior credible interval); per parameter,ATTEMPTED_REPLICATIONS,between 0.925 and 0.975,FROZEN_UNCHANGED,SIMULATION_DESIGN_REQUIREMENT,candidate excluded from tournament,GATE-035,PROPOSAL-04/05 (exact-null and decision-rule redesign affects the n_d/model-existence coverage interpretation),NOT_EXECUTED,Unaffected in form; interpretation must account for the amended exact-null/decision-rule design.
GATE-031-V2-RETIRED,V2,M3,M3-EQ-1 (original: undefined - no alpha-like parameter in any M3 parameterization),Theta_M3_old and Theta_M3_new (q_031 undefined on both),absolute_relative_bias_excitation_params (nonexistent alpha-like amplitude parameter),N/A,RETIRED_PROSPECTIVELY,MANDATORY (historical; retired for future amended M3 only),absolute_relative_bias_excitation_params,N/A (undefined on Theta_M3),N/A,<= 0.10 (historical; frozen original row only),RETIRED_FOR_M3_V2,RESEARCHER_POLICY (historical),historical: candidate excluded from tournament (never applied - ESTIMAND_MISMATCH); V2: not scored; replaced,GATE-031,"PROPOSAL-07 (RETIRE_GATE_031_FOR_FUTURE_AMENDED_M3_ONLY; classification C, PARAMETERIZATION_SPECIFIC_GATE_OBSOLETE, reinforced by D)","RETIRED_PROSPECTIVELY, NOT DELETED",Original row in MODEL_3B_RECOVERY_GATE_SPECIFICATION.csv UNCHANGED. Replacement families: M3-REPL-031-A through E (see GATE-031-V2-REPL-A..E rows below). Does not apply to M0/M2/the frozen pilot.
GATE-031-V2-REPL-A,V2,M3,M3-EQ-1,Theta_M3_amended,exact-null representability (n_d=0 in model support),H0: n_d = 0,APPLICABLE,MANDATORY,exact_null_representability,boolean/structural check: does the implemented model support assign nonzero density/mass to n_d=0,N/A (structural verification; not a rate metric),model support MUST include n_d=0,UNRESOLVED_REQUIRES_IMPLEMENTATION,MATHEMATICAL_REQUIREMENT,candidate excluded from tournament if n_d=0 is not representable,GATE-031 (replacement A),PROPOSAL-04 (M3-NULL-A/B/C required design),NOT_EXECUTED,First of five GATE-031 replacement families (SS22 of Math Spec V2).
GATE-031-V2-REPL-B,V2,M3,M3-EQ-1,Theta_M3_amended,posterior model-probability calibration,H0: n_d=0,APPLICABLE,MANDATORY,posterior_probability_calibration,calibration curve of P(M1|Y) against true excitation state across the tau grid,CALIBRATION SET (separate from evaluation set),well-calibrated across candidate tau grid (0.50/0.75/0.90/0.95/0.975/0.99),PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,RESEARCHER_POLICY,candidate excluded from tournament if miscalibrated,GATE-031 (replacement B),PROPOSAL-05,NOT_EXECUTED,Second of five GATE-031 replacement families.
GATE-031-V2-REPL-C,V2,M3,M3-EQ-1,Theta_M3_amended,false-positive rate under exact null,H0: n_d=0,APPLICABLE,MANDATORY,FPR_hat(tau),same formula as GATE-030-V2,EXACT-NULL EVALUATION SET,<= 0.05 (joint with FNR/power),PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,MATHEMATICAL_REQUIREMENT / RESEARCHER_POLICY,candidate excluded from tournament,GATE-031 (replacement C),PROPOSAL-05,NOT_EXECUTED,Duplicates GATE-030-V2 by design (same underlying diagnostic; listed separately per the required replacement mapping).
GATE-031-V2-REPL-D,V2,M3,M3-EQ-1,Theta_M3_amended,false-negative rate / power under positive excitation,H1: 0<n_d<1,APPLICABLE,MANDATORY,FNR_hat(tau),(1/R1) sum 1{P(M1|Y_r)<tau} over positive-excitation simulations R1,POSITIVE-EXCITATION EVALUATION SET,<= 0.10 (joint with FPR; must retain meaningful detection power),PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION,MATHEMATICAL_REQUIREMENT / RESEARCHER_POLICY,candidate excluded from tournament,GATE-031 (replacement D),PROPOSAL-05,NOT_EXECUTED,Fourth of five GATE-031 replacement families.
GATE-031-V2-REPL-E,V2,M3,M3-EQ-1,Theta_M3_amended,conditional magnitude recovery under M1,H1: 0<n_d<1,APPLICABLE,MANDATORY,"E[n_d | Y, M1] bias and credible-interval coverage","AbsBias/RelBias of posterior mean E[n_d|Y,M1] vs n_d_true; conditional on M1 selected",ATTEMPTED_REPLICATIONS where M1 selected,<= 0.05 absolute / <= 0.10 relative (aligned to GATE-033/034 thresholds),FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-031 (replacement E),PROPOSAL-05 SS17; overlaps GATE-033/034,NOT_EXECUTED,Fifth of five GATE-031 replacement families; direct successor to GATE-031's original magnitude-recovery intent.
GATE-057-V2,V2,M3,M3-EQ-1,Theta_M3_amended,false_negative_excitation_rate,H1: 0<n_d<1,APPLICABLE,ADVISORY,false_negative_excitation_rate,rate of no-excitation decisions on positive-n_d synthetic cells,ATTEMPTED_REPLICATIONS at positive-n_d cells,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-057,PROPOSAL-06,NOT_COMPUTED,"One of the 17 advisory gates; distinct from GATE-031-V2-REPL-D (that is MANDATORY, calibrated at frozen tau; this is the original uncalibrated advisory-tier symmetry gate)."
GATE-059-V2,V2,M3,M3-EQ-1,Theta_M3_amended,boundary_solution_rate,N/A,APPLICABLE,ADVISORY,boundary_solution_rate,posterior mass concentrated at prior edge (n_d approaching 1 or beta approaching prior bounds),ATTEMPTED_REPLICATIONS,<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-059,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-060-V2,V2,M3,M3-EQ-1,Theta_M3_amended,held_out_predictive_score,N/A,APPLICABLE,ADVISORY,held_out_predictive_score,predictive score on temporal held-out split vs M0's matched-settings score,temporal train/test split,must exceed M0's own held-out score at matched settings,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,non-blocking; diagnostic only,GATE-060,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-061-V2,V2,M3,M3-EQ-1,Theta_M3_amended,source_removal_stability,N/A,APPLICABLE,ADVISORY,source_removal_stability,parameter estimate shift under leave-one-source-out refit,leave-one-source-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-061,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-062-V2,V2,M3,M3-EQ-1,Theta_M3_amended,episode_removal_stability,N/A,CONDITIONAL,ADVISORY,episode_removal_stability,parameter estimate shift under leave-one-episode-out refit,leave-one-episode-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; N/A under flat regime,GATE-062,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; CONDITIONAL on episode structure.
GATE-063-V2,V2,M3,M3-EQ-1,Theta_M3_amended,calibration,N/A,APPLICABLE,ADVISORY,calibration,posterior-predictive PIT / reliability curve vs nominal across deciles,decile bins,within +/-0.05 of nominal,FROZEN_UNCHANGED,SIMULATION_DESIGN_REQUIREMENT,non-blocking; diagnostic only,GATE-063,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; Bayesian posterior-predictive variant for M3.
GATE-058-V2,V2,M3,M3-EQ-1,Theta_M3_amended,convergence_rate,N/A,APPLICABLE,MANDATORY,convergence_rate,converged (non-divergent) replications / attempted replications,ATTEMPTED_REPLICATIONS,>= 0.99,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,candidate excluded from tournament,GATE-058,none (unaffected by exact-null/decision-rule amendments),NOT_EXECUTED,Excluded from the 17-advisory inventory.
GATE-008-V2-THROUGH-014-V2,V2,M1,M1-EQ-1 (original V1 benchmark; not amended by Proposals 1-7),Theta_M1 (unamended),invalid_estimate_rate / false_positive_excitation_rate / absolute_relative_bias_excitation_params / normalized_absolute_bias_baseline_param / branching_ratio_absolute_bias / branching_ratio_relative_bias / ci_coverage_95pct,N/A,APPLICABLE (benchmark only),MANDATORY (historical benchmark; not eligible for inferential authorization),(see original GATE-008 through GATE-014),(unchanged from frozen original spec),ATTEMPTED_REPLICATIONS,(unchanged from frozen original spec),FROZEN_UNCHANGED,(unchanged from frozen original spec),candidate excluded from tournament / MODEL_VALIDATION_FAILURE; INFERENCE_NOT_AUTHORIZED regardless of gate outcome,GATE-008 through GATE-014,none (M1 out of scope for Proposals 1-7),NOT_EXECUTED,"M1 is a non-authoritative benchmark row group (Math Spec V2 SS8/24); collapsed to one summary row since no amendment touches M1. Full per-gate detail remains in the original 70-row spec, unchanged."
GATE-043-V2-THROUGH-049-V2,V2,M1,M1-EQ-1,Theta_M1,false_negative_excitation_rate / convergence_rate / boundary_solution_rate / held_out_predictive_score / source_removal_stability / episode_removal_stability / calibration,N/A,APPLICABLE (benchmark only),MIXED (see original: GATE-044 MANDATORY; others ADVISORY),(see original GATE-043 through GATE-049),(unchanged from frozen original spec),ATTEMPTED_REPLICATIONS,(unchanged from frozen original spec),FROZEN_UNCHANGED,(unchanged from frozen original spec),non-blocking (advisory) / candidate excluded (GATE-044 mandatory),GATE-043 through GATE-049,none (M1 out of scope for Proposals 1-7),NOT_EXECUTED,Collapsed summary row group; M1 advisory gates are NOT part of the 17-advisory M0/M2/M3 inventory (M1 is benchmark-only per Math Spec V2 SS24).
