pilot_query_id,family_id,source_id,execution_status,raw_result_count,exported_record_count,accessible_record_count,blocked_record_count,malformed_record_count,duplicate_within_source_count,notes
PQ-C5-SRC-06-01,C5,SRC-06,EXECUTED_SUCCESS,22,10,10,0,0,0,arXiv export API (export.arxiv.org/api/query) returned HTTP 200 with real Atom-format results.
PQ-C6-SRC-06-01,C6,SRC-06,EXECUTED_SUCCESS,3,3,3,0,0,0,arXiv export API (export.arxiv.org/api/query) returned HTTP 200 with real Atom-format results.
PQ-C3-SRC-07-01,C3,SRC-07,QUERY_REQUIRES_AMENDMENT,24756,10,10,0,0,0,"OSF Preprints API (api.osf.io) returned HTTP 200, but the identical top-10 result set (same titles, same total=24756) was returned regardless of the query terms submitted for two different families, indicating the `q` parameter as used did not actually filter results. The frozen query, translated this way, does not achieve its intended effect on this endpoint."
PQ-C6-SRC-07-01,C6,SRC-07,QUERY_REQUIRES_AMENDMENT,24756,10,10,0,0,0,"OSF Preprints API (api.osf.io) returned HTTP 200, but the identical top-10 result set (same titles, same total=24756) was returned regardless of the query terms submitted for two different families, indicating the `q` parameter as used did not actually filter results. The frozen query, translated this way, does not achieve its intended effect on this endpoint."
PQ-C1-SRC-08-01,C1,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,search.worldcat.org returned HTTP 403 Forbidden.
PQ-C2-SRC-08-01,C2,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,search.worldcat.org returned HTTP 403 Forbidden.
PQ-C3-SRC-08-01,C3,SRC-08,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,search.worldcat.org returned HTTP 403 Forbidden.
PQ-C3-SRC-10-01,C3,SRC-10,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,"Leiden Univ. Libraries catalogue (PrimoVE) is a JavaScript-driven client app returning only a page shell; Brill referenceworks search returned HTTP 403 Forbidden. Neither of the two pathways produced a reliable, recordable result for this pilot."
PQ-C6-SRC-10-01,C6,SRC-10,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,"Leiden Univ. Libraries catalogue (PrimoVE) is a JavaScript-driven client app returning only a page shell; Brill referenceworks search returned HTTP 403 Forbidden. Neither of the two pathways produced a reliable, recordable result for this pilot."
PQ-C1-SRC-12-01,C1,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C2-SRC-12-01,C2,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C3-SRC-12-01,C3,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C4-SRC-12-01,C4,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C5-SRC-12-01,C5,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C6-SRC-12-01,C6,SRC-12,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"Google Scholar was deliberately not queried in this pilot: automated/scripted querying is prohibited by the provider's own terms, already established as this project's discovery-only manual role (SLR-DEC-05). No request was submitted, out of respect for that established boundary, not because of a technical failure."
PQ-C2-SRC-13-01,C2,SRC-13,EXECUTED_SUCCESS,4525612,5,5,0,0,0,Crossref REST API (api.crossref.org/works) returned HTTP 200 with real JSON metadata for all four families.
PQ-C4-SRC-13-01,C4,SRC-13,EXECUTED_SUCCESS,2039885,5,5,0,0,0,Crossref REST API (api.crossref.org/works) returned HTTP 200 with real JSON metadata for all four families.
PQ-C5-SRC-13-01,C5,SRC-13,EXECUTED_SUCCESS,5496918,5,5,0,0,0,Crossref REST API (api.crossref.org/works) returned HTTP 200 with real JSON metadata for all four families.
PQ-C6-SRC-13-01,C6,SRC-13,EXECUTED_SUCCESS,12355293,5,5,0,0,0,Crossref REST API (api.crossref.org/works) returned HTTP 200 with real JSON metadata for all four families.
