family_id,source_id,sample_title,y_iq_in_scope,judgment_basis,n_q,sum_y_iq,P_hat_scope_q,sampling_rule
C5,SRC-06,Beach-level 24-hour forecasts of Florida red tide-induced respiratory irritation,0,"environmental-health domain, unrelated",10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Tensor Kernel Recovery for Spatio-Temporal Hawkes Processes,0,general methodology,10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Point processes with event time uncertainty,0,"general methodology, relates to C4 not C5 context",10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-06,LLMbench: A Comparative Close Reading Workbench for Large Language Models,0,"NLP tooling, not game-theory/network",3,1,0.333,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-06,Biscari Network. Tutti gli uomini del principe,1,"title suggests historical social-network study of a prince's retinue (uncertain, Italian-language, title-only judgment)",3,1,0.333,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-06,Heuristic Pathologies and Further Variance Reduction via Uncertainty Propagation in the AIVAT Family of Techniques,0,"poker AI variance-reduction, unrelated",3,1,0.333,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C2,SRC-13,Del testimonio al dato: distant reading e historia oral digital,1,"digital history / distant reading, directly on-topic",5,5,1.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C2,SRC-13,"A Bird's-Eye View of the Past: Digital History, Distant Reading and Sport History",1,digital history / distant reading,5,5,1.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C2,SRC-13,Distant Reading and Viewing: Big Questions in Digital Art History and Digital Literary Studies,1,"distant reading, digital humanities",5,5,1.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C2,SRC-13,Distant Reading and Recent Intellectual History,1,"distant reading, intellectual history",5,5,1.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C2,SRC-13,Textuality as amplification: reconsidering close reading and distant reading in cultural history,1,"close/distant reading, cultural history",5,5,1.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-13,Analysis of named entity recognition & entity linking in historical text,1,"historical NER, directly on-topic",5,2,0.4,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-13,Noise-Aware Named Entity Recognition for Historical VET Documents,1,historical NER,5,2,0.4,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-13,FoodIE: A Rule-based Named-entity Recognition Method for Food Information Extraction,0,"food-domain NER, unrelated",5,2,0.4,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-13,Named Entity Recognition and Normalization Applied to Large-Scale Information Extraction from the Materials Science Literature,0,materials-science domain,5,2,0.4,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-13,Enhanced Named Entity Recognition and Event Extraction for Power Grid Outage Scheduling Using a Universal Information Extraction Framework,0,power-grid domain,5,2,0.4,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-13,Branching-ratio approximation for the self-exciting Hawkes process,1,exact methodological match to C5's own 'branching ratio identifiability' term,5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-13,Measurement of the Branching Ratio B -> D** l nu using the hadronic Full Event Interpretation with Belle II Data,0,"particle physics, unrelated 'branching ratio' homonym",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-13,Analysis of Branching Ratio of Telecommunication Stocks in Thailand Using Hawkes Process,0,"finance domain, not historical event data",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-13,Rotary Position Embedding-Based Transformer Hawkes Process for Event-Type Big Data,0,"general ML methodology, no historical framing",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-13,Bayesian neural hawkes process for event uncertainty prediction,0,general ML methodology,5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-13,"Possible Worlds Theory: History, Approaches, and Its Relevance to Counterfactual Historical Fiction",0,"literary theory of fiction, not game-theory/network analysis",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-13,Appendix 3: Game Analysis and Technical Reading,0,"ambiguous/likely non-scholarly appendix, not on-topic",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-13,Introduction: The Genre of Counterfactual Historical Fiction,0,literary genre studies,5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-13,Multiple Textual Actual Worlds and Contradictions in Making History,0,literary theory,5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-13,Historical Explanations Always Involve Counterfactual History,1,"directly addresses counterfactual history as a mode of historical explanation, matches C6 concept terms",5,1,0.2,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C3,SRC-07,"(10 OSF records - identical set returned regardless of query, see amendment ledger)",0,NOT TOPICALLY RESPONSIVE - query parameter non-functional on this endpoint,10,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C6,SRC-07,"(10 OSF records - identical set returned regardless of query, see amendment ledger)",0,NOT TOPICALLY RESPONSIVE - query parameter non-functional on this endpoint,10,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
