pilot_query_id,family_id,source_id,provider_or_platform,exact_query_string,query_version,syntax_documentation_status,required_features,verified_features,excluded_features,date_range,language_boundary,document_type_boundary,planned_execution_method,credential_requirement,execution_authorization,stop_condition
PQ-C3-SRC-03-01,C3,SRC-03,JSTOR,"(""archival silence"" OR ""colonial archive"" OR ""colonial categories"" OR ""source criticism"" OR ""record survival"") AND (""VOC"" OR ""East India Company"" OR ""colonial Indonesia"" OR ""imperial archive"" OR ""subaltern"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C6-SRC-03-01,C6,SRC-03,JSTOR,"(""historical network analysis"" OR ""game theory"" AND ""history"" OR ""counterfactual history"" OR ""equilibrium claim"" OR ""payoff provenance"") AND (""political alliance"" OR ""strategic interaction"" OR ""historical actor network"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C1-SRC-04-01,C1,SRC-04,Project MUSE,"(""computational hermeneutics"" OR ""hermeneutics of computation"" OR ""situated meaning"" OR ""plurality of interpretation"" OR ""hermeneutic circle"") AND (""artificial intelligence"" OR ""machine learning"" OR ""digital humanities"" OR ""cultural technology"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C2-SRC-04-01,C2,SRC-04,Project MUSE,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C3-SRC-04-01,C3,SRC-04,Project MUSE,"(""archival silence"" OR ""colonial archive"" OR ""colonial categories"" OR ""source criticism"" OR ""record survival"") AND (""VOC"" OR ""East India Company"" OR ""colonial Indonesia"" OR ""imperial archive"" OR ""subaltern"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C2-SRC-05-01,C2,SRC-05,ACM Digital Library,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form, subject to bot-detection",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C4-SRC-05-01,C4,SRC-05,ACM Digital Library,"(""historical named entity recognition"" OR ""event extraction"" OR ""provenance model"" OR ""claim-source linkage"" OR ""uncertainty labeling"") AND (""historical text"" OR ""archival document"" OR ""historical corpus"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form, subject to bot-detection",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C4-SRC-06-01,C4,SRC-06,arXiv,"(""historical named entity recognition"" OR ""event extraction"" OR ""provenance model"" OR ""claim-source linkage"" OR ""uncertainty labeling"") AND (""historical text"" OR ""archival document"" OR ""historical corpus"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Public REST API (no credential),NONE,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C5-SRC-06-01,C5,SRC-06,arXiv,"(""Hawkes process"" OR ""self-exciting point process"" OR ""interval censoring"" OR ""tied timestamps"" OR ""branching ratio identifiability"" OR ""simulation recovery"") AND (""historical event data"" OR ""coarse timestamps"" OR ""sparse event series"" OR ""temporal point process"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Public REST API (no credential),NONE,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C6-SRC-06-01,C6,SRC-06,arXiv,"(""historical network analysis"" OR ""game theory"" AND ""history"" OR ""counterfactual history"" OR ""equilibrium claim"" OR ""payoff provenance"") AND (""political alliance"" OR ""strategic interaction"" OR ""historical actor network"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Public REST API (no credential),NONE,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C3-SRC-07-01,C3,SRC-07,SocArXiv/OSF Preprints,"(""archival silence"" OR ""colonial archive"" OR ""colonial categories"" OR ""source criticism"" OR ""record survival"") AND (""VOC"" OR ""East India Company"" OR ""colonial Indonesia"" OR ""imperial archive"" OR ""subaltern"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Public REST API (no credential),NONE,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C6-SRC-07-01,C6,SRC-07,SocArXiv/OSF Preprints,"(""historical network analysis"" OR ""game theory"" AND ""history"" OR ""counterfactual history"" OR ""equilibrium claim"" OR ""payoff provenance"") AND (""political alliance"" OR ""strategic interaction"" OR ""historical actor network"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Public REST API (no credential),NONE,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C1-SRC-08-01,C1,SRC-08,WorldCat,"(""computational hermeneutics"" OR ""hermeneutics of computation"" OR ""situated meaning"" OR ""plurality of interpretation"" OR ""hermeneutic circle"") AND (""artificial intelligence"" OR ""machine learning"" OR ""digital humanities"" OR ""cultural technology"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C2-SRC-08-01,C2,SRC-08,WorldCat,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C3-SRC-08-01,C3,SRC-08,WorldCat,"(""archival silence"" OR ""colonial archive"" OR ""colonial categories"" OR ""source criticism"" OR ""record survival"") AND (""VOC"" OR ""East India Company"" OR ""colonial Indonesia"" OR ""imperial archive"" OR ""subaltern"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C3-SRC-10-01,C3,SRC-10,KITLV via Leiden Univ. Libraries + Brill (dual pathway),"(""archival silence"" OR ""colonial archive"" OR ""colonial categories"" OR ""source criticism"" OR ""record survival"") AND (""VOC"" OR ""East India Company"" OR ""colonial Indonesia"" OR ""imperial archive"" OR ""subaltern"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
