family_id,source_id,provider_or_platform,official_domain,documentation_url,O_cs_official_doc_found,D_cs_documentation_supports_recorded_syntax,P_cs_provenance_recorded,X_cs_live_experimentation_performed,terminal_syntax_status,exact_documentation_location,notes
C2,SRC-05,ACM Digital Library,libraries.acm.org / dl.acm.org,https://libraries.acm.org/training-resources/new-dl-features/advanced-search-custom-queries,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,ACM official training resources: 'Put a finer point on your ACM DL searches with custom search queries',"Official documentation confirms Boolean AND/OR/NOT (uppercase required), wildcard truncation, and raw query-syntax editing."
C4,SRC-05,ACM Digital Library,libraries.acm.org / dl.acm.org,https://libraries.acm.org/training-resources/new-dl-features/advanced-search-custom-queries,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,ACM official training resources: 'Put a finer point on your ACM DL searches with custom search queries',"Official documentation confirms Boolean AND/OR/NOT (uppercase required), wildcard truncation, and raw query-syntax editing."
C4,SRC-06,arXiv,arxiv.org,https://arxiv.org/help/api/user-manual,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,"arXiv API User Manual, 'Details of Query Construction'","Official documentation confirms field-prefix syntax (au:, ti:, etc.) and AND/OR/ANDNOT boolean combination."
C5,SRC-06,arXiv,arxiv.org,https://arxiv.org/help/api/user-manual,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,"arXiv API User Manual, 'Details of Query Construction'","Official documentation confirms field-prefix syntax (au:, ti:, etc.) and AND/OR/ANDNOT boolean combination."
C6,SRC-06,arXiv,arxiv.org,https://arxiv.org/help/api/user-manual,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,"arXiv API User Manual, 'Details of Query Construction'","Official documentation confirms field-prefix syntax (au:, ti:, etc.) and AND/OR/ANDNOT boolean combination."
C3,SRC-07,SocArXiv / OSF Preprints,help.osf.io / osf.io,https://help.osf.io/article/588-getting-started-with-osf-search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,OSF Support: 'Getting Started with OSF Search' - special search syntax section,"Official documentation confirms Boolean AND/OR, nesting, truncation, fuzzy matching, and phrase search."
C6,SRC-07,SocArXiv / OSF Preprints,help.osf.io / osf.io,https://help.osf.io/article/588-getting-started-with-osf-search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,OSF Support: 'Getting Started with OSF Search' - special search syntax section,"Official documentation confirms Boolean AND/OR, nesting, truncation, fuzzy matching, and phrase search."
C1,SRC-08,WorldCat,search.worldcat.org / help.oclc.org,https://help.oclc.org/Discovery_and_Reference/WorldCat_Discovery/Search_in_WorldCat_Discovery/030Use_the_Advanced_Search_screen,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,OCLC Support: 'Use the Advanced Search screen',Official documentation confirms per-field Boolean operator selection (AND/OR/NOT) across added search rows.
C2,SRC-08,WorldCat,search.worldcat.org / help.oclc.org,https://help.oclc.org/Discovery_and_Reference/WorldCat_Discovery/Search_in_WorldCat_Discovery/030Use_the_Advanced_Search_screen,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,OCLC Support: 'Use the Advanced Search screen',Official documentation confirms per-field Boolean operator selection (AND/OR/NOT) across added search rows.
C3,SRC-08,WorldCat,search.worldcat.org / help.oclc.org,https://help.oclc.org/Discovery_and_Reference/WorldCat_Discovery/Search_in_WorldCat_Discovery/030Use_the_Advanced_Search_screen,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,OCLC Support: 'Use the Advanced Search screen',Official documentation confirms per-field Boolean operator selection (AND/OR/NOT) across added search rows.
C1,SRC-09,Digital Humanities Quarterly (DHQ),dhq.digitalhumanities.org,https://dhq.digitalhumanities.org/index.html,0,0,0,0,OFFICIAL_DOCUMENTATION_NOT_FOUND,NONE_IDENTIFIED,DHQ recently migrated to a new static-site search (Endings Project Static Search); no official syntax/operator documentation for the new interface was located in this turn.
C2,SRC-09,Digital Humanities Quarterly (DHQ),dhq.digitalhumanities.org,https://dhq.digitalhumanities.org/index.html,0,0,0,0,OFFICIAL_DOCUMENTATION_NOT_FOUND,NONE_IDENTIFIED,DHQ recently migrated to a new static-site search (Endings Project Static Search); no official syntax/operator documentation for the new interface was located in this turn.
C3,SRC-10,KITLV collection via Leiden University Libraries catalogue,catalogue.leidenuniv.nl / library.universiteitleiden.nl,https://www.library.universiteitleiden.nl/subject-guides/catalogue,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Leiden University Libraries: 'Catalogue' subject guide,Official documentation confirms phrase quoting and multi-term AND-by-default combination; no field-code/wildcard/proximity documentation found. This is the catalogue/discovery pathway (holds KITLV's physical/archival collection since the 2014 transfer).
C3,SRC-10,KITLV-affiliated series via Brill publishing platform,brill.com / referenceworks.brillonline.com,https://referenceworks.brillonline.com/pages/search-tips,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Brill official 'Search-tips' page,"Official documentation confirms Boolean AND-by-default on multi-word queries and field-restricted 'search within' options; no wildcard/proximity documentation found. This is the publisher/content pathway (Brill publishes KITLV-affiliated BKI, NWIG, Verhandelingen). Distinct platform from SRC-10a; no syntax claim transferred between them."
C6,SRC-10,KITLV collection via Leiden University Libraries catalogue,catalogue.leidenuniv.nl / library.universiteitleiden.nl,https://www.library.universiteitleiden.nl/subject-guides/catalogue,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Leiden University Libraries: 'Catalogue' subject guide,Official documentation confirms phrase quoting and multi-term AND-by-default combination; no field-code/wildcard/proximity documentation found. This is the catalogue/discovery pathway (holds KITLV's physical/archival collection since the 2014 transfer).
C6,SRC-10,KITLV-affiliated series via Brill publishing platform,brill.com / referenceworks.brillonline.com,https://referenceworks.brillonline.com/pages/search-tips,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Brill official 'Search-tips' page,"Official documentation confirms Boolean AND-by-default on multi-word queries and field-restricted 'search within' options; no wildcard/proximity documentation found. This is the publisher/content pathway (Brill publishes KITLV-affiliated BKI, NWIG, Verhandelingen). Distinct platform from SRC-10a; no syntax claim transferred between them."
C1,SRC-11,Institutional repositories (SOAS Research Online + generic university theses repositories),eprints.soas.ac.uk (SOAS component only),https://wiki.eprints.org/w/Boolean_field,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,EPrints official platform documentation: 'Boolean field',"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is not supported in the base EPrints search implementation; this is a genuine negative finding, not an absence of documentation. The 'university theses repositories' half of this candidate remains an unnamed generic category (per the frozen manifest's own original description) and was not further resolved."
C3,SRC-11,Institutional repositories (SOAS Research Online + generic university theses repositories),eprints.soas.ac.uk (SOAS component only),https://wiki.eprints.org/w/Boolean_field,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,EPrints official platform documentation: 'Boolean field',"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is not supported in the base EPrints search implementation; this is a genuine negative finding, not an absence of documentation. The 'university theses repositories' half of this candidate remains an unnamed generic category (per the frozen manifest's own original description) and was not further resolved."
C6,SRC-11,Institutional repositories (SOAS Research Online + generic university theses repositories),eprints.soas.ac.uk (SOAS component only),https://wiki.eprints.org/w/Boolean_field,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,EPrints official platform documentation: 'Boolean field',"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is not supported in the base EPrints search implementation; this is a genuine negative finding, not an absence of documentation. The 'university theses repositories' half of this candidate remains an unnamed generic category (per the frozen manifest's own original description) and was not further resolved."
C1,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C2,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C3,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C4,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C5,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C6,SRC-12,Google Scholar,scholar.google.com,https://scholar.google.com/intl/en/scholar/help.html,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Google Scholar official Search Help page,"Official documentation confirms intitle:/intext:/author:/source: operators and basic AND/OR/NOT; discovery-only role (manual, non-automated) reaffirmed per existing SLR-DEC-05 record, not newly extracted here."
C2,SRC-13,Crossref,crossref.org / api.crossref.org,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Crossref official REST API documentation,"Official documentation confirms Crossref uses a REST/JSON query-parameter and filter model (query.bibliographic, filter=), not a traditional boolean-operator search-box syntax; this structural difference is preserved, not smoothed over."
C4,SRC-13,Crossref,crossref.org / api.crossref.org,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Crossref official REST API documentation,"Official documentation confirms Crossref uses a REST/JSON query-parameter and filter model (query.bibliographic, filter=), not a traditional boolean-operator search-box syntax; this structural difference is preserved, not smoothed over."
C5,SRC-13,Crossref,crossref.org / api.crossref.org,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Crossref official REST API documentation,"Official documentation confirms Crossref uses a REST/JSON query-parameter and filter model (query.bibliographic, filter=), not a traditional boolean-operator search-box syntax; this structural difference is preserved, not smoothed over."
C6,SRC-13,Crossref,crossref.org / api.crossref.org,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Crossref official REST API documentation,"Official documentation confirms Crossref uses a REST/JSON query-parameter and filter model (query.bibliographic, filter=), not a traditional boolean-operator search-box syntax; this structural difference is preserved, not smoothed over."
