risk_id,family_id,risk_direction,risk_description,trigger_term_or_rule,potential_consequence,control_or_mitigation,residual_status,researcher_review_required,execution_status,notes
RISK-C4-01,C4,BROADNESS,"'event extraction' alone is a generic NLP term with a large non-historical literature (e.g. news event extraction, biomedical event extraction)",term: event extraction (bare),large false-positive volume from unrelated NLP application domains,require co-occurrence with 'historical' or 'archival' or 'historical corpus',RESIDUAL_MODERATE,YES,NOT_EXECUTED,
RISK-C4-02,C4,NARROWNESS,"missing provenance/uncertainty synonym terms (e.g. 'confidence scoring', 'source attribution', 'evidence linking') beyond the specific phrases already drafted",reliance on TV-C4-003/004/006 exact phrases only,adjacent methodological literature using different terminology for the same concept may be missed,add synonym set as an additional remediation item before SLR-DEC-06 freeze,RESIDUAL_MODERATE - not yet remediated,YES,NOT_EXECUTED,
RISK-C5-01,C5,BROADNESS,'interval censoring' alone is dominated by a large biostatistics/medical/survival-analysis literature unrelated to historical event modeling,term: interval censoring (bare),large false-positive volume from clinical/epidemiological literature,"require co-occurrence with 'historical', 'event', or 'temporal point process' terms",RESIDUAL_MODERATE-HIGH - biostatistics literature is very large,YES,NOT_EXECUTED,highest-volume broadness risk identified across all six families
RISK-C5-02,C5,BROADNESS,"'simulation' (within 'simulation recovery') is used across many unrelated computational fields (physics, engineering, economics simulations generally)","term: simulation (bare, without 'recovery' or 'identifiability')",large false-positive volume,"require co-occurrence with 'identifiability', 'point process', or 'Hawkes'",RESIDUAL_MODERATE,YES,NOT_EXECUTED,
RISK-C5-03,C5,NARROWNESS,"missing coarse-time/tied-event terminology synonyms beyond the specific phrases already drafted (e.g. 'discretized time', 'binned event data', 'annual resolution')",reliance on TV-C5-004/005/009 exact phrases only,adjacent statistical literature on coarse-time methods using different phrasing may be missed,add synonym set as an additional remediation item before SLR-DEC-06 freeze,RESIDUAL_MODERATE - not yet remediated,YES,NOT_EXECUTED,
RISK-C5-04,C5,BOTH,"this family is the direct Hawkes-relevance-gate family (H_i^relevant, protocol Sec.17); an overly broad OR-chain risks flooding extraction with statistically-relevant-but-historically-irrelevant papers, while an overly narrow one risks missing a genuine negative-result/identifiability-failure paper directly informative for Model 3B V2",the full C5 boolean template as currently drafted,either extraction-stage overload or missing a directly load-bearing methodological paper for the project's own closed V1 Hawkes finding,"apply the nine-feature Hawkes relevance gate (protocol Sec.17) at full-text/extraction stage as the actual filter, not the search string alone - the search string's job is recall, not precision","RESIDUAL_MODERATE, by design (relevance gate is meant to do the precision work downstream)",YES,NOT_EXECUTED,most epistemically consequential family given its direct link to Model 3B V2 decision-making
RISK-C6-01,C6,BROADNESS,'game theory' alone is an enormous economics/mathematics literature with no historical-humanities application,term: game theory (bare),"extremely large false-positive volume, likely the single largest breadth risk in the entire registry","never search 'game theory' alone; always AND with 'history'/'historical' per protocol Sec.6 boolean template (already documented, but must be enforced strictly in the frozen string)",RESIDUAL_HIGH if the AND-constraint is ever relaxed; LOW if strictly enforced,YES,NOT_EXECUTED,single highest-volume breadth risk identified across the entire term registry
RISK-C6-02,C6,BROADNESS,'network' alone (within 'historical network analysis') captures the vast general social-network-analysis and computer-networking literatures,term: network (bare),large false-positive volume from unrelated CS/social-science literature,require co-occurrence with 'historical' and ideally 'actor' or 'relation',RESIDUAL_MODERATE-HIGH,YES,NOT_EXECUTED,
RISK-C6-03,C6,NARROWNESS,"missing Dutch-language historiography on VOC-era alliances/strategic interaction, and missing Indonesian-language historiography on power relations in the same period",English-only term set for the historically-specific core of this domain,the literature most likely to directly inform this project's own Atlas power-relations and game-theory work could be under-retrieved,"TV-C6-008 (Dutch) and TV-C6-009 (Indonesian) drafted, both flagged REQUIRES_REVIEW pending verification",RESIDUAL_HIGH - not yet verified,YES,NOT_EXECUTED,
RISK-C6-04,C6,NARROWNESS,"'payoff provenance' (TV-C6-005) may be a project-internal coined phrase rather than an attested term in the external literature, risking near-zero recall if used as a primary search term",term: payoff provenance,near-zero recall if the phrase is not actually used in the target literature,"use as a secondary/diagnostic term only; rely primarily on broader established terms ('payoff assumptions', 'payoff structure', 'equilibrium claim') for actual retrieval",RESIDUAL_MODERATE,YES,NOT_EXECUTED,
