term_id,family_id,language,term,variant_type,concept_role,provenance_status,ambiguity_risk,admissibility_gate,usage_status,notes
TV-C2-003,C2,en,distant reading,PREFERRED_TERM,core_method,established DH terminology (Moretti),MODERATE - established but broad DH literature,A_v=1,DRAFT_CANDIDATE,
TV-C2-004,C2,en,close reading,PREFERRED_TERM,core_method,established literary-studies terminology,HIGH - extremely broad generic literary-criticism usage unrelated to computation,A_v=1,DRAFT_CANDIDATE,must co-occur with 'distant reading' or 'computational' to avoid generic literary-criticism noise
TV-C2-005,C2,en,methodological transparency,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C2-006,C2,en,distant-reading,HYPHENATION_VARIANT,core_method,hyphenation variant of TV-C2-003,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C2-007,C2,en,close-reading,HYPHENATION_VARIANT,core_method,hyphenation variant of TV-C2-004,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C2-008,C2,nl,computationele geschiedenis,TRANSLATED_CONCEPT_CANDIDATE,core_method,"direct translation, not verified against Dutch scholarly usage",MODERATE,A_v=0,REQUIRES_REVIEW,
TV-C3-001,C3,en,archival silence,PREFERRED_TERM,core_concept,"protocol Sec.3, established archival-theory term (cf. Trouillot)",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C3-002,C3,en,colonial archive,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C3-003,C3,en,colonial categories,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C3-004,C3,en,source criticism,PREFERRED_TERM,core_method,protocol Sec.3,MODERATE - 'source criticism' also used generically in biblical/textual studies,A_v=1,DRAFT_CANDIDATE,
TV-C3-005,C3,en,record survival,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C3-006,C3,nl,VOC archief,TRANSLATED_CONCEPT_CANDIDATE,core_concept,"direct reference to Dutch East India Company archive, high project relevance","LOW - specific, low ambiguity",A_v=1,DRAFT_CANDIDATE,"directly grounded in project's own subject matter, not a speculative translation"
TV-C3-007,C3,nl,koloniaal archief,TRANSLATED_CONCEPT_CANDIDATE,core_concept,direct translation of 'colonial archive',LOW-MODERATE,A_v=0 (equivalence not yet reviewed),REQUIRES_REVIEW,
TV-C3-008,C3,nl,archiefstilte,TRANSLATED_CONCEPT_CANDIDATE,core_concept,"direct translation of 'archival silence', not verified as attested Dutch scholarly term","HIGH - term may not be in actual scholarly usage, risk of zero recall or false construction",A_v=0,REQUIRES_REVIEW,"flagged EXCLUDED_AMBIGUOUS_TERM pending verification that this is an attested term, not a Claude-constructed calque"
TV-C3-009,C3,en,subaltern,PREFERRED_TERM,adjacent_terminology,"postcolonial-studies terminology, protocol Sec.3 context terms",MODERATE - broad postcolonial-theory literature beyond archival criticism specifically,A_v=1,DRAFT_CANDIDATE,
TV-C3-010,C3,de,Kolonialarchiv,TRANSLATED_CONCEPT_CANDIDATE,core_concept,"direct translation, not verified",MODERATE,A_v=0,REQUIRES_REVIEW,
TV-C3-011,C3,fr,archives coloniales,TRANSLATED_CONCEPT_CANDIDATE,core_concept,"direct translation, French colonial-archive scholarship is substantial (e.g. Africa/Indochina) so plausibly attested, but not yet verified for this review's specific usage",MODERATE,A_v=0,REQUIRES_REVIEW,
TV-C4-001,C4,en,historical named entity recognition,PREFERRED_TERM,core_method,"protocol Sec.3, NLP standard terminology (NER)",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C4-002,C4,en,event extraction,PREFERRED_TERM,core_method,protocol Sec.3,"MODERATE - generic NLP term, large non-historical literature",A_v=1,DRAFT_CANDIDATE,co-occurrence with 'historical' or 'archival' required
TV-C4-003,C4,en,provenance model,PREFERRED_TERM,core_concept,protocol Sec.3,LOW-MODERATE - 'provenance' also used in art-history/database-systems senses,A_v=1,DRAFT_CANDIDATE,
TV-C4-004,C4,en,claim-source linkage,PREFERRED_TERM,core_concept,"protocol Sec.3, project-internal terminology (matches this project's own S1-B1 candidate-ledger design)",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C4-005,C4,en,claim source linkage,SPELLING_VARIANT,core_concept,unhyphenated form of TV-C4-004,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C4-006,C4,en,uncertainty labeling,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C4-007,C4,en,uncertainty labelling,SPELLING_VARIANT,core_concept,British-English spelling variant of TV-C4-006,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C4-008,C4,en,named-entity recognition,HYPHENATION_VARIANT,core_method,hyphenation variant of TV-C4-001,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-001,C5,en,Hawkes process,PREFERRED_TERM,core_method,"protocol Sec.3, standard statistical terminology",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-002,C5,en,self-exciting point process,PREFERRED_TERM,core_method,standard statistics/point-process terminology,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-003,C5,en,self exciting point process,HYPHENATION_VARIANT,core_method,unhyphenated form of TV-C5-002,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-004,C5,en,interval censoring,PREFERRED_TERM,core_method,"protocol Sec.3, standard survival-analysis/statistics terminology",MODERATE - large biostatistics/medical literature uses this term unrelated to historical event modeling,A_v=1,DRAFT_CANDIDATE,co-occurrence with 'historical' or 'event' terms required
TV-C5-005,C5,en,tied timestamps,PREFERRED_TERM,core_method,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-006,C5,en,branching ratio identifiability,PREFERRED_TERM,core_concept,"protocol Sec.3, Model 3B's own established terminology (cf. project memory on Hawkes V1 branching-ratio identifiability findings)",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-007,C5,en,simulation recovery,PREFERRED_TERM,core_concept,"protocol Sec.3, Model 3B's own established terminology",MODERATE - 'simulation' broadly used across many unrelated computational fields,A_v=1,DRAFT_CANDIDATE,co-occurrence with 'identifiability' or 'point process' required
TV-C5-008,C5,en,temporal point process,PREFERRED_TERM,core_method,standard statistics terminology,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-009,C5,en,coarse timestamps,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C5-010,C5,en,sparse event series,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C6-001,C6,en,historical network analysis,PREFERRED_TERM,core_method,protocol Sec.3,MODERATE - 'network analysis' alone is enormous (social-network-analysis literature generally),A_v=1,DRAFT_CANDIDATE,"co-occurrence with 'historical' required, insufficient alone"
TV-C6-002,C6,en,game theory,PREFERRED_TERM,core_method,protocol Sec.3,HIGH - vast economics/mathematics literature unrelated to history,A_v=1,DRAFT_CANDIDATE,"must co-occur with 'history'/'historical' context term, never used alone per protocol Sec.6 boolean template"
TV-C6-003,C6,en,counterfactual history,PREFERRED_TERM,core_method,protocol Sec.3,LOW-MODERATE,A_v=1,DRAFT_CANDIDATE,
TV-C6-004,C6,en,equilibrium claim,PREFERRED_TERM,core_concept,"protocol Sec.3, project's own epistemic-boundary terminology",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C6-005,C6,en,payoff provenance,PREFERRED_TERM,core_concept,"protocol Sec.3, project-internal terminology (not yet confirmed as attested external scholarly phrase)",MODERATE - may be a project-coined phrase rather than an attested term in the literature,"A_v=1 (documented as project-internal, used as a search aid rather than an assumed-common phrase)",DRAFT_CANDIDATE,"flagged: broader synonyms ('payoff justification', 'payoff assumptions') should also be tried"
TV-C6-006,C6,en,game-theoretic,HYPHENATION_VARIANT,core_method,hyphenation variant of 'game theoretic',LOW,A_v=1,DRAFT_CANDIDATE,
TV-C6-007,C6,en,strategic interaction,PREFERRED_TERM,core_concept,protocol Sec.3,MODERATE - generic international-relations/business-strategy usage,A_v=1,DRAFT_CANDIDATE,
TV-C6-008,C6,nl,machtsverhoudingen,TRANSLATED_CONCEPT_CANDIDATE,adjacent_terminology,"Dutch term for 'power relations', directly relevant to this project's own Atlas power-relations ontology work but not yet verified as matching C6's game-theory/network scope specifically",MODERATE - broad general-usage Dutch term,A_v=0,REQUIRES_REVIEW,
TV-C3-012,C3,id,arsip kolonial,TRANSLATED_CONCEPT_CANDIDATE,core_concept,"direct translation of 'colonial archive'; Indonesian historiography of VOC/colonial period does use this phrase in academic writing, but exact equivalence to the English scholarly-critical sense not yet reviewed",MODERATE - term is in general use but critical-archival-theory usage not confirmed,A_v=0,REQUIRES_REVIEW,
TV-C3-013,C3,id,kekosongan arsip,TRANSLATED_CONCEPT_CANDIDATE,core_concept,constructed translation attempt for 'archival silence'; not verified as an attested Indonesian scholarly term,"HIGH - likely a constructed calque, not confirmed as scholarly usage",A_v=0,EXCLUDED_AMBIGUOUS_TERM,"flag for researcher: may need a native-speaker/domain-expert check before use, risk of zero recall or mistranslation"
TV-C6-009,C6,id,hubungan kekuasaan,TRANSLATED_CONCEPT_CANDIDATE,adjacent_terminology,"Indonesian for 'power relations', directly used in this project's own Atlas ontology work (per project memory), but general-usage breadth not yet assessed for C6's game-theory/network scope specifically","MODERATE-HIGH - very broad general Indonesian phrase, high false-positive risk if used alone",A_v=0,REQUIRES_REVIEW,must co-occur with a game-theory/network-specific term if ever used
TV-C4-009,C4,id,ekstraksi peristiwa sejarah,TRANSLATED_CONCEPT_CANDIDATE,core_method,constructed translation attempt for 'historical event extraction'; not verified as attested Indonesian NLP/DH terminology,HIGH - Indonesian-language computational-history/NLP literature using this exact phrasing not confirmed to exist,A_v=0,REQUIRES_REVIEW,"Indonesian-language literature in this specific technical area may be sparse; low expected yield, kept as candidate only"
