source_id,decision_id,applicability_status,support_type,exact_scope,conflict_status,provenance_location,decision_ready_contribution,status,notes
SRC-05,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-05,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-06,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-06,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-06,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-06,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-07,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-07,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-07,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-07,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-09,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-09,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-09,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-09,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-10,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-10,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-10,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-10,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-11,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-11,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-11,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-11,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
