family_id,source_id,platform_note,documentation_status,V_cs,P_cs,F_cs_required,U_cs,reasoning,excluded_reason
C6,SRC-06,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C3,SRC-07,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-07,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C1,SRC-08,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C2,SRC-08,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C3,SRC-08,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C1,SRC-09,,OFFICIAL_DOCUMENTATION_NOT_FOUND,0,0,0,0,No official syntax documentation located for DHQ's new static-search interface (DEC-06 finding).,OFFICIAL_DOCUMENTATION_NOT_FOUND
C2,SRC-09,,OFFICIAL_DOCUMENTATION_NOT_FOUND,0,0,0,0,No official syntax documentation located for DHQ's new static-search interface (DEC-06 finding).,OFFICIAL_DOCUMENTATION_NOT_FOUND
C3,SRC-10,Leiden Univ. Libraries catalogue + Brill referenceworks (dual pathway),PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,1,1,"Both KITLV pathways (Leiden University Libraries catalogue and Brill referenceworks) officially document phrase-quoting and default multi-term AND combination, which is the only feature the frozen template requires. Field-code/wildcard/proximity are undocumented but not required by the frozen template.",
C6,SRC-10,Leiden Univ. Libraries catalogue + Brill referenceworks (dual pathway),PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,1,1,"Both KITLV pathways (Leiden University Libraries catalogue and Brill referenceworks) officially document phrase-quoting and default multi-term AND combination, which is the only feature the frozen template requires. Field-code/wildcard/proximity are undocumented but not required by the frozen template.",
C1,SRC-11,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,0,0,"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is NOT supported in the base implementation. The frozen template requires AND (across concept blocks) and OR (within a concept block) - both Boolean operators. This required feature is explicitly NOT documented as supported, so F_cs_required=0 despite partial verification of the platform's existence.",REQUIRED_BOOLEAN_FEATURE_NOT_DOCUMENTED
C3,SRC-11,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,0,0,"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is NOT supported in the base implementation. The frozen template requires AND (across concept blocks) and OR (within a concept block) - both Boolean operators. This required feature is explicitly NOT documented as supported, so F_cs_required=0 despite partial verification of the platform's existence.",REQUIRED_BOOLEAN_FEATURE_NOT_DOCUMENTED
C6,SRC-11,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,0,0,"Official EPrints platform documentation (the software SOAS Research Online runs on) states Boolean searching is NOT supported in the base implementation. The frozen template requires AND (across concept blocks) and OR (within a concept block) - both Boolean operators. This required feature is explicitly NOT documented as supported, so F_cs_required=0 despite partial verification of the platform's existence.",REQUIRED_BOOLEAN_FEATURE_NOT_DOCUMENTED
C1,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C2,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C3,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C5,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-12,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C2,SRC-13,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-13,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C5,SRC-13,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-13,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
